%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+01 -1.023571310882e+03 0.000000000000e+00 -1.629064337340e+02 0.000000000000e+00
{2} 1.000000000000e+01 -8.558418190646e+02 0.000000000000e+00 -1.362114560089e+02 0.000000000000e+00
{3} 1.000000000000e+01 -1.196151331115e+02 1.347296515220e+02 -1.903733970330e+01 2.144289002077e+01
{4} 1.000000000000e+01 -1.196151331115e+02 -1.347296515220e+02 -1.903733970330e+01 -2.144289002077e+01
{5} 1.000000000000e+01 -1.065230617547e+02 0.000000000000e+00 -1.695367183154e+01 0.000000000000e+00
{6} 1.000000000000e+01 -9.621690128278e+01 0.000000000000e+00 -1.531339544814e+01 0.000000000000e+00
{7} 1.000000000000e+01 -4.215334017756e+01 5.094585506394e+01 -6.708912457092e+00 8.108284663469e+00
{8} 1.000000000000e+01 -4.215334017756e+01 -5.094585506394e+01 -6.708912457092e+00 -8.108284663469e+00
{9} 1.000000000000e+01 -3.397990060364e+00 3.641631730659e+01 -5.408069146840e-01 5.795836908547e+00
{10} 1.000000000000e+01 -3.397990060364e+00 -3.641631730659e+01 -5.408069146840e-01 -5.795836908547e+00
{11} 1.000000000000e+01 -1.204859599767e+01 1.618819707585e+01 -1.917593610346e+00 2.576431584368e+00
{12} 1.000000000000e+01 -1.204859599767e+01 -1.618819707585e+01 -1.917593610346e+00 -2.576431584368e+00
{13} 1.000000000000e+01 -1.280310003803e+01 9.518792649994e+00 -2.037676657952e+00 1.514962902513e+00
{14} 1.000000000000e+01 -1.280310003803e+01 -9.518792649994e+00 -2.037676657952e+00 -1.514962902513e+00
{15} 1.000000000000e+01 -7.266612739985e+00 0.000000000000e+00 -1.156517337103e+00 0.000000000000e+00
{16} 1.000000000000e+01 -1.495869399273e-12 1.117597040752e-06 -2.380750091142e-13 1.778710934205e-07
{17} 1.000000000000e+01 -1.495869399273e-12 -1.117597040752e-06 -2.380750091142e-13 -1.778710934205e-07
{18} 1.000000000000e+01 1.106579724590e+00 0.000000000000e+00 1.761176330938e-01 0.000000000000e+00
{19} 1.000000000000e+01 -2.281858855445e-13 2.631269674015e-06 -3.631691162821e-14 4.187795752273e-07
{20} 1.000000000000e+01 -2.281858855445e-13 -2.631269674015e-06 -3.631691162821e-14 -4.187795752273e-07
{21} 1.000000000000e+01 -1.960576067463e-12 0.000000000000e+00 -3.120353724444e-13 0.000000000000e+00
{22} 1.000000000000e+01 -9.891014212277e-12 0.000000000000e+00 -1.574203804076e-12 0.000000000000e+00

