%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 0.00000000e+00 -5.17640000e+00 8.93033000e+01 -8.23849647e-01 1.42130616e+01
{2} 0.00000000e+00 -5.17640000e+00 -8.93033000e+01 -8.23849647e-01 -1.42130616e+01
{3} 0.00000000e+00 -4.46380000e+00 8.18326000e+01 -7.10435835e-01 1.30240628e+01
{4} 0.00000000e+00 -4.46380000e+00 -8.18326000e+01 -7.10435835e-01 -1.30240628e+01
{5} 0.00000000e+00 -4.51100000e+00 8.27759000e+01 -7.17947948e-01 1.31741937e+01
{6} 0.00000000e+00 -4.51100000e+00 -8.27759000e+01 -7.17947948e-01 -1.31741937e+01
{7} 0.00000000e+00 -2.65640000e+00 7.27789000e+01 -4.22779191e-01 1.15831217e+01
{8} 0.00000000e+00 -2.65640000e+00 -7.27789000e+01 -4.22779191e-01 -1.15831217e+01
{9} 0.00000000e+00 -1.07150000e+00 7.14070000e+00 -1.70534522e-01 1.13647770e+00
{10} 0.00000000e+00 -1.07150000e+00 -7.14070000e+00 -1.70534522e-01 -1.13647770e+00
{11} 0.00000000e+00 -1.00680000e+00 5.93420000e+00 -1.60237197e-01 9.44457263e-01
{12} 0.00000000e+00 -1.00680000e+00 -5.93420000e+00 -1.60237197e-01 -9.44457263e-01
{13} 0.00000000e+00 -1.01260000e+00 3.78930000e+00 -1.61160295e-01 6.03085826e-01
{14} 0.00000000e+00 -1.01260000e+00 -3.78930000e+00 -1.61160295e-01 -6.03085826e-01
{15} 0.00000000e+00 2.46650000e+00 0.00000000e+00 3.92555667e-01 0.00000000e+00
{16} 0.00000000e+00 -2.89130000e+00 0.00000000e+00 -4.60164687e-01 0.00000000e+00
{17} 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{18} 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00

