%%% Hankel SVD
num speed hsv 
{1} 0.00000000e+00 1.68254520e+00 
{2} 0.00000000e+00 1.20966031e+00 
{3} 0.00000000e+00 3.44773895e-01 
{4} 0.00000000e+00 3.20315193e-01 
{5} 0.00000000e+00 2.47553137e-01 
{6} 0.00000000e+00 1.72050206e-01 
{7} 0.00000000e+00 2.04840103e-02 
{8} 0.00000000e+00 1.95119168e-02 
{9} 0.00000000e+00 1.70879184e-02 
{10} 0.00000000e+00 1.49480388e-02 
{11} 0.00000000e+00 6.03891133e-03 
{12} 0.00000000e+00 3.46451571e-04 
{13} 0.00000000e+00 3.10222692e-04 
{14} 0.00000000e+00 2.93003281e-06 
{15} 0.00000000e+00 2.84682442e-06 

