%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  8  lf-wheel 7.85980000e-01 + -1.13000000e-03i, 1.51040000e-01 + -7.70000000e-04i, 4.23300000e-02 + 0.00000000e+00i, 8.74140000e-01 + 0.00000000e+00i, 2.25210000e-01 + 5.80000000e-04i, -4.30270000e-01 + 4.84000000e-03i, 
0.00000000e+00  8  rf-wheel 7.85980000e-01 + -1.13000000e-03i, -1.51040000e-01 + 7.70000000e-04i, 4.23300000e-02 + 0.00000000e+00i, 8.74140000e-01 + 0.00000000e+00i, -2.25210000e-01 + -5.80000000e-04i, -4.30270000e-01 + 4.84000000e-03i, 
0.00000000e+00  8  lr-wheel -7.70790000e-01 + 1.79200000e-02i, 5.27870000e-01 + -1.20400000e-02i, 2.02200000e-02 + 0.00000000e+00i, 5.47840000e-01 + -4.75100000e-02i, 7.80500000e-01 + 0.00000000e+00i, -2.97370000e-01 + 0.00000000e+00i, 
0.00000000e+00  8  rr-wheel -7.70790000e-01 + 1.79200000e-02i, -5.27870000e-01 + 1.20400000e-02i, 2.02200000e-02 + 0.00000000e+00i, -5.47840000e-01 + 4.75100000e-02i, 7.80500000e-01 + 0.00000000e+00i, 2.97370000e-01 + 0.00000000e+00i, 

0.00000000e+00  9  f-axle 7.60100000e-01 + -3.38000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lf-axle 7.60100000e-01 + -3.38000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rf-axle 7.60100000e-01 + -3.38000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  r-axle-t -7.22800000e-01 + 8.95000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  r-axle-b -7.22800000e-01 + 8.95000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lr-axle -7.22800000e-01 + 8.95000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rr-axle -7.22800000e-01 + 8.95000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  chassis 4.73160000e-01 + -7.24500000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lf-wheel 7.71420000e-01 + 1.67300000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rf-wheel 7.71420000e-01 + 1.67300000e-02i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lr-wheel -9.56320000e-01 + -4.43400000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rr-wheel -9.56320000e-01 + -4.43400000e-02i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  10  f-axle 7.60100000e-01 + 3.38000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lf-axle 7.60100000e-01 + 3.38000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rf-axle 7.60100000e-01 + 3.38000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  r-axle-t -7.22800000e-01 + -8.95000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  r-axle-b -7.22800000e-01 + -8.95000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lr-axle -7.22800000e-01 + -8.95000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rr-axle -7.22800000e-01 + -8.95000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  chassis 4.73160000e-01 + 7.24500000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lf-wheel 7.71420000e-01 + -1.67300000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rf-wheel 7.71420000e-01 + -1.67300000e-02i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lr-wheel -9.56320000e-01 + 4.43400000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rr-wheel -9.56320000e-01 + 4.43400000e-02i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  11  f-axle 8.58860000e-01 + 1.92110000e-01i, 0.00000000e+00 + 0.00000000e+00i, 4.25390000e-01 + -7.86800000e-02i, 8.41240000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -1.23130000e-01 + 5.26450000e-01i, 
0.00000000e+00  11  lf-axle 7.31830000e-01 + 2.73000000e-03i, 5.62970000e-01 + -2.11300000e-02i, 2.27770000e-01 + -3.93000000e-03i, -1.05370000e-01 + 1.80500000e-02i, -1.74500000e-01 + 7.31000000e-03i, 9.78810000e-01 + 0.00000000e+00i, 
0.00000000e+00  11  rf-axle 7.31830000e-01 + 2.73000000e-03i, -5.62970000e-01 + 2.11300000e-02i, 2.27770000e-01 + -3.93000000e-03i, -1.05370000e-01 + 1.80500000e-02i, 1.74500000e-01 + -7.31000000e-03i, 9.78810000e-01 + 0.00000000e+00i, 
0.00000000e+00  11  r-axle-t 2.71040000e-01 + 3.50980000e-01i, -0.00000000e+00 + 0.00000000e+00i, 2.12440000e+00 + -9.69760000e-01i, 7.75980000e-01 + 4.19040000e-01i, 0.00000000e+00 + 0.00000000e+00i, -4.46390000e-01 + 1.51660000e-01i, 
0.00000000e+00  11  r-axle-b -3.57710000e-01 + 1.37360000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.31400000e-01 + -3.79520000e-01i, 7.75980000e-01 + 4.19040000e-01i, 0.00000000e+00 + 0.00000000e+00i, -4.46390000e-01 + 1.51660000e-01i, 
0.00000000e+00  11  lr-axle -7.47580000e-01 + 4.90000000e-03i, 6.07880000e-01 + 3.25800000e-02i, 1.02000000e-03 + 0.00000000e+00i, 9.97770000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 6.32400000e-02 + -2.14900000e-02i, 
0.00000000e+00  11  rr-axle -7.47580000e-01 + 4.90000000e-03i, -6.07880000e-01 + -3.25800000e-02i, 1.02000000e-03 + 0.00000000e+00i, 9.97770000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 6.32400000e-02 + -2.14900000e-02i, 
0.00000000e+00  11  chassis -1.16000000e-03 + -3.27000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.20190000e-01 + -1.40500000e-02i, 9.99810000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.85000000e-03 + 1.75700000e-02i, 
0.00000000e+00  11  lf-wheel 7.32340000e-01 + 6.08000000e-03i, 5.64830000e-01 + -2.09300000e-02i, 2.16910000e-01 + 0.00000000e+00i, -1.04860000e-01 + 1.79600000e-02i, -1.72730000e-01 + -9.98100000e-02i, 9.74110000e-01 + 0.00000000e+00i, 
0.00000000e+00  11  rf-wheel 7.32340000e-01 + 6.08000000e-03i, -5.64830000e-01 + 2.09300000e-02i, 2.16910000e-01 + 0.00000000e+00i, -1.04860000e-01 + 1.79600000e-02i, 1.72730000e-01 + 9.98100000e-02i, 9.74110000e-01 + 0.00000000e+00i, 
0.00000000e+00  11  lr-wheel -7.48090000e-01 + 1.05900000e-02i, 6.07640000e-01 + 3.16100000e-02i, 9.90000000e-04 + 0.00000000e+00i, 9.82780000e-01 + 0.00000000e+00i, -1.63490000e-01 + 5.55500000e-02i, 6.22900000e-02 + -2.11600000e-02i, 
0.00000000e+00  11  rr-wheel -7.48090000e-01 + 1.05900000e-02i, -6.07640000e-01 + -3.16100000e-02i, 9.90000000e-04 + 0.00000000e+00i, 9.82780000e-01 + 0.00000000e+00i, 1.63490000e-01 + -5.55500000e-02i, 6.22900000e-02 + -2.11600000e-02i, 

0.00000000e+00  12  f-axle 8.58860000e-01 + -1.92110000e-01i, 0.00000000e+00 + 0.00000000e+00i, 4.25390000e-01 + 7.86800000e-02i, 8.41240000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -1.23130000e-01 + -5.26450000e-01i, 
0.00000000e+00  12  lf-axle 7.31830000e-01 + -2.73000000e-03i, 5.62970000e-01 + 2.11300000e-02i, 2.27770000e-01 + 3.93000000e-03i, -1.05370000e-01 + -1.80500000e-02i, -1.74500000e-01 + -7.31000000e-03i, 9.78810000e-01 + 0.00000000e+00i, 
0.00000000e+00  12  rf-axle 7.31830000e-01 + -2.73000000e-03i, -5.62970000e-01 + -2.11300000e-02i, 2.27770000e-01 + 3.93000000e-03i, -1.05370000e-01 + -1.80500000e-02i, 1.74500000e-01 + 7.31000000e-03i, 9.78810000e-01 + 0.00000000e+00i, 
0.00000000e+00  12  r-axle-t 2.71040000e-01 + -3.50980000e-01i, -0.00000000e+00 + 0.00000000e+00i, 2.12440000e+00 + 9.69760000e-01i, 7.75980000e-01 + -4.19040000e-01i, 0.00000000e+00 + 0.00000000e+00i, -4.46390000e-01 + -1.51660000e-01i, 
0.00000000e+00  12  r-axle-b -3.57710000e-01 + -1.37360000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.31400000e-01 + 3.79520000e-01i, 7.75980000e-01 + -4.19040000e-01i, 0.00000000e+00 + 0.00000000e+00i, -4.46390000e-01 + -1.51660000e-01i, 
0.00000000e+00  12  lr-axle -7.47580000e-01 + -4.90000000e-03i, 6.07880000e-01 + -3.25800000e-02i, 1.02000000e-03 + 0.00000000e+00i, 9.97770000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 6.32400000e-02 + 2.14900000e-02i, 
0.00000000e+00  12  rr-axle -7.47580000e-01 + -4.90000000e-03i, -6.07880000e-01 + 3.25800000e-02i, 1.02000000e-03 + 0.00000000e+00i, 9.97770000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 6.32400000e-02 + 2.14900000e-02i, 
0.00000000e+00  12  chassis -1.16000000e-03 + 3.27000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.20190000e-01 + 1.40500000e-02i, 9.99810000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.85000000e-03 + -1.75700000e-02i, 
0.00000000e+00  12  lf-wheel 7.32340000e-01 + -6.08000000e-03i, 5.64830000e-01 + 2.09300000e-02i, 2.16910000e-01 + 0.00000000e+00i, -1.04860000e-01 + -1.79600000e-02i, -1.72730000e-01 + 9.98100000e-02i, 9.74110000e-01 + 0.00000000e+00i, 
0.00000000e+00  12  rf-wheel 7.32340000e-01 + -6.08000000e-03i, -5.64830000e-01 + -2.09300000e-02i, 2.16910000e-01 + 0.00000000e+00i, -1.04860000e-01 + -1.79600000e-02i, 1.72730000e-01 + -9.98100000e-02i, 9.74110000e-01 + 0.00000000e+00i, 
0.00000000e+00  12  lr-wheel -7.48090000e-01 + -1.05900000e-02i, 6.07640000e-01 + -3.16100000e-02i, 9.90000000e-04 + 0.00000000e+00i, 9.82780000e-01 + 0.00000000e+00i, -1.63490000e-01 + -5.55500000e-02i, 6.22900000e-02 + 2.11600000e-02i, 
0.00000000e+00  12  rr-wheel -7.48090000e-01 + -1.05900000e-02i, -6.07640000e-01 + 3.16100000e-02i, 9.90000000e-04 + 0.00000000e+00i, 9.82780000e-01 + 0.00000000e+00i, 1.63490000e-01 + 5.55500000e-02i, 6.22900000e-02 + 2.11600000e-02i, 

0.00000000e+00  13  f-axle 7.48050000e-01 + -8.58000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  lf-axle 7.48050000e-01 + -8.58000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  rf-axle 7.48050000e-01 + -8.58000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  r-axle-t -7.64070000e-01 + -2.47000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  r-axle-b -7.64070000e-01 + -2.47000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  lr-axle -7.64070000e-01 + -2.47000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  rr-axle -7.64070000e-01 + -2.47000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  chassis -8.38920000e-01 + -6.76000000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  lf-wheel 8.31160000e-01 + 4.25300000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  rf-wheel 8.31160000e-01 + 4.25300000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  lr-wheel -7.51760000e-01 + 1.22400000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  13  rr-wheel -7.51760000e-01 + 1.22400000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  14  f-axle 7.48050000e-01 + 8.58000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  lf-axle 7.48050000e-01 + 8.58000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  rf-axle 7.48050000e-01 + 8.58000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  r-axle-t -7.64070000e-01 + 2.47000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  r-axle-b -7.64070000e-01 + 2.47000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  lr-axle -7.64070000e-01 + 2.47000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  rr-axle -7.64070000e-01 + 2.47000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  chassis -8.38920000e-01 + 6.76000000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  lf-wheel 8.31160000e-01 + -4.25300000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  rf-wheel 8.31160000e-01 + -4.25300000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  lr-wheel -7.51760000e-01 + -1.22400000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  14  rr-wheel -7.51760000e-01 + -1.22400000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  15  f-axle 7.71010000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00170000e-01 + 0.00000000e+00i, 1.92200000e-02 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -9.99820000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  lf-axle 7.69990000e-01 + 0.00000000e+00i, -2.01470000e-01 + 0.00000000e+00i, 2.77720000e-01 + 0.00000000e+00i, -3.92300000e-02 + 0.00000000e+00i, -6.55900000e-02 + 0.00000000e+00i, -9.97080000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  rf-axle 7.69990000e-01 + 0.00000000e+00i, 2.01470000e-01 + 0.00000000e+00i, 2.77720000e-01 + 0.00000000e+00i, -3.92300000e-02 + 0.00000000e+00i, 6.55900000e-02 + 0.00000000e+00i, -9.97080000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  r-axle-t 1.13834000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.25012000e+00 + 0.00000000e+00i, 7.11010000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.03180000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  r-axle-b -1.82900000e-02 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 8.80600000e-01 + 0.00000000e+00i, 7.11010000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.03180000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  lr-axle -7.42600000e-01 + 0.00000000e+00i, 5.93210000e-01 + 0.00000000e+00i, 1.66000000e-03 + 0.00000000e+00i, -9.96360000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.51900000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  rr-axle -7.42600000e-01 + 0.00000000e+00i, -5.93210000e-01 + 0.00000000e+00i, 1.66000000e-03 + 0.00000000e+00i, -9.96360000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.51900000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  chassis 4.56020000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 5.91970000e-01 + 0.00000000e+00i, 5.39210000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.42170000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  lf-wheel 7.65970000e-01 + 0.00000000e+00i, 5.40060000e-01 + 0.00000000e+00i, 1.70000000e-02 + 0.00000000e+00i, -1.07300000e-02 + 0.00000000e+00i, 9.62040000e-01 + 0.00000000e+00i, -2.72700000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  rf-wheel 7.65970000e-01 + 0.00000000e+00i, -5.40060000e-01 + 0.00000000e+00i, 1.70000000e-02 + 0.00000000e+00i, -1.07300000e-02 + 0.00000000e+00i, -9.62040000e-01 + 0.00000000e+00i, -2.72700000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  lr-wheel -7.44040000e-01 + 0.00000000e+00i, 5.93540000e-01 + 0.00000000e+00i, 1.58000000e-03 + 0.00000000e+00i, -9.72360000e-01 + 0.00000000e+00i, 2.18210000e-01 + 0.00000000e+00i, -8.31400000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  rr-wheel -7.44040000e-01 + 0.00000000e+00i, -5.93540000e-01 + 0.00000000e+00i, 1.58000000e-03 + 0.00000000e+00i, -9.72360000e-01 + 0.00000000e+00i, -2.18210000e-01 + 0.00000000e+00i, -8.31400000e-02 + 0.00000000e+00i, 

0.00000000e+00  16  f-axle 7.68490000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00070000e-01 + 0.00000000e+00i, 1.08500000e-02 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -9.99940000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  lf-axle 7.67970000e-01 + 0.00000000e+00i, -1.26470000e-01 + 0.00000000e+00i, 2.56090000e-01 + 0.00000000e+00i, -2.74700000e-02 + 0.00000000e+00i, -4.08400000e-02 + 0.00000000e+00i, -9.98790000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  rf-axle 7.67970000e-01 + 0.00000000e+00i, 1.26470000e-01 + 0.00000000e+00i, 2.56090000e-01 + 0.00000000e+00i, -2.74700000e-02 + 0.00000000e+00i, 4.08400000e-02 + 0.00000000e+00i, -9.98790000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  r-axle-t 1.12010000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.24639000e+00 + 0.00000000e+00i, 7.13720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.00430000e-01 + 0.00000000e+00i, 
