%%% Bode Mag Phase 
frequency speed  m1 m2 m3 m4 p1 p2 p3 p4
6.51844308e-02 0.00000000e+00 -1.16851248e+01 -3.13325334e+00 -1.62985492e+02 -7.89030157e+00 -1.54552400e-01 1.78484551e+02 1.74835970e+02 -2.22374446e+00 
6.56547314e-02 0.00000000e+00 -1.16836946e+01 -3.13209658e+00 -1.62983287e+02 -7.88917270e+00 -1.56171954e-01 1.78473977e+02 1.74798483e+02 -2.23941932e+00 
6.61284252e-02 0.00000000e+00 -1.16822435e+01 -3.13092352e+00 -1.62981051e+02 -7.88802794e+00 -1.57814312e-01 1.78463333e+02 1.74760720e+02 -2.25519969e+00 
6.66055367e-02 0.00000000e+00 -1.16807713e+01 -3.12973393e+00 -1.62978782e+02 -7.88686707e+00 -1.59479886e-01 1.78452621e+02 1.74722679e+02 -2.27108616e+00 
6.70860905e-02 0.00000000e+00 -1.16792776e+01 -3.12852759e+00 -1.62976480e+02 -7.88568987e+00 -1.61169096e-01 1.78441839e+02 1.74684358e+02 -2.28707936e+00 
6.75701115e-02 0.00000000e+00 -1.16777623e+01 -3.12730425e+00 -1.62974146e+02 -7.88449613e+00 -1.62882371e-01 1.78430987e+02 1.74645755e+02 -2.30317990e+00 
6.80576246e-02 0.00000000e+00 -1.16762248e+01 -3.12606370e+00 -1.62971777e+02 -7.88328560e+00 -1.64620148e-01 1.78420064e+02 1.74606867e+02 -2.31938839e+00 
6.85486552e-02 0.00000000e+00 -1.16746649e+01 -3.12480570e+00 -1.62969375e+02 -7.88205808e+00 -1.66382873e-01 1.78409071e+02 1.74567692e+02 -2.33570546e+00 
6.90432284e-02 0.00000000e+00 -1.16730824e+01 -3.12353000e+00 -1.62966938e+02 -7.88081332e+00 -1.68171003e-01 1.78398007e+02 1.74528229e+02 -2.35213173e+00 
6.95413700e-02 0.00000000e+00 -1.16714768e+01 -3.12223636e+00 -1.62964466e+02 -7.87955108e+00 -1.69985003e-01 1.78386872e+02 1.74488474e+02 -2.36866780e+00 
7.00431056e-02 0.00000000e+00 -1.16698478e+01 -3.12092455e+00 -1.62961959e+02 -7.87827114e+00 -1.71825349e-01 1.78375664e+02 1.74448426e+02 -2.38531432e+00 
7.05484612e-02 0.00000000e+00 -1.16681950e+01 -3.11959431e+00 -1.62959415e+02 -7.87697325e+00 -1.73692524e-01 1.78364385e+02 1.74408082e+02 -2.40207190e+00 
7.10574629e-02 0.00000000e+00 -1.16665182e+01 -3.11824539e+00 -1.62956835e+02 -7.87565717e+00 -1.75587026e-01 1.78353033e+02 1.74367441e+02 -2.41894117e+00 
7.15701370e-02 0.00000000e+00 -1.16648170e+01 -3.11687754e+00 -1.62954218e+02 -7.87432265e+00 -1.77509359e-01 1.78341609e+02 1.74326498e+02 -2.43592276e+00 
7.20865101e-02 0.00000000e+00 -1.16630909e+01 -3.11549050e+00 -1.62951563e+02 -7.87296943e+00 -1.79460039e-01 1.78330112e+02 1.74285254e+02 -2.45301729e+00 
7.26066087e-02 0.00000000e+00 -1.16613397e+01 -3.11408400e+00 -1.62948870e+02 -7.87159728e+00 -1.81439594e-01 1.78318541e+02 1.74243704e+02 -2.47022540e+00 
7.31304597e-02 0.00000000e+00 -1.16595630e+01 -3.11265779e+00 -1.62946138e+02 -7.87020592e+00 -1.83448562e-01 1.78306896e+02 1.74201847e+02 -2.48754772e+00 
7.36580904e-02 0.00000000e+00 -1.16577604e+01 -3.11121160e+00 -1.62943367e+02 -7.86879511e+00 -1.85487493e-01 1.78295177e+02 1.74159679e+02 -2.50498488e+00 
7.41895278e-02 0.00000000e+00 -1.16559315e+01 -3.10974515e+00 -1.62940556e+02 -7.86736457e+00 -1.87556947e-01 1.78283383e+02 1.74117200e+02 -2.52253751e+00 
7.47247995e-02 0.00000000e+00 -1.16540760e+01 -3.10825818e+00 -1.62937704e+02 -7.86591404e+00 -1.89657498e-01 1.78271515e+02 1.74074406e+02 -2.54020625e+00 
7.52639332e-02 0.00000000e+00 -1.16521933e+01 -3.10675039e+00 -1.62934812e+02 -7.86444326e+00 -1.91789731e-01 1.78259572e+02 1.74031295e+02 -2.55799174e+00 
7.58069567e-02 0.00000000e+00 -1.16502833e+01 -3.10522152e+00 -1.62931878e+02 -7.86295195e+00 -1.93954243e-01 1.78247553e+02 1.73987864e+02 -2.57589461e+00 
7.63538980e-02 0.00000000e+00 -1.16483454e+01 -3.10367128e+00 -1.62928902e+02 -7.86143983e+00 -1.96151644e-01 1.78235458e+02 1.73944111e+02 -2.59391551e+00 
7.69047855e-02 0.00000000e+00 -1.16463792e+01 -3.10209937e+00 -1.62925883e+02 -7.85990662e+00 -1.98382558e-01 1.78223287e+02 1.73900032e+02 -2.61205507e+00 
7.74596476e-02 0.00000000e+00 -1.16443844e+01 -3.10050551e+00 -1.62922821e+02 -7.85835204e+00 -2.00647621e-01 1.78211039e+02 1.73855627e+02 -2.63031394e+00 
7.80185130e-02 0.00000000e+00 -1.16423604e+01 -3.09888940e+00 -1.62919715e+02 -7.85677581e+00 -2.02947484e-01 1.78198714e+02 1.73810892e+02 -2.64869275e+00 
7.85814105e-02 0.00000000e+00 -1.16403069e+01 -3.09725074e+00 -1.62916564e+02 -7.85517763e+00 -2.05282809e-01 1.78186312e+02 1.73765824e+02 -2.66719216e+00 
7.91483694e-02 0.00000000e+00 -1.16382235e+01 -3.09558923e+00 -1.62913368e+02 -7.85355721e+00 -2.07654275e-01 1.78173833e+02 1.73720421e+02 -2.68581280e+00 
7.97194187e-02 0.00000000e+00 -1.16361097e+01 -3.09390456e+00 -1.62910126e+02 -7.85191425e+00 -2.10062575e-01 1.78161276e+02 1.73674680e+02 -2.70455532e+00 
8.02945882e-02 0.00000000e+00 -1.16339650e+01 -3.09219642e+00 -1.62906838e+02 -7.85024845e+00 -2.12508416e-01 1.78148640e+02 1.73628598e+02 -2.72342036e+00 
8.08739075e-02 0.00000000e+00 -1.16317890e+01 -3.09046449e+00 -1.62903502e+02 -7.84855951e+00 -2.14992520e-01 1.78135926e+02 1.73582173e+02 -2.74240858e+00 
8.14574065e-02 0.00000000e+00 -1.16295813e+01 -3.08870846e+00 -1.62900118e+02 -7.84684711e+00 -2.17515626e-01 1.78123133e+02 1.73535402e+02 -2.76152062e+00 
8.20451154e-02 0.00000000e+00 -1.16273413e+01 -3.08692800e+00 -1.62896686e+02 -7.84511095e+00 -2.20078486e-01 1.78110261e+02 1.73488282e+02 -2.78075713e+00 
8.26370646e-02 0.00000000e+00 -1.16250686e+01 -3.08512279e+00 -1.62893205e+02 -7.84335070e+00 -2.22681872e-01 1.78097309e+02 1.73440811e+02 -2.80011875e+00 
8.32332846e-02 0.00000000e+00 -1.16227627e+01 -3.08329249e+00 -1.62889673e+02 -7.84156605e+00 -2.25326571e-01 1.78084277e+02 1.73392985e+02 -2.81960615e+00 
8.38338063e-02 0.00000000e+00 -1.16204232e+01 -3.08143677e+00 -1.62886091e+02 -7.83975668e+00 -2.28013385e-01 1.78071165e+02 1.73344801e+02 -2.83921996e+00 
8.44386608e-02 0.00000000e+00 -1.16180495e+01 -3.07955530e+00 -1.62882458e+02 -7.83792225e+00 -2.30743135e-01 1.78057972e+02 1.73296257e+02 -2.85896085e+00 
8.50478792e-02 0.00000000e+00 -1.16156411e+01 -3.07764772e+00 -1.62878772e+02 -7.83606244e+00 -2.33516662e-01 1.78044699e+02 1.73247350e+02 -2.87882946e+00 
8.56614931e-02 0.00000000e+00 -1.16131976e+01 -3.07571370e+00 -1.62875033e+02 -7.83417690e+00 -2.36334821e-01 1.78031344e+02 1.73198077e+02 -2.89882644e+00 
8.62795342e-02 0.00000000e+00 -1.16107183e+01 -3.07375288e+00 -1.62871241e+02 -7.83226531e+00 -2.39198488e-01 1.78017908e+02 1.73148435e+02 -2.91895246e+00 
