%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -3.445492411389e+01 -7.035320304769e+01 5.677388884652e-02 1.782661432115e+02 
1.016265089393e-03 1.000000000000e+00 -3.445492366343e+01 -7.035308408177e+01 5.769736846923e-02 1.782379571280e+02 
1.032794731919e-03 1.000000000000e+00 -3.445492324641e+01 -7.035296002301e+01 5.863586783948e-02 1.782093136194e+02 
1.049593230558e-03 1.000000000000e+00 -3.445492286238e+01 -7.035283074267e+01 5.958963126765e-02 1.781802052921e+02 
1.066664958280e-03 1.000000000000e+00 -3.445492251095e+01 -7.035269610657e+01 6.055890703767e-02 1.781506246345e+02 
1.084014359178e-03 1.000000000000e+00 -3.445492219175e+01 -7.035255597500e+01 6.154394747173e-02 1.781205640155e+02 
1.101645949634e-03 1.000000000000e+00 -3.445492190445e+01 -7.035241020257e+01 6.254500899590e-02 1.780900156824e+02 
1.119564319484e-03 1.000000000000e+00 -3.445492164875e+01 -7.035225863804e+01 6.356235220693e-02 1.780589717589e+02 
1.137774133221e-03 1.000000000000e+00 -3.445492142438e+01 -7.035210112419e+01 6.459624194007e-02 1.780274242439e+02 
1.156280131207e-03 1.000000000000e+00 -3.445492123112e+01 -7.035193749765e+01 6.564694733802e-02 1.779953650087e+02 
1.175087130905e-03 1.000000000000e+00 -3.445492106876e+01 -7.035176758872e+01 6.671474192100e-02 1.779627857959e+02 
1.194200028134e-03 1.000000000000e+00 -3.445492093713e+01 -7.035159122122e+01 6.779990365796e-02 1.779296782169e+02 
1.213623798344e-03 1.000000000000e+00 -3.445492083610e+01 -7.035140821227e+01 6.890271503893e-02 1.778960337503e+02 
1.233363497914e-03 1.000000000000e+00 -3.445492076555e+01 -7.035121837217e+01 7.002346314858e-02 1.778618437394e+02 
1.253424265461e-03 1.000000000000e+00 -3.445492072543e+01 -7.035102150414e+01 7.116243974094e-02 1.778270993909e+02 
1.273811323186e-03 1.000000000000e+00 -3.445492071568e+01 -7.035081740415e+01 7.231994131536e-02 1.777917917723e+02 
1.294529978228e-03 1.000000000000e+00 -3.445492073630e+01 -7.035060586069e+01 7.349626919372e-02 1.777559118101e+02 
1.315585624046e-03 1.000000000000e+00 -3.445492078730e+01 -7.035038665460e+01 7.469172959882e-02 1.777194502874e+02 
1.336983741825e-03 1.000000000000e+00 -3.445492086875e+01 -7.035015955879e+01 7.590663373419e-02 1.776823978422e+02 
1.358729901903e-03 1.000000000000e+00 -3.445492098072e+01 -7.034992433806e+01 7.714129786500e-02 1.776447449651e+02 
1.380829765218e-03 1.000000000000e+00 -3.445492112334e+01 -7.034968074880e+01 7.839604340050e-02 1.776064819970e+02 
1.403289084786e-03 1.000000000000e+00 -3.445492129675e+01 -7.034942853882e+01 7.967119697761e-02 1.775675991272e+02 
1.426113707194e-03 1.000000000000e+00 -3.445492150113e+01 -7.034916744701e+01 8.096709054601e-02 1.775280863909e+02 
1.449309574126e-03 1.000000000000e+00 -3.445492173670e+01 -7.034889720314e+01 8.228406145454e-02 1.774879336670e+02 
1.472882723908e-03 1.000000000000e+00 -3.445492200370e+01 -7.034861752755e+01 8.362245253903e-02 1.774471306762e+02 
