%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.122395106211e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.167067131003e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 6.512199985424e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.701580958423e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.221535616296e-03  Inf
{6} 1.000000000000e+00 8.965478738920e+00 8.759096714298e-01 2.026690001684e-02 2.311807064521e-01
{7} 1.000000000000e+00 8.965478738920e+00 8.759096714298e-01 2.026690001684e-02 2.311807064521e-01
{8} 1.000000000000e+00 7.098580064653e+00 3.613568748464e-01 6.204579090367e-02 1.510822346188e-01
{9} 1.000000000000e+00 7.098580064653e+00 3.613568748464e-01 6.204579090367e-02 1.510822346188e-01
{10} 1.000000000000e+00 3.660126035323e+00 5.197557025592e-01 8.366134228753e-02 3.198055235330e-01
{11} 1.000000000000e+00 3.660126035323e+00 5.197557025592e-01 8.366134228753e-02 3.198055235330e-01
{12} 1.000000000000e+00  NaN  NaN 5.162135222270e-02  Inf
{13} 1.000000000000e+00  NaN  NaN 1.425392664354e-01  Inf
{14} 1.000000000000e+00 6.241233301697e-01 -9.673801687307e-01 -2.636043267505e-01 6.324767757727e+00
{15} 1.000000000000e+00 6.241233301697e-01 -9.673801687307e-01 -2.636043267505e-01 6.324767757727e+00
{16} 1.000000000000e+00  NaN  NaN 2.913419859725e-01  Inf
{17} 1.000000000000e+00  NaN  NaN 2.633588518942e+06  Inf
{18} 1.000000000000e+00  NaN  NaN -2.633590954190e+06  Inf
{19} 1.000000000000e+00 3.138489936904e-06 -1.963032781572e-07 -2.583282125883e+11 3.186245678985e+05
{20} 1.000000000000e+00 3.138489936904e-06 -1.963032781572e-07 -2.583282125883e+11 3.186245678985e+05
{21} 1.000000000000e+00  NaN  NaN -3.616249444423e+11  Inf
{22} 1.000000000000e+00  NaN  NaN 7.290600340671e+10  Inf

