%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+00 -1.096203341729e+04 0.000000000000e+00 -1.744661804700e+03 0.000000000000e+00
{2} 1.000000000000e+00 -8.568487394042e+03 0.000000000000e+00 -1.363717123582e+03 0.000000000000e+00
{3} 1.000000000000e+00 -1.535579377535e+03 0.000000000000e+00 -2.443950484447e+02 0.000000000000e+00
{4} 1.000000000000e+00 -1.030759836243e+03 0.000000000000e+00 -1.640505230786e+02 0.000000000000e+00
{5} 1.000000000000e+00 -1.915145415994e+02 0.000000000000e+00 -3.048048596953e+01 0.000000000000e+00
{6} 1.000000000000e+00 -4.934153714525e+01 2.717867508759e+01 -7.852949536418e+00 4.325620486878e+00
{7} 1.000000000000e+00 -4.934153714525e+01 -2.717867508759e+01 -7.852949536418e+00 -4.325620486878e+00
{8} 1.000000000000e+00 -1.611712874371e+01 4.158784997476e+01 -2.565120708010e+00 6.618911896047e+00
{9} 1.000000000000e+00 -1.611712874371e+01 -4.158784997476e+01 -2.565120708010e+00 -6.618911896047e+00
{10} 1.000000000000e+00 -1.195295189698e+01 1.964689426801e+01 -1.902371378945e+00 3.126900339158e+00
{11} 1.000000000000e+00 -1.195295189698e+01 -1.964689426801e+01 -1.902371378945e+00 -3.126900339158e+00
{12} 1.000000000000e+00 -1.937182884489e+01 0.000000000000e+00 -3.083122317395e+00 0.000000000000e+00
{13} 1.000000000000e+00 -7.015610680534e+00 0.000000000000e+00 -1.116569118615e+00 0.000000000000e+00
{14} 1.000000000000e+00 3.793564439276e+00 9.934254581132e-01 6.037645324483e-01 1.581085722520e-01
{15} 1.000000000000e+00 3.793564439276e+00 -9.934254581132e-01 6.037645324483e-01 -1.581085722520e-01
{16} 1.000000000000e+00 -3.432392336662e+00 0.000000000000e+00 -5.462822070105e-01 0.000000000000e+00
{17} 1.000000000000e+00 -3.797100392896e-07 0.000000000000e+00 -6.043272969456e-08 0.000000000000e+00
{18} 1.000000000000e+00 3.797096881765e-07 0.000000000000e+00 6.043267381317e-08 0.000000000000e+00
{19} 1.000000000000e+00 3.871044474704e-12 1.971971385829e-05 6.160958630777e-13 3.138489936904e-06
{20} 1.000000000000e+00 3.871044474704e-12 -1.971971385829e-05 6.160958630777e-13 -3.138489936904e-06
{21} 1.000000000000e+00 2.765295965803e-12 0.000000000000e+00 4.401105220696e-13 0.000000000000e+00
{22} 1.000000000000e+00 -1.371629157096e-11 0.000000000000e+00 -2.183015604408e-12 0.000000000000e+00

