%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -4.569763715564e+01 -8.239950885771e+01 -1.799715736307e+02 -1.949731309219e+00 
1.016265089393e-03 1.000000000000e+00 -4.569763701030e+01 -8.239934043462e+01 -1.799711112739e+02 -1.981417800513e+00 
1.032794731919e-03 1.000000000000e+00 -4.569763686019e+01 -8.239916649505e+01 -1.799706413968e+02 -2.013618384185e+00 
1.049593230558e-03 1.000000000000e+00 -4.569763670515e+01 -8.239898685857e+01 -1.799701638771e+02 -2.046341358066e+00 
1.066664958280e-03 1.000000000000e+00 -4.569763654503e+01 -8.239880133882e+01 -1.799696785906e+02 -2.079595151790e+00 
1.084014359178e-03 1.000000000000e+00 -4.569763637966e+01 -8.239860974339e+01 -1.799691854109e+02 -2.113388328784e+00 
1.101645949634e-03 1.000000000000e+00 -4.569763620887e+01 -8.239841187359e+01 -1.799686842096e+02 -2.147729588276e+00 
1.119564319484e-03 1.000000000000e+00 -4.569763603247e+01 -8.239820752425e+01 -1.799681748563e+02 -2.182627767340e+00 
1.137774133221e-03 1.000000000000e+00 -4.569763585029e+01 -8.239799648350e+01 -1.799676572183e+02 -2.218091842950e+00 
1.156280131207e-03 1.000000000000e+00 -4.569763566214e+01 -8.239777853260e+01 -1.799671311609e+02 -2.254130934068e+00 
1.175087130905e-03 1.000000000000e+00 -4.569763546781e+01 -8.239755344563e+01 -1.799665965472e+02 -2.290754303759e+00 
1.194200028134e-03 1.000000000000e+00 -4.569763526711e+01 -8.239732098934e+01 -1.799660532380e+02 -2.327971361325e+00 
1.213623798344e-03 1.000000000000e+00 -4.569763505983e+01 -8.239708092289e+01 -1.799655010919e+02 -2.365791664463e+00 
1.233363497914e-03 1.000000000000e+00 -4.569763484576e+01 -8.239683299758e+01 -1.799649399651e+02 -2.404224921450e+00 
1.253424265461e-03 1.000000000000e+00 -4.569763462466e+01 -8.239657695661e+01 -1.799643697116e+02 -2.443280993357e+00 
1.273811323186e-03 1.000000000000e+00 -4.569763439631e+01 -8.239631253482e+01 -1.799637901830e+02 -2.482969896276e+00 
1.294529978228e-03 1.000000000000e+00 -4.569763416047e+01 -8.239603945844e+01 -1.799632012283e+02 -2.523301803581e+00 
1.315585624046e-03 1.000000000000e+00 -4.569763391690e+01 -8.239575744478e+01 -1.799626026943e+02 -2.564287048206e+00 
1.336983741825e-03 1.000000000000e+00 -4.569763366534e+01 -8.239546620194e+01 -1.799619944251e+02 -2.605936124953e+00 
1.358729901903e-03 1.000000000000e+00 -4.569763340553e+01 -8.239516542856e+01 -1.799613762624e+02 -2.648259692817e+00 
1.380829765218e-03 1.000000000000e+00 -4.569763313720e+01 -8.239485481344e+01 -1.799607480453e+02 -2.691268577333e+00 
1.403289084786e-03 1.000000000000e+00 -4.569763286007e+01 -8.239453403531e+01 -1.799601096103e+02 -2.734973772963e+00 
1.426113707194e-03 1.000000000000e+00 -4.569763257385e+01 -8.239420276243e+01 -1.799594607912e+02 -2.779386445470e+00 
1.449309574126e-03 1.000000000000e+00 -4.569763227825e+01 -8.239386065231e+01 -1.799588014191e+02 -2.824517934357e+00 
1.472882723908e-03 1.000000000000e+00 -4.569763197295e+01 -8.239350735131e+01 -1.799581313223e+02 -2.870379755286e+00 
1.496839293077e-03 1.000000000000e+00 -4.569763165764e+01 -8.239314249433e+01 -1.799574503264e+02 -2.916983602554e+00 
1.521185517986e-03 1.000000000000e+00 -4.569763133198e+01 -8.239276570442e+01 -1.799567582541e+02 -2.964341351560e+00 
1.545927736419e-03 1.000000000000e+00 -4.569763099565e+01 -8.239237659239e+01 -1.799560549253e+02 -3.012465061308e+00 
1.571072389247e-03 1.000000000000e+00 -4.569763064829e+01 -8.239197475646e+01 -1.799553401569e+02 -3.061366976928e+00 
1.596626022101e-03 1.000000000000e+00 -4.569763028954e+01 -8.239155978179e+01 -1.799546137629e+02 -3.111059532204e+00 
1.622595287078e-03 1.000000000000e+00 -4.569762991902e+01 -8.239113124012e+01 -1.799538755540e+02 -3.161555352137e+00 
1.648986944471e-03 1.000000000000e+00 -4.569762953635e+01 -8.239068868932e+01 -1.799531253383e+02 -3.212867255504e+00 
1.675807864531e-03 1.000000000000e+00 -4.569762914113e+01 -8.239023167293e+01 -1.799523629204e+02 -3.265008257450e+00 
