%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 3.000000000000e+01  NaN  NaN 2.809805616677e-03  Inf
{2} 3.000000000000e+01  NaN  NaN 3.528270542300e-03  Inf
{3} 3.000000000000e+01 2.006949326046e+01 2.145448353092e-01 3.696286790982e-02 5.101479165740e-02
{4} 3.000000000000e+01 2.006949326046e+01 2.145448353092e-01 3.696286790982e-02 5.101479165740e-02
{5} 3.000000000000e+01  NaN  NaN 4.054070463884e-02  Inf
{6} 3.000000000000e+01 3.119026610543e+00 8.524231433622e-01 5.986125522388e-02 6.131993601180e-01
{7} 3.000000000000e+01 3.119026610543e+00 8.524231433622e-01 5.986125522388e-02 6.131993601180e-01
{8} 3.000000000000e+01  NaN  NaN 5.972258201616e-02  Inf
{9} 3.000000000000e+01 7.363407559601e-01 -7.839371521067e-01 -2.757147788184e-01 2.187466132583e+00
{10} 3.000000000000e+01 7.363407559601e-01 -7.839371521067e-01 -2.757147788184e-01 2.187466132583e+00
{11} 3.000000000000e+01 3.939158449093e-08 -3.141918122446e-06 -1.285943294348e+12 2.538613292479e+07
{12} 3.000000000000e+01 3.939158449093e-08 -3.141918122446e-06 -1.285943294348e+12 2.538613292479e+07
{13} 3.000000000000e+01  NaN  NaN 2.577020775222e-01  Inf
{14} 3.000000000000e+01  NaN  NaN 2.090837431119e-01  Inf
{15} 3.000000000000e+01  NaN  NaN 2.663224197597e+12  Inf
{16} 3.000000000000e+01  NaN  NaN 3.457423539603e+12  Inf
{17} 3.000000000000e+01  NaN  NaN -2.456830997886e+13  Inf
{18} 3.000000000000e+01  NaN  NaN 1.670878768244e+13  Inf

