%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
1.459181807043e-01 3.000000000000e+01 -8.329830978490e+01 -5.759587862413e+01 -8.690748574740e+01 -4.641934020418e+00 -1.774883952552e+02 1.752426969956e+02 
1.465921587784e-01 3.000000000000e+01 -8.329839489499e+01 -5.759579624936e+01 -8.690756343195e+01 -4.663377223045e+00 -1.774767534881e+02 1.752207207317e+02 
1.472692498740e-01 3.000000000000e+01 -8.329848079526e+01 -5.759571309361e+01 -8.690764183790e+01 -4.684919505686e+00 -1.774650573885e+02 1.751986429230e+02 
1.479494683698e-01 3.000000000000e+01 -8.329856749304e+01 -5.759562914930e+01 -8.690772097197e+01 -4.706561326468e+00 -1.774533066981e+02 1.751764631000e+02 
1.486328287110e-01 3.000000000000e+01 -8.329865499576e+01 -5.759554440880e+01 -8.690780084095e+01 -4.728303145641e+00 -1.774415011569e+02 1.751541807911e+02 
1.493193454093e-01 3.000000000000e+01 -8.329874331092e+01 -5.759545886437e+01 -8.690788145167e+01 -4.750145425586e+00 -1.774296405038e+02 1.751317955222e+02 
1.500090330435e-01 3.000000000000e+01 -8.329883244608e+01 -5.759537250822e+01 -8.690796281105e+01 -4.772088630826e+00 -1.774177244764e+02 1.751093068172e+02 
1.507019062597e-01 3.000000000000e+01 -8.329892240888e+01 -5.759528533248e+01 -8.690804492605e+01 -4.794133228040e+00 -1.774057528110e+02 1.750867141979e+02 
1.513979797719e-01 3.000000000000e+01 -8.329901320702e+01 -5.759519732918e+01 -8.690812780373e+01 -4.816279686064e+00 -1.773937252424e+02 1.750640171838e+02 
1.520972683618e-01 3.000000000000e+01 -8.329910484827e+01 -5.759510849028e+01 -8.690821145119e+01 -4.838528475910e+00 -1.773816415044e+02 1.750412152920e+02 
1.527997868794e-01 3.000000000000e+01 -8.329919734050e+01 -5.759501880766e+01 -8.690829587559e+01 -4.860880070771e+00 -1.773695013290e+02 1.750183080376e+02 
1.535055502433e-01 3.000000000000e+01 -8.329929069163e+01 -5.759492827313e+01 -8.690838108417e+01 -4.883334946033e+00 -1.773573044474e+02 1.749952949333e+02 
1.542145734412e-01 3.000000000000e+01 -8.329938490965e+01 -5.759483687839e+01 -8.690846708425e+01 -4.905893579283e+00 -1.773450505889e+02 1.749721754897e+02 
1.549268715297e-01 3.000000000000e+01 -8.329948000264e+01 -5.759474461507e+01 -8.690855388320e+01 -4.928556450323e+00 -1.773327394818e+02 1.749489492150e+02 
1.556424596352e-01 3.000000000000e+01 -8.329957597875e+01 -5.759465147473e+01 -8.690864148846e+01 -4.951324041178e+00 -1.773203708530e+02 1.749256156151e+02 
1.563613529539e-01 3.000000000000e+01 -8.329967284620e+01 -5.759455744881e+01 -8.690872990756e+01 -4.974196836107e+00 -1.773079444279e+02 1.749021741937e+02 
1.570835667521e-01 3.000000000000e+01 -8.329977061330e+01 -5.759446252870e+01 -8.690881914806e+01 -4.997175321612e+00 -1.772954599306e+02 1.748786244521e+02 
1.578091163668e-01 3.000000000000e+01 -8.329986928843e+01 -5.759436670567e+01 -8.690890921763e+01 -5.020259986449e+00 -1.772829170836e+02 1.748549658895e+02 
1.585380172056e-01 3.000000000000e+01 -8.329996888005e+01 -5.759426997093e+01 -8.690900012400e+01 -5.043451321640e+00 -1.772703156084e+02 1.748311980025e+02 
1.592702847475e-01 3.000000000000e+01 -8.330006939669e+01 -5.759417231558e+01 -8.690909187497e+01 -5.066749820485e+00 -1.772576552248e+02 1.748073202856e+02 
1.600059345428e-01 3.000000000000e+01 -8.330017084698e+01 -5.759407373063e+01 -8.690918447841e+01 -5.090155978566e+00 -1.772449356512e+02 1.747833322307e+02 
1.607449822138e-01 3.000000000000e+01 -8.330027323961e+01 -5.759397420702e+01 -8.690927794227e+01 -5.113670293763e+00 -1.772321566047e+02 1.747592333277e+02 
1.614874434547e-01 3.000000000000e+01 -8.330037658336e+01 -5.759387373556e+01 -8.690937227457e+01 -5.137293266265e+00 -1.772193178009e+02 1.747350230638e+02 
1.622333340325e-01 3.000000000000e+01 -8.330048088711e+01 -5.759377230701e+01 -8.690946748341e+01 -5.161025398580e+00 -1.772064189538e+02 1.747107009240e+02 
1.629826697869e-01 3.000000000000e+01 -8.330058615978e+01 -5.759366991200e+01 -8.690956357696e+01 -5.184867195541e+00 -1.771934597763e+02 1.746862663909e+02 
1.637354666307e-01 3.000000000000e+01 -8.330069241043e+01 -5.759356654108e+01 -8.690966056348e+01 -5.208819164323e+00 -1.771804399796e+02 1.746617189446e+02 
1.644917405502e-01 3.000000000000e+01 -8.330079964815e+01 -5.759346218470e+01 -8.690975845128e+01 -5.232881814457e+00 -1.771673592734e+02 1.746370580629e+02 
1.652515076057e-01 3.000000000000e+01 -8.330090788215e+01 -5.759335683322e+01 -8.690985724878e+01 -5.257055657827e+00 -1.771542173661e+02 1.746122832211e+02 
1.660147839314e-01 3.000000000000e+01 -8.330101712172e+01 -5.759325047688e+01 -8.690995696447e+01 -5.281341208696e+00 -1.771410139645e+02 1.745873938922e+02 
1.667815857364e-01 3.000000000000e+01 -8.330112737623e+01 -5.759314310585e+01 -8.691005760689e+01 -5.305738983707e+00 -1.771277487739e+02 1.745623895467e+02 
1.675519293042e-01 3.000000000000e+01 -8.330123865514e+01 -5.759303471017e+01 -8.691015918471e+01 -5.330249501902e+00 -1.771144214982e+02 1.745372696524e+02 
1.683258309940e-01 3.000000000000e+01 -8.330135096801e+01 -5.759292527980e+01 -8.691026170665e+01 -5.354873284726e+00 -1.771010318397e+02 1.745120336750e+02 
1.691033072402e-01 3.000000000000e+01 -8.330146432447e+01 -5.759281480458e+01 -8.691036518151e+01 -5.379610856043e+00 -1.770875794992e+02 1.744866810776e+02 
1.698843745532e-01 3.000000000000e+01 -8.330157873425e+01 -5.759270327426e+01 -8.691046961819e+01 -5.404462742145e+00 -1.770740641760e+02 1.744612113206e+02 
1.706690495198e-01 3.000000000000e+01 -8.330169420718e+01 -5.759259067847e+01 -8.691057502565e+01 -5.429429471763e+00 -1.770604855679e+02 1.744356238622e+02 
1.714573488033e-01 3.000000000000e+01 -8.330181075318e+01 -5.759247700675e+01 -8.691068141297e+01 -5.454511576081e+00 -1.770468433710e+02 1.744099181580e+02 
1.722492891439e-01 3.000000000000e+01 -8.330192838224e+01 -5.759236224851e+01 -8.691078878929e+01 -5.479709588746e+00 -1.770331372801e+02 1.743840936609e+02 
1.730448873592e-01 3.000000000000e+01 -8.330204710447e+01 -5.759224639307e+01 -8.691089716382e+01 -5.505024045878e+00 -1.770193669882e+02 1.743581498215e+02 
1.738441603446e-01 3.000000000000e+01 -8.330216693007e+01 -5.759212942963e+01 -8.691100654590e+01 -5.530455486083e+00 -1.770055321869e+02 1.743320860878e+02 
1.746471250732e-01 3.000000000000e+01 -8.330228786933e+01 -5.759201134729e+01 -8.691111694493e+01 -5.556004450464e+00 -1.769916325661e+02 1.743059019050e+02 
1.754537985968e-01 3.000000000000e+01 -8.330240993263e+01 -5.759189213501e+01 -8.691122837039e+01 -5.581671482635e+00 -1.769776678141e+02 1.742795967161e+02 
1.762641980460e-01 3.000000000000e+01 -8.330253313047e+01 -5.759177178167e+01 -8.691134083187e+01 -5.607457128728e+00 -1.769636376178e+02 1.742531699613e+02 
1.770783406302e-01 3.000000000000e+01 -8.330265747343e+01 -5.759165027602e+01 -8.691145433905e+01 -5.633361937409e+00 -1.769495416623e+02 1.742266210781e+02 
1.778962436385e-01 3.000000000000e+01 -8.330278297219e+01 -5.759152760668e+01 -8.691156890169e+01 -5.659386459889e+00 -1.769353796311e+02 1.741999495017e+02 
1.787179244400e-01 3.000000000000e+01 -8.330290963754e+01 -5.759140376216e+01 -8.691168452964e+01 -5.685531249934e+00 -1.769211512062e+02 1.741731546644e+02 
1.795434004837e-01 3.000000000000e+01 -8.330303748037e+01 -5.759127873087e+01 -8.691180123286e+01 -5.711796863878e+00 -1.769068560678e+02 1.741462359960e+02 
1.803726892994e-01 3.000000000000e+01 -8.330316651166e+01 -5.759115250108e+01 -8.691191902137e+01 -5.738183860635e+00 -1.768924938945e+02 1.741191929237e+02 
1.812058084978e-01 3.000000000000e+01 -8.330329674251e+01 -5.759102506093e+01 -8.691203790533e+01 -5.764692801713e+00 -1.768780643635e+02 1.740920248719e+02 
1.820427757710e-01 3.000000000000e+01 -8.330342818411e+01 -5.759089639845e+01 -8.691215789496e+01 -5.791324251221e+00 -1.768635671499e+02 1.740647312624e+02 
1.828836088928e-01 3.000000000000e+01 -8.330356084776e+01 -5.759076650156e+01 -8.691227900059e+01 -5.818078775887e+00 -1.768490019274e+02 1.740373115144e+02 
1.837283257190e-01 3.000000000000e+01 -8.330369474487e+01 -5.759063535802e+01 -8.691240123265e+01 -5.844956945067e+00 -1.768343683680e+02 1.740097650442e+02 
