%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 0.00000000e+00 -5.10430000e+00 8.73405000e+01 -8.12374576e-01 1.39006723e+01
{2} 0.00000000e+00 -5.10430000e+00 -8.73405000e+01 -8.12374576e-01 -1.39006723e+01
{3} 0.00000000e+00 -2.50540000e+00 7.23457000e+01 -3.98746794e-01 1.15141758e+01
{4} 0.00000000e+00 -2.50540000e+00 -7.23457000e+01 -3.98746794e-01 -1.15141758e+01
{5} 0.00000000e+00 -4.46380000e+00 8.18326000e+01 -7.10435835e-01 1.30240628e+01
{6} 0.00000000e+00 -4.46380000e+00 -8.18326000e+01 -7.10435835e-01 -1.30240628e+01
{7} 0.00000000e+00 -4.51100000e+00 8.27759000e+01 -7.17947948e-01 1.31741937e+01
{8} 0.00000000e+00 -4.51100000e+00 -8.27759000e+01 -7.17947948e-01 -1.31741937e+01
{9} 0.00000000e+00 -1.07150000e+00 7.14070000e+00 -1.70534522e-01 1.13647770e+00
{10} 0.00000000e+00 -1.07150000e+00 -7.14070000e+00 -1.70534522e-01 -1.13647770e+00
{11} 0.00000000e+00 -1.05740000e+00 5.41840000e+00 -1.68290437e-01 8.62365144e-01
{12} 0.00000000e+00 -1.05740000e+00 -5.41840000e+00 -1.68290437e-01 -8.62365144e-01
{13} 0.00000000e+00 -1.01260000e+00 3.78930000e+00 -1.61160295e-01 6.03085826e-01
{14} 0.00000000e+00 -1.01260000e+00 -3.78930000e+00 -1.61160295e-01 -6.03085826e-01
{15} 0.00000000e+00 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{16} 0.00000000e+00 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00

