%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  2  rf-wheel 4.86610000e-01 + -3.06800000e-02i, -2.99720000e-01 + 1.35600000e-02i, 1.90900000e-02 + 0.00000000e+00i, 7.87510000e-01 + 0.00000000e+00i, 5.33000000e-01 + -1.10580000e-01i, -2.78360000e-01 + -7.76500000e-02i, 
0.00000000e+00  2  lr-wheel 1.15393000e+00 + 1.42040000e-01i, 4.14748000e+00 + 4.58710000e-01i, 6.95000000e-03 + 0.00000000e+00i, -8.64780000e-01 + 1.11250000e-01i, 4.56250000e-01 + -3.48800000e-02i, -1.73830000e-01 + 1.32900000e-02i, 
0.00000000e+00  2  rr-wheel 1.15393000e+00 + 1.42040000e-01i, -4.14748000e+00 + -4.58710000e-01i, 6.95000000e-03 + 0.00000000e+00i, 8.64780000e-01 + -1.11250000e-01i, 4.56250000e-01 + -3.48800000e-02i, 1.73830000e-01 + -1.32900000e-02i, 

0.00000000e+00  3  f-axle 7.52260000e-01 + 1.40000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -1.73000000e-02 + -2.40000000e-04i, 9.96570000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.27600000e-02 + -1.33000000e-03i, 
0.00000000e+00  3  lf-axle 7.01320000e-01 + 7.70000000e-04i, 1.25890000e-01 + 3.70000000e-04i, 4.34000000e-02 + -1.00000000e-05i, 8.94020000e-01 + 0.00000000e+00i, 6.56100000e-02 + 8.20000000e-04i, -4.43150000e-01 + -5.74000000e-03i, 
0.00000000e+00  3  rf-axle 7.01320000e-01 + 7.70000000e-04i, -1.25890000e-01 + -3.70000000e-04i, 4.34000000e-02 + -1.00000000e-05i, 8.94020000e-01 + 0.00000000e+00i, -6.56100000e-02 + -8.20000000e-04i, -4.43150000e-01 + -5.74000000e-03i, 
0.00000000e+00  3  r-axle-t -6.69870000e-01 + 2.82500000e-02i, -0.00000000e+00 + 0.00000000e+00i, 4.19230000e-01 + 3.67700000e-02i, 7.12320000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.99140000e-01 + -6.15900000e-02i, 
0.00000000e+00  3  r-axle-b -7.25940000e-01 + 1.10600000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.64070000e-01 + 1.43900000e-02i, 7.12320000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.99140000e-01 + -6.15900000e-02i, 
0.00000000e+00  3  lr-axle -6.65930000e-01 + 2.94600000e-02i, 3.71280000e-01 + -9.22400000e-02i, 1.68780000e-01 + 0.00000000e+00i, 4.89070000e-01 + 1.49960000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.59260000e-01 + 0.00000000e+00i, 
0.00000000e+00  3  rr-axle -6.65930000e-01 + 2.94600000e-02i, -3.71280000e-01 + 9.22400000e-02i, 1.68780000e-01 + 0.00000000e+00i, 4.89070000e-01 + 1.49960000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.59260000e-01 + 0.00000000e+00i, 
0.00000000e+00  3  chassis -5.16760000e-01 + 4.57600000e-02i, 0.00000000e+00 + 0.00000000e+00i, 4.69930000e-01 + -9.95800000e-02i, 3.20860000e-01 + 1.51740000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.34890000e-01 + 0.00000000e+00i, 
0.00000000e+00  3  lf-wheel 8.00270000e-01 + -7.70000000e-04i, 1.54850000e-01 + 3.50000000e-04i, 4.21800000e-02 + 0.00000000e+00i, 8.66480000e-01 + 0.00000000e+00i, 2.54360000e-01 + 3.64000000e-03i, -4.29500000e-01 + -5.56000000e-03i, 
0.00000000e+00  3  rf-wheel 8.00270000e-01 + -7.70000000e-04i, -1.54850000e-01 + -3.50000000e-04i, 4.21800000e-02 + 0.00000000e+00i, 8.66480000e-01 + 0.00000000e+00i, -2.54360000e-01 + -3.64000000e-03i, -4.29500000e-01 + -5.56000000e-03i, 
0.00000000e+00  3  lr-wheel -5.78230000e-01 + -1.35400000e-02i, 5.62420000e-01 + -1.51600000e-02i, 2.77300000e-02 + 0.00000000e+00i, -1.98240000e-01 + -6.07900000e-02i, 9.14160000e-01 + 0.00000000e+00i, -3.48300000e-01 + 0.00000000e+00i, 
0.00000000e+00  3  rr-wheel -5.78230000e-01 + -1.35400000e-02i, -5.62420000e-01 + 1.51600000e-02i, 2.77300000e-02 + 0.00000000e+00i, 1.98240000e-01 + 6.07900000e-02i, 9.14160000e-01 + 0.00000000e+00i, 3.48300000e-01 + 0.00000000e+00i, 

0.00000000e+00  4  f-axle 7.52260000e-01 + -1.40000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -1.73000000e-02 + 2.40000000e-04i, 9.96570000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.27600000e-02 + 1.33000000e-03i, 
0.00000000e+00  4  lf-axle 7.01320000e-01 + -7.70000000e-04i, 1.25890000e-01 + -3.70000000e-04i, 4.34000000e-02 + 1.00000000e-05i, 8.94020000e-01 + 0.00000000e+00i, 6.56100000e-02 + -8.20000000e-04i, -4.43150000e-01 + 5.74000000e-03i, 
0.00000000e+00  4  rf-axle 7.01320000e-01 + -7.70000000e-04i, -1.25890000e-01 + 3.70000000e-04i, 4.34000000e-02 + 1.00000000e-05i, 8.94020000e-01 + 0.00000000e+00i, -6.56100000e-02 + 8.20000000e-04i, -4.43150000e-01 + 5.74000000e-03i, 
0.00000000e+00  4  r-axle-t -6.69870000e-01 + -2.82500000e-02i, -0.00000000e+00 + 0.00000000e+00i, 4.19230000e-01 + -3.67700000e-02i, 7.12320000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.99140000e-01 + 6.15900000e-02i, 
0.00000000e+00  4  r-axle-b -7.25940000e-01 + -1.10600000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.64070000e-01 + -1.43900000e-02i, 7.12320000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.99140000e-01 + 6.15900000e-02i, 
0.00000000e+00  4  lr-axle -6.65930000e-01 + -2.94600000e-02i, 3.71280000e-01 + 9.22400000e-02i, 1.68780000e-01 + 0.00000000e+00i, 4.89070000e-01 + -1.49960000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.59260000e-01 + 0.00000000e+00i, 
0.00000000e+00  4  rr-axle -6.65930000e-01 + -2.94600000e-02i, -3.71280000e-01 + -9.22400000e-02i, 1.68780000e-01 + 0.00000000e+00i, 4.89070000e-01 + -1.49960000e-01i, 0.00000000e+00 + 0.00000000e+00i, 8.59260000e-01 + 0.00000000e+00i, 
0.00000000e+00  4  chassis -5.16760000e-01 + -4.57600000e-02i, 0.00000000e+00 + 0.00000000e+00i, 4.69930000e-01 + 9.95800000e-02i, 3.20860000e-01 + -1.51740000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.34890000e-01 + 0.00000000e+00i, 
0.00000000e+00  4  lf-wheel 8.00270000e-01 + 7.70000000e-04i, 1.54850000e-01 + -3.50000000e-04i, 4.21800000e-02 + 0.00000000e+00i, 8.66480000e-01 + 0.00000000e+00i, 2.54360000e-01 + -3.64000000e-03i, -4.29500000e-01 + 5.56000000e-03i, 
0.00000000e+00  4  rf-wheel 8.00270000e-01 + 7.70000000e-04i, -1.54850000e-01 + 3.50000000e-04i, 4.21800000e-02 + 0.00000000e+00i, 8.66480000e-01 + 0.00000000e+00i, -2.54360000e-01 + 3.64000000e-03i, -4.29500000e-01 + 5.56000000e-03i, 
0.00000000e+00  4  lr-wheel -5.78230000e-01 + 1.35400000e-02i, 5.62420000e-01 + 1.51600000e-02i, 2.77300000e-02 + 0.00000000e+00i, -1.98240000e-01 + 6.07900000e-02i, 9.14160000e-01 + 0.00000000e+00i, -3.48300000e-01 + 0.00000000e+00i, 
0.00000000e+00  4  rr-wheel -5.78230000e-01 + 1.35400000e-02i, -5.62420000e-01 + -1.51600000e-02i, 2.77300000e-02 + 0.00000000e+00i, 1.98240000e-01 + -6.07900000e-02i, 9.14160000e-01 + 0.00000000e+00i, 3.48300000e-01 + 0.00000000e+00i, 

0.00000000e+00  5  f-axle 6.99682000e+00 + -4.71773100e+01i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  lf-axle 6.99682000e+00 + -4.71773100e+01i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  rf-axle 6.99682000e+00 + -4.71773100e+01i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  r-axle-t -4.73140000e-01 + 1.07286000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  r-axle-b -4.73140000e-01 + 1.07286000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  lr-axle -4.73140000e-01 + 1.07286000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  rr-axle -4.73140000e-01 + 1.07286000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  chassis -5.06450000e-01 + -9.08000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  lf-wheel -3.01407600e+01 + 2.33833510e+02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + -9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  rf-wheel -3.01407600e+01 + 2.33833510e+02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + -9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  lr-wheel -2.19372000e+00 + -5.31763000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  rr-wheel -2.19372000e+00 + -5.31763000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  6  f-axle 6.99682000e+00 + 4.71773100e+01i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  lf-axle 6.99682000e+00 + 4.71773100e+01i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  rf-axle 6.99682000e+00 + 4.71773100e+01i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  r-axle-t -4.73140000e-01 + -1.07286000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  r-axle-b -4.73140000e-01 + -1.07286000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  lr-axle -4.73140000e-01 + -1.07286000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  rr-axle -4.73140000e-01 + -1.07286000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  chassis -5.06450000e-01 + 9.08000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  lf-wheel -3.01407600e+01 + -2.33833510e+02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + 9.91380000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
