%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -3.445490750581e+01 -7.035354663425e+01 5.677461204083e-02 1.782660873058e+02 
1.016265089393e-03 1.000000000000e+00 -3.445490758274e+01 -7.035341674939e+01 5.769807993164e-02 1.782379021246e+02 
1.032794731919e-03 1.000000000000e+00 -3.445490767636e+01 -7.035328211810e+01 5.863656775387e-02 1.782092595042e+02 
1.049593230558e-03 1.000000000000e+00 -3.445490778678e+01 -7.035314260061e+01 5.959031981495e-02 1.781801520510e+02 
1.066664958280e-03 1.000000000000e+00 -3.445490791409e+01 -7.035299805215e+01 6.055958439591e-02 1.781505722539e+02 
1.084014359178e-03 1.000000000000e+00 -3.445490805844e+01 -7.035284832270e+01 6.154461381608e-02 1.781205124818e+02 
1.101645949634e-03 1.000000000000e+00 -3.445490821998e+01 -7.035269325689e+01 6.254566449872e-02 1.780899649821e+02 
1.119564319484e-03 1.000000000000e+00 -3.445490839887e+01 -7.035253269385e+01 6.356299703781e-02 1.780589218791e+02 
1.137774133221e-03 1.000000000000e+00 -3.445490859530e+01 -7.035236646700e+01 6.459687626588e-02 1.780273751716e+02 
1.156280131207e-03 1.000000000000e+00 -3.445490880948e+01 -7.035219440392e+01 6.564757132293e-02 1.779953167313e+02 
1.175087130905e-03 1.000000000000e+00 -3.445490904162e+01 -7.035201632615e+01 6.671535572654e-02 1.779627383008e+02 
1.194200028134e-03 1.000000000000e+00 -3.445490929197e+01 -7.035183204900e+01 6.780050744305e-02 1.779296314919e+02 
1.213623798344e-03 1.000000000000e+00 -3.445490956080e+01 -7.035164138141e+01 6.890330895993e-02 1.778959877832e+02 
1.233363497914e-03 1.000000000000e+00 -3.445490984837e+01 -7.035144412569e+01 7.002404735931e-02 1.778617985184e+02 
1.253424265461e-03 1.000000000000e+00 -3.445491015500e+01 -7.035124007736e+01 7.116301439273e-02 1.778270549042e+02 
1.273811323186e-03 1.000000000000e+00 -3.445491048099e+01 -7.035102902492e+01 7.232050655710e-02 1.777917480084e+02 
1.294529978228e-03 1.000000000000e+00 -3.445491082669e+01 -7.035081074966e+01 7.349682517186e-02 1.777558687576e+02 
1.315585624046e-03 1.000000000000e+00 -3.445491119247e+01 -7.035058502540e+01 7.469227645747e-02 1.777194079352e+02 
1.336983741825e-03 1.000000000000e+00 -3.445491157869e+01 -7.035035161828e+01 7.590717161506e-02 1.776823561794e+02 
1.358729901903e-03 1.000000000000e+00 -3.445491198576e+01 -7.035011028654e+01 7.714182690755e-02 1.776447039809e+02 
1.380829765218e-03 1.000000000000e+00 -3.445491241411e+01 -7.034986078022e+01 7.839656374188e-02 1.776064416807e+02 
1.403289084786e-03 1.000000000000e+00 -3.445491286417e+01 -7.034960284097e+01 7.967170875274e-02 1.775675594684e+02 
1.426113707194e-03 1.000000000000e+00 -3.445491333643e+01 -7.034933620173e+01 8.096759388761e-02 1.775280473792e+02 
1.449309574126e-03 1.000000000000e+00 -3.445491383138e+01 -7.034906058650e+01 8.228455649316e-02 1.774878952924e+02 
1.472882723908e-03 1.000000000000e+00 -3.445491434951e+01 -7.034877571003e+01 8.362293940307e-02 1.774470929287e+02 
1.496839293077e-03 1.000000000000e+00 -3.445491489139e+01 -7.034848127757e+01 8.498309102732e-02 1.774056298481e+02 
1.521185517986e-03 1.000000000000e+00 -3.445491545757e+01 -7.034817698450e+01 8.636536544283e-02 1.773634954475e+02 
1.545927736419e-03 1.000000000000e+00 -3.445491604864e+01 -7.034786251611e+01 8.777012248573e-02 1.773206789586e+02 
1.571072389247e-03 1.000000000000e+00 -3.445491666521e+01 -7.034753754722e+01 8.919772784496e-02 1.772771694453e+02 
1.596626022101e-03 1.000000000000e+00 -3.445491730793e+01 -7.034720174185e+01 9.064855315751e-02 1.772329558015e+02 
1.622595287078e-03 1.000000000000e+00 -3.445491797748e+01 -7.034685475292e+01 9.212297610519e-02 1.771880267487e+02 
1.648986944471e-03 1.000000000000e+00 -3.445491867453e+01 -7.034649622187e+01 9.362138051293e-02 1.771423708334e+02 
1.675807864531e-03 1.000000000000e+00 -3.445491939983e+01 -7.034612577830e+01 9.514415644871e-02 1.770959764251e+02 
1.703065029253e-03 1.000000000000e+00 -3.445492015412e+01 -7.034574303961e+01 9.669170032513e-02 1.770488317134e+02 
1.730765534196e-03 1.000000000000e+00 -3.445492093820e+01 -7.034534761060e+01 9.826441500261e-02 1.770009247058e+02 
1.758916590328e-03 1.000000000000e+00 -3.445492175287e+01 -7.034493908308e+01 9.986270989427e-02 1.769522432253e+02 
1.787525525904e-03 1.000000000000e+00 -3.445492259899e+01 -7.034451703546e+01 1.014870010725e-01 1.769027749077e+02 
1.816599788375e-03 1.000000000000e+00 -3.445492347743e+01 -7.034408103232e+01 1.031377113774e-01 1.768525071991e+02 
1.846146946325e-03 1.000000000000e+00 -3.445492438912e+01 -7.034363062399e+01 1.048152705265e-01 1.768014273535e+02 
1.876174691439e-03 1.000000000000e+00 -3.445492533500e+01 -7.034316534607e+01 1.065201152274e-01 1.767495224302e+02 
1.906690840512e-03 1.000000000000e+00 -3.445492631606e+01 -7.034268471900e+01 1.082526892905e-01 1.766967792915e+02 
1.937703337478e-03 1.000000000000e+00 -3.445492733332e+01 -7.034218824755e+01 1.100134437453e-01 1.766431845995e+02 
1.969220255479e-03 1.000000000000e+00 -3.445492838783e+01 -7.034167542036e+01 1.118028369575e-01 1.765887248144e+02 
2.001249798969e-03 1.000000000000e+00 -3.445492948070e+01 -7.034114570939e+01 1.136213347483e-01 1.765333861910e+02 
2.033800305847e-03 1.000000000000e+00 -3.445493061306e+01 -7.034059856942e+01 1.154694105160e-01 1.764771547770e+02 
2.066880249629e-03 1.000000000000e+00 -3.445493178610e+01 -7.034003343753e+01 1.173475453589e-01 1.764200164096e+02 
2.100498241654e-03 1.000000000000e+00 -3.445493300103e+01 -7.033944973248e+01 1.192562282006e-01 1.763619567137e+02 
2.134663033324e-03 1.000000000000e+00 -3.445493425912e+01 -7.033884685420e+01 1.211959559177e-01 1.763029610985e+02 
2.169383518385e-03 1.000000000000e+00 -3.445493556168e+01 -7.033822418314e+01 1.231672334684e-01 1.762430147556e+02 
2.204668735239e-03 1.000000000000e+00 -3.445493691007e+01 -7.033758107971e+01 1.251705740250e-01 1.761821026558e+02 
2.240527869300e-03 1.000000000000e+00 -3.445493830568e+01 -7.033691688363e+01 1.272064991065e-01 1.761202095472e+02 
2.276970255382e-03 1.000000000000e+00 -3.445493974998e+01 -7.033623091325e+01 1.292755387150e-01 1.760573199517e+02 
2.314005380131e-03 1.000000000000e+00 -3.445494124447e+01 -7.033552246494e+01 1.313782314735e-01 1.759934181635e+02 
2.351642884494e-03 1.000000000000e+00 -3.445494279070e+01 -7.033479081235e+01 1.335151247664e-01 1.759284882454e+02 
2.389892566231e-03 1.000000000000e+00 -3.445494439029e+01 -7.033403520574e+01 1.356867748816e-01 1.758625140272e+02 
2.428764382460e-03 1.000000000000e+00 -3.445494604489e+01 -7.033325487119e+01 1.378937471555e-01 1.757954791026e+02 
2.468268452256e-03 1.000000000000e+00 -3.445494775624e+01 -7.033244900994e+01 1.401366161204e-01 1.757273668269e+02 
2.508415059278e-03 1.000000000000e+00 -3.445494952612e+01 -7.033161679753e+01 1.424159656539e-01 1.756581603144e+02 
2.549214654451e-03 1.000000000000e+00 -3.445495135636e+01 -7.033075738303e+01 1.447323891310e-01 1.755878424359e+02 
2.590677858688e-03 1.000000000000e+00 -3.445495324887e+01 -7.032986988824e+01 1.470864895785e-01 1.755163958164e+02 
2.632815465648e-03 1.000000000000e+00 -3.445495520563e+01 -7.032895340680e+01 1.494788798324e-01 1.754438028326e+02 
2.675638444552e-03 1.000000000000e+00 -3.445495722868e+01 -7.032800700337e+01 1.519101826968e-01 1.753700456105e+02 
2.719157943036e-03 1.000000000000e+00 -3.445495932011e+01 -7.032702971269e+01 1.543810311068e-01 1.752951060229e+02 
2.763385290053e-03 1.000000000000e+00 -3.445496148211e+01 -7.032602053868e+01 1.568920682927e-01 1.752189656877e+02 
2.808331998823e-03 1.000000000000e+00 -3.445496371693e+01 -7.032497845349e+01 1.594439479481e-01 1.751416059648e+02 
2.854009769829e-03 1.000000000000e+00 -3.445496602689e+01 -7.032390239650e+01 1.620373343993e-01 1.750630079546e+02 
2.900430493864e-03 1.000000000000e+00 -3.445496841440e+01 -7.032279127336e+01 1.646729027794e-01 1.749831524955e+02 
2.947606255125e-03 1.000000000000e+00 -3.445497088195e+01 -7.032164395492e+01 1.673513392030e-01 1.749020201621e+02 
2.995549334360e-03 1.000000000000e+00 -3.445497343211e+01 -7.032045927616e+01 1.700733409456e-01 1.748195912628e+02 
3.044272212064e-03 1.000000000000e+00 -3.445497606753e+01 -7.031923603514e+01 1.728396166249e-01 1.747358458384e+02 
3.093787571730e-03 1.000000000000e+00 -3.445497879096e+01 -7.031797299185e+01 1.756508863854e-01 1.746507636597e+02 
3.144108303147e-03 1.000000000000e+00 -3.445498160523e+01 -7.031666886704e+01 1.785078820858e-01 1.745643242262e+02 
3.195247505759e-03 1.000000000000e+00 -3.445498451328e+01 -7.031532234106e+01 1.814113474899e-01 1.744765067642e+02 
3.247218492073e-03 1.000000000000e+00 -3.445498751812e+01 -7.031393205265e+01 1.843620384600e-01 1.743872902253e+02 
3.300034791125e-03 1.000000000000e+00 -3.445499062290e+01 -7.031249659764e+01 1.873607231537e-01 1.742966532851e+02 
3.353710152003e-03 1.000000000000e+00 -3.445499383084e+01 -7.031101452771e+01 1.904081822245e-01 1.742045743414e+02 
3.408258547423e-03 1.000000000000e+00 -3.445499714529e+01 -7.030948434904e+01 1.935052090243e-01 1.741110315136e+02 
3.463694177372e-03 1.000000000000e+00 -3.445500056969e+01 -7.030790452098e+01 1.966526098106e-01 1.740160026412e+02 
3.520031472797e-03 1.000000000000e+00 -3.445500410762e+01 -7.030627345464e+01 1.998512039564e-01 1.739194652831e+02 
3.577285099368e-03 1.000000000000e+00 -3.445500776275e+01 -7.030458951144e+01 2.031018241634e-01 1.738213967165e+02 
3.635469961293e-03 1.000000000000e+00 -3.445501153889e+01 -7.030285100169e+01 2.064053166789e-01 1.737217739366e+02 
3.694601205199e-03 1.000000000000e+00 -3.445501543998e+01 -7.030105618307e+01 2.097625415166e-01 1.736205736562e+02 
3.754694224073e-03 1.000000000000e+00 -3.445501947008e+01 -7.029920325906e+01 2.131743726799e-01 1.735177723050e+02 
3.815764661271e-03 1.000000000000e+00 -3.445502363338e+01 -7.029729037739e+01 2.166416983904e-01 1.734133460300e+02 
3.877828414589e-03 1.000000000000e+00 -3.445502793422e+01 -7.029531562840e+01 2.201654213185e-01 1.733072706954e+02 
3.940901640403e-03 1.000000000000e+00 -3.445503237708e+01 -7.029327704341e+01 2.237464588189e-01 1.731995218827e+02 
4.005000757874e-03 1.000000000000e+00 -3.445503696659e+01 -7.029117259296e+01 2.273857431694e-01 1.730900748920e+02 
4.070142453219e-03 1.000000000000e+00 -3.445504170752e+01 -7.028900018512e+01 2.310842218140e-01 1.729789047418e+02 
4.136343684063e-03 1.000000000000e+00 -3.445504660481e+01 -7.028675766369e+01 2.348428576093e-01 1.728659861710e+02 
4.203621683845e-03 1.000000000000e+00 -3.445505166356e+01 -7.028444280638e+01 2.386626290758e-01 1.727512936398e+02 
4.271993966307e-03 1.000000000000e+00 -3.445505688904e+01 -7.028205332290e+01 2.425445306523e-01 1.726348013312e+02 
4.341478330055e-03 1.000000000000e+00 -3.445506228669e+01 -7.027958685311e+01 2.464895729552e-01 1.725164831531e+02 
4.412092863191e-03 1.000000000000e+00 -3.445506786213e+01 -7.027704096504e+01 2.504987830421e-01 1.723963127407e+02 
4.483855948021e-03 1.000000000000e+00 -3.445507362118e+01 -7.027441315286e+01 2.545732046786e-01 1.722742634586e+02 
4.556786265841e-03 1.000000000000e+00 -3.445507956981e+01 -7.027170083489e+01 2.587138986109e-01 1.721503084043e+02 
4.630902801800e-03 1.000000000000e+00 -3.445508571424e+01 -7.026890135151e+01 2.629219428420e-01 1.720244204109e+02 
4.706224849841e-03 1.000000000000e+00 -3.445509206085e+01 -7.026601196298e+01 2.671984329125e-01 1.718965720511e+02 
4.782772017727e-03 1.000000000000e+00 -3.445509861626e+01 -7.026302984735e+01 2.715444821857e-01 1.717667356412e+02 
4.860564232142e-03 1.000000000000e+00 -3.445510538730e+01 -7.025995209818e+01 2.759612221385e-01 1.716348832457e+02 
4.939621743878e-03 1.000000000000e+00 -3.445511238100e+01 -7.025677572231e+01 2.804498026554e-01 1.715009866817e+02 
5.019965133110e-03 1.000000000000e+00 -3.445511960467e+01 -7.025349763758e+01 2.850113923285e-01 1.713650175252e+02 
5.101615314750e-03 1.000000000000e+00 -3.445512706582e+01 -7.025011467045e+01 2.896471787622e-01 1.712269471160e+02 
5.184593543893e-03 1.000000000000e+00 -3.445513477222e+01 -7.024662355365e+01 2.943583688822e-01 1.710867465648e+02 
5.268921421351e-03 1.000000000000e+00 -3.445514273189e+01 -7.024302092375e+01 2.991461892505e-01 1.709443867597e+02 
5.354620899274e-03 1.000000000000e+00 -3.445515095313e+01 -7.023930331870e+01 3.040118863845e-01 1.707998383740e+02 
5.441714286866e-03 1.000000000000e+00 -3.445515944449e+01 -7.023546717529e+01 3.089567270825e-01 1.706530718739e+02 
5.530224256193e-03 1.000000000000e+00 -3.445516821482e+01 -7.023150882669e+01 3.139819987534e-01 1.705040575273e+02 
5.620173848083e-03 1.000000000000e+00 -3.445517727325e+01 -7.022742449980e+01 3.190890097522e-01 1.703527654131e+02 
5.711586478126e-03 1.000000000000e+00 -3.445518662922e+01 -7.022321031268e+01 3.242790897214e-01 1.701991654311e+02 
5.804485942769e-03 1.000000000000e+00 -3.445519629246e+01 -7.021886227190e+01 3.295535899374e-01 1.700432273126e+02 
5.898896425508e-03 1.000000000000e+00 -3.445520627304e+01 -7.021437626985e+01 3.349138836625e-01 1.698849206316e+02 
5.994842503189e-03 1.000000000000e+00 -3.445521658136e+01 -7.020974808204e+01 3.403613665030e-01 1.697242148171e+02 
6.092349152401e-03 1.000000000000e+00 -3.445522722815e+01 -7.020497336440e+01 3.458974567734e-01 1.695610791657e+02 
6.191441755978e-03 1.000000000000e+00 -3.445523822449e+01 -7.020004765046e+01 3.515235958656e-01 1.693954828554e+02 
6.292146109610e-03 1.000000000000e+00 -3.445524958184e+01 -7.019496634864e+01 3.572412486250e-01 1.692273949596e+02 
6.394488428557e-03 1.000000000000e+00 -3.445526131202e+01 -7.018972473940e+01 3.630519037322e-01 1.690567844630e+02 
6.498495354470e-03 1.000000000000e+00 -3.445527342725e+01 -7.018431797245e+01 3.689570740914e-01 1.688836202773e+02 
6.604193962330e-03 1.000000000000e+00 -3.445528594015e+01 -7.017874106393e+01 3.749582972249e-01 1.687078712585e+02 
6.711611767496e-03 1.000000000000e+00 -3.445529886375e+01 -7.017298889353e+01 3.810571356736e-01 1.685295062248e+02 
6.820776732866e-03 1.000000000000e+00 -3.445531221150e+01 -7.016705620172e+01 3.872551774052e-01 1.683484939757e+02 
6.931717276155e-03 1.000000000000e+00 -3.445532599731e+01 -7.016093758686e+01 3.935540362275e-01 1.681648033119e+02 
7.044462277299e-03 1.000000000000e+00 -3.445534023553e+01 -7.015462750237e+01 3.999553522100e-01 1.679784030565e+02 
7.159041085965e-03 1.000000000000e+00 -3.445535494098e+01 -7.014812025392e+01 4.064607921113e-01 1.677892620769e+02 
7.275483529196e-03 1.000000000000e+00 -3.445537012900e+01 -7.014140999662e+01 4.130720498140e-01 1.675973493083e+02 
7.393819919176e-03 1.000000000000e+00 -3.445538581538e+01 -7.013449073222e+01 4.197908467664e-01 1.674026337776e+02 
7.514081061117e-03 1.000000000000e+00 -3.445540201646e+01 -7.012735630633e+01 4.266189324319e-01 1.672050846295e+02 
7.636298261282e-03 1.000000000000e+00 -3.445541874912e+01 -7.012000040576e+01 4.335580847451e-01 1.670046711526e+02 
7.760503335134e-03 1.000000000000e+00 -3.445543603079e+01 -7.011241655575e+01 4.406101105757e-01 1.668013628080e+02 
7.886728615614e-03 1.000000000000e+00 -3.445545387945e+01 -7.010459811738e+01 4.477768462003e-01 1.665951292575e+02 
8.015006961565e-03 1.000000000000e+00 -3.445547231370e+01 -7.009653828497e+01 4.550601577812e-01 1.663859403952e+02 
8.145371766281e-03 1.000000000000e+00 -3.445549135273e+01 -7.008823008358e+01 4.624619418537e-01 1.661737663783e+02 
8.277856966198e-03 1.000000000000e+00 -3.445551101637e+01 -7.007966636654e+01 4.699841258210e-01 1.659585776607e+02 
8.412497049736e-03 1.000000000000e+00 -3.445553132510e+01 -7.007083981313e+01 4.776286684570e-01 1.657403450271e+02 
8.549327066268e-03 1.000000000000e+00 -3.445555230007e+01 -7.006174292626e+01 4.853975604181e-01 1.655190396293e+02 
8.688382635251e-03 1.000000000000e+00 -3.445557396312e+01 -7.005236803034e+01 4.932928247626e-01 1.652946330228e+02 
8.829699955494e-03 1.000000000000e+00 -3.445559633681e+01 -7.004270726921e+01 5.013165174788e-01 1.650670972057e+02 
8.973315814584e-03 1.000000000000e+00 -3.445561944444e+01 -7.003275260423e+01 5.094707280222e-01 1.648364046590e+02 
9.119267598459e-03 1.000000000000e+00 -3.445564331007e+01 -7.002249581247e+01 5.177575798606e-01 1.646025283874e+02 
9.267593301147e-03 1.000000000000e+00 -3.445566795856e+01 -7.001192848507e+01 5.261792310294e-01 1.643654419630e+02 
9.418331534648e-03 1.000000000000e+00 -3.445569341558e+01 -7.000104202579e+01 5.347378746944e-01 1.641251195689e+02 
9.571521538992e-03 1.000000000000e+00 -3.445571970764e+01 -6.998982764966e+01 5.434357397253e-01 1.638815360459e+02 
9.727203192451e-03 1.000000000000e+00 -3.445574686212e+01 -6.997827638189e+01 5.522750912779e-01 1.636346669389e+02 
9.885417021920e-03 1.000000000000e+00 -3.445577490730e+01 -6.996637905694e+01 5.612582313857e-01 1.633844885464e+02 
1.004620421347e-02 1.000000000000e+00 -3.445580387239e+01 -6.995412631784e+01 5.703874995615e-01 1.631309779702e+02 
1.020960662306e-02 1.000000000000e+00 -3.445583378754e+01 -6.994150861569e+01 5.796652734092e-01 1.628741131671e+02 
1.037566678745e-02 1.000000000000e+00 -3.445586468392e+01 -6.992851620951e+01 5.890939692445e-01 1.626138730023e+02 
1.054442793526e-02 1.000000000000e+00 -3.445589659370e+01 -6.991513916619e+01 5.986760427272e-01 1.623502373033e+02 
1.071593399823e-02 1.000000000000e+00 -3.445592955011e+01 -6.990136736090e+01 6.084139895028e-01 1.620831869158e+02 
1.089022962264e-02 1.000000000000e+00 -3.445596358747e+01 -6.988719047765e+01 6.183103458554e-01 1.618127037611e+02 
1.106736018096e-02 1.000000000000e+00 -3.445599874124e+01 -6.987259801026e+01 6.283676893706e-01 1.615387708941e+02 
