%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+00 -1.096203341729e+04 0.000000000000e+00 -1.744661804700e+03 0.000000000000e+00
{2} 1.000000000000e+00 -8.568487394042e+03 0.000000000000e+00 -1.363717123582e+03 0.000000000000e+00
{3} 1.000000000000e+00 -1.535579377535e+03 0.000000000000e+00 -2.443950484447e+02 0.000000000000e+00
{4} 1.000000000000e+00 -1.030759836243e+03 0.000000000000e+00 -1.640505230786e+02 0.000000000000e+00
{5} 1.000000000000e+00 -1.915145415994e+02 0.000000000000e+00 -3.048048596952e+01 0.000000000000e+00
{6} 1.000000000000e+00 -4.934153714504e+01 2.717867508742e+01 -7.852949536386e+00 4.325620486852e+00
{7} 1.000000000000e+00 -4.934153714504e+01 -2.717867508742e+01 -7.852949536386e+00 -4.325620486852e+00
{8} 1.000000000000e+00 -1.611712874394e+01 4.158784997495e+01 -2.565120708047e+00 6.618911896078e+00
{9} 1.000000000000e+00 -1.611712874394e+01 -4.158784997495e+01 -2.565120708047e+00 -6.618911896078e+00
{10} 1.000000000000e+00 -1.195295189710e+01 1.964689426814e+01 -1.902371378964e+00 3.126900339179e+00
{11} 1.000000000000e+00 -1.195295189710e+01 -1.964689426814e+01 -1.902371378964e+00 -3.126900339179e+00
{12} 1.000000000000e+00 -1.937182884463e+01 0.000000000000e+00 -3.083122317352e+00 0.000000000000e+00
{13} 1.000000000000e+00 -7.015610680518e+00 0.000000000000e+00 -1.116569118613e+00 0.000000000000e+00
{14} 1.000000000000e+00 3.793564439279e+00 9.934254581187e-01 6.037645324488e-01 1.581085722529e-01
{15} 1.000000000000e+00 3.793564439279e+00 -9.934254581187e-01 6.037645324488e-01 -1.581085722529e-01
{16} 1.000000000000e+00 -3.432392336664e+00 0.000000000000e+00 -5.462822070109e-01 0.000000000000e+00
{17} 1.000000000000e+00 -8.080115840376e-11 6.934715582747e-07 -1.285990376751e-11 1.103694263931e-07
{18} 1.000000000000e+00 -8.080115840376e-11 -6.934715582747e-07 -1.285990376751e-11 -1.103694263931e-07
{19} 1.000000000000e+00 -1.080707189954e-11 8.024466942692e-06 -1.719998913162e-12 1.277133579607e-06
{20} 1.000000000000e+00 -1.080707189954e-11 -8.024466942692e-06 -1.719998913162e-12 -1.277133579607e-06
{21} 1.000000000000e+00 1.248867711462e-12 0.000000000000e+00 1.987634695470e-13 0.000000000000e+00
{22} 1.000000000000e+00 1.919293702120e-10 0.000000000000e+00 3.054650799375e-11 0.000000000000e+00

