%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.122395106211e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.167067131003e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 6.512199985424e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.701580958423e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.221535616297e-03  Inf
{6} 1.000000000000e+00 8.965478738879e+00 8.759096714302e-01 2.026690001693e-02 2.311807064535e-01
{7} 1.000000000000e+00 8.965478738879e+00 8.759096714302e-01 2.026690001693e-02 2.311807064535e-01
{8} 1.000000000000e+00 7.098580064695e+00 3.613568748494e-01 6.204579090280e-02 1.510822346181e-01
{9} 1.000000000000e+00 7.098580064695e+00 3.613568748494e-01 6.204579090280e-02 1.510822346181e-01
{10} 1.000000000000e+00 3.660126035351e+00 5.197557025605e-01 8.366134228669e-02 3.198055235309e-01
{11} 1.000000000000e+00 3.660126035351e+00 5.197557025605e-01 8.366134228669e-02 3.198055235309e-01
{12} 1.000000000000e+00  NaN  NaN 5.162135222341e-02  Inf
{13} 1.000000000000e+00  NaN  NaN 1.425392664358e-01  Inf
{14} 1.000000000000e+00 6.241233301704e-01 -9.673801687304e-01 -2.636043267503e-01 6.324767757692e+00
{15} 1.000000000000e+00 6.241233301704e-01 -9.673801687304e-01 -2.636043267503e-01 6.324767757692e+00
{16} 1.000000000000e+00  NaN  NaN 2.913419859723e-01  Inf
{17} 1.000000000000e+00 1.103694271423e-07 1.165169023749e-04 1.237606019215e+10 9.060480177170e+06
{18} 1.000000000000e+00 1.103694271423e-07 1.165169023749e-04 1.237606019215e+10 9.060480177170e+06
{19} 1.000000000000e+00 1.277133579608e-06 1.346765084424e-06 9.253200212746e+10 7.830034508276e+05
{20} 1.000000000000e+00 1.277133579608e-06 1.346765084424e-06 9.253200212746e+10 7.830034508276e+05
{21} 1.000000000000e+00  NaN  NaN -8.007253216833e+11  Inf
{22} 1.000000000000e+00  NaN  NaN -5.210249994024e+09  Inf

