%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 3.000000000000e+01 -3.413048991193e+02 0.000000000000e+00 -5.432036179632e+01 0.000000000000e+00
{2} 3.000000000000e+01 -2.840116545967e+02 0.000000000000e+00 -4.520185872477e+01 0.000000000000e+00
{3} 3.000000000000e+01 -2.825492343424e+01 1.250885567342e+02 -4.496910731242e+00 1.990846212848e+01
{4} 3.000000000000e+01 -2.825492343424e+01 -1.250885567342e+02 -4.496910731242e+00 -1.990846212848e+01
{5} 3.000000000000e+01 -1.690642381471e+00 1.206910064434e+01 -2.690740920118e-01 1.920857026221e+00
{6} 3.000000000000e+01 -1.690642381471e+00 -1.206910064434e+01 -2.690740920118e-01 -1.920857026221e+00
{7} 3.000000000000e+01 -1.957515633951e+01 0.000000000000e+00 -3.115482893230e+00 0.000000000000e+00
{8} 3.000000000000e+01 -1.723437273343e+01 0.000000000000e+00 -2.742935611614e+00 0.000000000000e+00
{9} 3.000000000000e+01 -1.530610389054e+01 1.175162879383e+01 -2.436042093658e+00 1.870329811919e+00
{10} 3.000000000000e+01 -1.530610389054e+01 -1.175162879383e+01 -2.436042093658e+00 -1.870329811919e+00
{11} 3.000000000000e+01 3.729879383732e+00 0.000000000000e+00 5.936287410575e-01 0.000000000000e+00
{12} 3.000000000000e+01 -2.623460527119e+00 0.000000000000e+00 -4.175367108974e-01 0.000000000000e+00
{13} 3.000000000000e+01 -1.297612317403e-12 6.918514382205e-07 -2.065214145316e-13 1.101115762780e-07
{14} 3.000000000000e+01 -1.297612317403e-12 -6.918514382205e-07 -2.065214145316e-13 -1.101115762780e-07
{15} 3.000000000000e+01 3.909367394343e-12 0.000000000000e+00 6.221951451720e-13 0.000000000000e+00
{16} 3.000000000000e+01 -6.874725842752e-13 0.000000000000e+00 -1.094146600276e-13 0.000000000000e+00
{17} 3.000000000000e+01 9.906588139397e-13 0.000000000000e+00 1.576682471561e-13 0.000000000000e+00
{18} 3.000000000000e+01 -3.774438644014e-13 0.000000000000e+00 -6.007205675919e-14 0.000000000000e+00

