%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
1.000000000000e-01 3.000000000000e+01 -8.873848877282e+01 -5.591117812965e+01 -9.253661913678e+01 -2.955230140613e+00 -1.792715687844e+02 1.769068740143e+02 
1.004618876625e-01 3.000000000000e+01 -8.873851460821e+01 -5.591117782856e+01 -9.253663965172e+01 -2.968884584287e+00 -1.792681929762e+02 1.768925825342e+02 
1.009259087272e-01 3.000000000000e+01 -8.873854068354e+01 -5.591117752283e+01 -9.253666035734e+01 -2.982602160045e+00 -1.792648014190e+02 1.768782249781e+02 
1.013920730479e-01 3.000000000000e+01 -8.873856700106e+01 -5.591117721239e+01 -9.253668125542e+01 -2.996383160373e+00 -1.792613940379e+02 1.768638010398e+02 
1.018603905240e-01 3.000000000000e+01 -8.873859356302e+01 -5.591117689714e+01 -9.253670234776e+01 -3.010227879118e+00 -1.792579707577e+02 1.768493104119e+02 
1.023308711008e-01 3.000000000000e+01 -8.873862037169e+01 -5.591117657702e+01 -9.253672363617e+01 -3.024136611496e+00 -1.792545315026e+02 1.768347527853e+02 
1.028035247694e-01 3.000000000000e+01 -8.873864742938e+01 -5.591117625195e+01 -9.253674512249e+01 -3.038109654107e+00 -1.792510761967e+02 1.768201278497e+02 
1.032783615669e-01 3.000000000000e+01 -8.873867473841e+01 -5.591117592183e+01 -9.253676680855e+01 -3.052147304925e+00 -1.792476047634e+02 1.768054352931e+02 
1.037553915771e-01 3.000000000000e+01 -8.873870230112e+01 -5.591117558658e+01 -9.253678869622e+01 -3.066249863316e+00 -1.792441171260e+02 1.767906748024e+02 
1.042346249300e-01 3.000000000000e+01 -8.873873011988e+01 -5.591117524613e+01 -9.253681078739e+01 -3.080417630043e+00 -1.792406132072e+02 1.767758460627e+02 
1.047160718026e-01 3.000000000000e+01 -8.873875819706e+01 -5.591117490037e+01 -9.253683308396e+01 -3.094650907271e+00 -1.792370929296e+02 1.767609487578e+02 
1.051997424189e-01 3.000000000000e+01 -8.873878653508e+01 -5.591117454923e+01 -9.253685558783e+01 -3.108949998573e+00 -1.792335562150e+02 1.767459825700e+02 
1.056856470501e-01 3.000000000000e+01 -8.873881513637e+01 -5.591117419261e+01 -9.253687830096e+01 -3.123315208939e+00 -1.792300029852e+02 1.767309471801e+02 
1.061737960149e-01 3.000000000000e+01 -8.873884400339e+01 -5.591117383041e+01 -9.253690122528e+01 -3.137746844781e+00 -1.792264331613e+02 1.767158422674e+02 
1.066641996795e-01 3.000000000000e+01 -8.873887313860e+01 -5.591117346256e+01 -9.253692436278e+01 -3.152245213941e+00 -1.792228466642e+02 1.767006675097e+02 
1.071568684582e-01 3.000000000000e+01 -8.873890254452e+01 -5.591117308894e+01 -9.253694771544e+01 -3.166810625698e+00 -1.792192434144e+02 1.766854225835e+02 
1.076518128131e-01 3.000000000000e+01 -8.873893222366e+01 -5.591117270947e+01 -9.253697128528e+01 -3.181443390772e+00 -1.792156233318e+02 1.766701071634e+02 
1.081490432550e-01 3.000000000000e+01 -8.873896217858e+01 -5.591117232404e+01 -9.253699507431e+01 -3.196143821331e+00 -1.792119863360e+02 1.766547209228e+02 
1.086485703429e-01 3.000000000000e+01 -8.873899241184e+01 -5.591117193256e+01 -9.253701908460e+01 -3.210912231005e+00 -1.792083323464e+02 1.766392635335e+02 
1.091504046848e-01 3.000000000000e+01 -8.873902292603e+01 -5.591117153492e+01 -9.253704331821e+01 -3.225748934883e+00 -1.792046612816e+02 1.766237346656e+02 
1.096545569376e-01 3.000000000000e+01 -8.873905372379e+01 -5.591117113101e+01 -9.253706777722e+01 -3.240654249528e+00 -1.792009730601e+02 1.766081339880e+02 
1.101610378075e-01 3.000000000000e+01 -8.873908480776e+01 -5.591117072074e+01 -9.253709246374e+01 -3.255628492979e+00 -1.791972675999e+02 1.765924611678e+02 
1.106698580501e-01 3.000000000000e+01 -8.873911618060e+01 -5.591117030399e+01 -9.253711737989e+01 -3.270671984757e+00 -1.791935448185e+02 1.765767158705e+02 
1.111810284705e-01 3.000000000000e+01 -8.873914784500e+01 -5.591116988065e+01 -9.253714252782e+01 -3.285785045882e+00 -1.791898046331e+02 1.765608977602e+02 
1.116945599241e-01 3.000000000000e+01 -8.873917980369e+01 -5.591116945062e+01 -9.253716790971e+01 -3.300967998866e+00 -1.791860469603e+02 1.765450064994e+02 
1.122104633161e-01 3.000000000000e+01 -8.873921205942e+01 -5.591116901377e+01 -9.253719352772e+01 -3.316221167727e+00 -1.791822717166e+02 1.765290417489e+02 
1.127287496022e-01 3.000000000000e+01 -8.873924461495e+01 -5.591116857000e+01 -9.253721938408e+01 -3.331544878003e+00 -1.791784788176e+02 1.765130031682e+02 
1.132494297887e-01 3.000000000000e+01 -8.873927747309e+01 -5.591116811919e+01 -9.253724548100e+01 -3.346939456745e+00 -1.791746681790e+02 1.764968904149e+02 
1.137725149328e-01 3.000000000000e+01 -8.873931063665e+01 -5.591116766121e+01 -9.253727182075e+01 -3.362405232535e+00 -1.791708397157e+02 1.764807031452e+02 
1.142980161426e-01 3.000000000000e+01 -8.873934410848e+01 -5.591116719594e+01 -9.253729840558e+01 -3.377942535489e+00 -1.791669933422e+02 1.764644410135e+02 
1.148259445776e-01 3.000000000000e+01 -8.873937789147e+01 -5.591116672326e+01 -9.253732523779e+01 -3.393551697268e+00 -1.791631289728e+02 1.764481036728e+02 
1.153563114490e-01 3.000000000000e+01 -8.873941198851e+01 -5.591116624305e+01 -9.253735231970e+01 -3.409233051074e+00 -1.791592465210e+02 1.764316907743e+02 
1.158891280195e-01 3.000000000000e+01 -8.873944640254e+01 -5.591116575517e+01 -9.253737965363e+01 -3.424986931680e+00 -1.791553459002e+02 1.764152019678e+02 
1.164244056040e-01 3.000000000000e+01 -8.873948113652e+01 -5.591116525949e+01 -9.253740724195e+01 -3.440813675412e+00 -1.791514270231e+02 1.763986369012e+02 
1.169621555697e-01 3.000000000000e+01 -8.873951619343e+01 -5.591116475589e+01 -9.253743508704e+01 -3.456713620171e+00 -1.791474898021e+02 1.763819952209e+02 
1.175023893361e-01 3.000000000000e+01 -8.873955157629e+01 -5.591116424422e+01 -9.253746319129e+01 -3.472687105438e+00 -1.791435341492e+02 1.763652765717e+02 
1.180451183756e-01 3.000000000000e+01 -8.873958728814e+01 -5.591116372434e+01 -9.253749155714e+01 -3.488734472284e+00 -1.791395599757e+02 1.763484805965e+02 
1.185903542135e-01 3.000000000000e+01 -8.873962333205e+01 -5.591116319613e+01 -9.253752018702e+01 -3.504856063368e+00 -1.791355671927e+02 1.763316069368e+02 
1.191381084286e-01 3.000000000000e+01 -8.873965971112e+01 -5.591116265943e+01 -9.253754908342e+01 -3.521052222955e+00 -1.791315557107e+02 1.763146552324e+02 
1.196883926528e-01 3.000000000000e+01 -8.873969642849e+01 -5.591116211409e+01 -9.253757824882e+01 -3.537323296924e+00 -1.791275254398e+02 1.762976251212e+02 
1.202412185719e-01 3.000000000000e+01 -8.873973348731e+01 -5.591116155998e+01 -9.253760768574e+01 -3.553669632764e+00 -1.791234762897e+02 1.762805162395e+02 
1.207965979257e-01 3.000000000000e+01 -8.873977089077e+01 -5.591116099694e+01 -9.253763739673e+01 -3.570091579590e+00 -1.791194081693e+02 1.762633282221e+02 
1.213545425083e-01 3.000000000000e+01 -8.873980864209e+01 -5.591116042482e+01 -9.253766738434e+01 -3.586589488159e+00 -1.791153209875e+02 1.762460607019e+02 
1.219150641680e-01 3.000000000000e+01 -8.873984674452e+01 -5.591115984345e+01 -9.253769765118e+01 -3.603163710858e+00 -1.791112146525e+02 1.762287133100e+02 
1.224781748082e-01 3.000000000000e+01 -8.873988520135e+01 -5.591115925269e+01 -9.253772819985e+01 -3.619814601730e+00 -1.791070890719e+02 1.762112856759e+02 
1.230438863869e-01 3.000000000000e+01 -8.873992401587e+01 -5.591115865237e+01 -9.253775903299e+01 -3.636542516471e+00 -1.791029441530e+02 1.761937774275e+02 
1.236122109176e-01 3.000000000000e+01 -8.873996319144e+01 -5.591115804232e+01 -9.253779015327e+01 -3.653347812442e+00 -1.790987798026e+02 1.761761881907e+02 
1.241831604692e-01 3.000000000000e+01 -8.874000273142e+01 -5.591115742239e+01 -9.253782156337e+01 -3.670230848679e+00 -1.790945959270e+02 1.761585175898e+02 
1.247567471663e-01 3.000000000000e+01 -8.874004263923e+01 -5.591115679239e+01 -9.253785326601e+01 -3.687191985897e+00 -1.790903924319e+02 1.761407652473e+02 
