%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+00 -1.023030473817e+04 0.000000000000e+00 -1.628203568416e+03 0.000000000000e+00
{2} 1.000000000000e+00 -8.553275481217e+03 0.000000000000e+00 -1.361296072462e+03 0.000000000000e+00
{3} 1.000000000000e+00 -1.319153677102e+03 0.000000000000e+00 -2.099498284086e+02 0.000000000000e+00
{4} 1.000000000000e+00 -1.023157489232e+03 0.000000000000e+00 -1.628405719727e+02 0.000000000000e+00
{5} 1.000000000000e+00 -1.964185779677e+02 0.000000000000e+00 -3.126098759865e+01 0.000000000000e+00
{6} 1.000000000000e+00 -5.587632629695e+01 3.594425288491e+01 -8.892993531975e+00 5.720705522379e+00
{7} 1.000000000000e+00 -5.587632629695e+01 -3.594425288491e+01 -8.892993531975e+00 -5.720705522379e+00
{8} 1.000000000000e+00 -1.375137169650e+01 3.985241956361e+01 -2.188598779793e+00 6.342709567721e+00
{9} 1.000000000000e+00 -1.375137169650e+01 -3.985241956361e+01 -2.188598779793e+00 -6.342709567721e+00
{10} 1.000000000000e+00 -2.030885144599e+01 0.000000000000e+00 -3.232254096148e+00 0.000000000000e+00
{11} 1.000000000000e+00 -1.043064072261e+01 1.767489876911e+01 -1.660088030618e+00 2.813047507753e+00
{12} 1.000000000000e+00 -1.043064072261e+01 -1.767489876911e+01 -1.660088030618e+00 -2.813047507753e+00
{13} 1.000000000000e+00 -1.334631695203e+00 1.007092005500e+01 -2.124132314987e-01 1.602836708236e+00
{14} 1.000000000000e+00 -1.334631695203e+00 -1.007092005500e+01 -2.124132314987e-01 -1.602836708236e+00
{15} 1.000000000000e+00 3.522520535019e+00 0.000000000000e+00 5.606265552910e-01 0.000000000000e+00
{16} 1.000000000000e+00 -3.604016608796e+00 0.000000000000e+00 -5.735970582751e-01 0.000000000000e+00
{17} 1.000000000000e+00 1.250233832023e-05 0.000000000000e+00 1.989808943872e-06 0.000000000000e+00
{18} 1.000000000000e+00 9.932583314568e-07 0.000000000000e+00 1.580819732186e-07 0.000000000000e+00
{19} 1.000000000000e+00 -9.932571914346e-07 0.000000000000e+00 -1.580817917784e-07 0.000000000000e+00
{20} 1.000000000000e+00 -1.250233525026e-05 0.000000000000e+00 -1.989808455270e-06 0.000000000000e+00
{21} 1.000000000000e+00 -2.020582012565e-12 0.000000000000e+00 -3.215856152223e-13 0.000000000000e+00
{22} 1.000000000000e+00 -8.332324578064e-13 0.000000000000e+00 -1.326130644045e-13 0.000000000000e+00

