%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.774879884751e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.169142747940e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 7.580617917064e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.773666425008e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.091168108163e-03  Inf
{6} 1.000000000000e+00 1.057411015800e+01 8.410157828029e-01 1.789666691195e-02 1.748036140102e-01
{7} 1.000000000000e+00 1.057411015800e+01 8.410157828029e-01 1.789666691195e-02 1.748036140102e-01
{8} 1.000000000000e+00 6.709689208850e+00 3.261848219297e-01 7.272001819674e-02 1.576613258613e-01
{9} 1.000000000000e+00 6.709689208850e+00 3.261848219297e-01 7.272001819674e-02 1.576613258613e-01
{10} 1.000000000000e+00  NaN  NaN 4.923961370535e-02  Inf
{11} 1.000000000000e+00 3.266363199382e+00 5.082374277706e-01 9.587138763516e-02 3.554863532322e-01
{12} 1.000000000000e+00 3.266363199382e+00 5.082374277706e-01 9.587138763516e-02 3.554863532322e-01
{13} 1.000000000000e+00 1.616850300487e+00 1.313747051503e-01 7.492703819295e-01 6.238938719469e-01
{14} 1.000000000000e+00 1.616850300487e+00 1.313747051503e-01 7.492703819295e-01 6.238938719469e-01
{15} 1.000000000000e+00  NaN  NaN -2.838876282078e-01  Inf
{16} 1.000000000000e+00  NaN  NaN 2.774681996635e-01  Inf
{17} 1.000000000000e+00  NaN  NaN -7.998503754950e+04  Inf
{18} 1.000000000000e+00  NaN  NaN -1.006787427127e+06  Inf
{19} 1.000000000000e+00  NaN  NaN 1.006788582679e+06  Inf
{20} 1.000000000000e+00  NaN  NaN 7.998505718998e+04  Inf
{21} 1.000000000000e+00  NaN  NaN 4.949069098812e+11  Inf
{22} 1.000000000000e+00  NaN  NaN 1.200145278345e+12  Inf

