%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -4.569760603363e+01 -8.239948874201e+01 -1.799715736221e+02 -1.949734397995e+00 
1.016265089393e-03 1.000000000000e+00 -4.569760589223e+01 -8.239931998546e+01 -1.799711112655e+02 -1.981420842541e+00 
1.032794731919e-03 1.000000000000e+00 -4.569760574597e+01 -8.239914570694e+01 -1.799706413886e+02 -2.013621378925e+00 
1.049593230558e-03 1.000000000000e+00 -4.569760559466e+01 -8.239896573595e+01 -1.799701638691e+02 -2.046344300875e+00 
1.066664958280e-03 1.000000000000e+00 -4.569760543815e+01 -8.239877990635e+01 -1.799696785828e+02 -2.079598049297e+00 
1.084014359178e-03 1.000000000000e+00 -4.569760527629e+01 -8.239858799406e+01 -1.799691854033e+02 -2.113391174702e+00 
1.101645949634e-03 1.000000000000e+00 -4.569760510885e+01 -8.239838983750e+01 -1.799686842022e+02 -2.147732392711e+00 
1.119564319484e-03 1.000000000000e+00 -4.569760493573e+01 -8.239818519932e+01 -1.799681748491e+02 -2.182630523951e+00 
1.137774133221e-03 1.000000000000e+00 -4.569760475672e+01 -8.239797388066e+01 -1.799676572113e+02 -2.218094555408e+00 
1.156280131207e-03 1.000000000000e+00 -4.569760457164e+01 -8.239775565563e+01 -1.799671311542e+02 -2.254133602922e+00 
1.175087130905e-03 1.000000000000e+00 -4.569760438030e+01 -8.239753030276e+01 -1.799665965407e+02 -2.290756926053e+00 
1.194200028134e-03 1.000000000000e+00 -4.569760418243e+01 -8.239729761808e+01 -1.799660532317e+02 -2.327973948999e+00 
1.213623798344e-03 1.000000000000e+00 -4.569760397795e+01 -8.239705729846e+01 -1.799655010858e+02 -2.365794207344e+00 
1.233363497914e-03 1.000000000000e+00 -4.569760376657e+01 -8.239680913297e+01 -1.799649399592e+02 -2.404227421117e+00 
1.253424265461e-03 1.000000000000e+00 -4.569760354810e+01 -8.239655286093e+01 -1.799643697059e+02 -2.443283453092e+00 
1.273811323186e-03 1.000000000000e+00 -4.569760332226e+01 -8.239628821919e+01 -1.799637901774e+02 -2.482972315774e+00 
1.294529978228e-03 1.000000000000e+00 -4.569760308889e+01 -8.239601492434e+01 -1.799632012229e+02 -2.523304181397e+00 
1.315585624046e-03 1.000000000000e+00 -4.569760284767e+01 -8.239573270742e+01 -1.799626026891e+02 -2.564289390270e+00 
1.336983741825e-03 1.000000000000e+00 -4.569760259840e+01 -8.239544126206e+01 -1.799619944201e+02 -2.605938427416e+00 
1.358729901903e-03 1.000000000000e+00 -4.569760234081e+01 -8.239514029551e+01 -1.799613762576e+02 -2.648261958446e+00 
1.380829765218e-03 1.000000000000e+00 -4.569760207464e+01 -8.239482949043e+01 -1.799607480407e+02 -2.691270805940e+00 
