%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 2.000000000000e+01 1.183356952516e+01 2.682757360527e-01 5.013291641429e-02 8.772101802477e-02
{2} 2.000000000000e+01 1.183356952516e+01 2.682757360527e-01 5.013291641429e-02 8.772101802477e-02
{3} 2.000000000000e+01 1.160749221012e+01 2.689833908863e-01 5.097488640295e-02 8.944787096118e-02
{4} 2.000000000000e+01 1.160749221012e+01 2.689833908863e-01 5.097488640295e-02 8.944787096118e-02
{5} 2.000000000000e+01 1.198056151180e+01 3.083216988762e-01 4.308626696528e-02 8.774320195647e-02
{6} 2.000000000000e+01 1.198056151180e+01 3.083216988762e-01 4.308626696528e-02 8.774320195647e-02
{7} 2.000000000000e+01 1.191291318858e+01 3.078506925486e-01 4.339723098563e-02 8.822731147353e-02
{8} 2.000000000000e+01 1.191291318858e+01 3.078506925486e-01 4.339723098563e-02 8.822731147353e-02
{9} 2.000000000000e+01  NaN  NaN 1.484396262873e-02  Inf
{10} 2.000000000000e+01  NaN  NaN 1.481483263039e-02  Inf
{11} 2.000000000000e+01  NaN  NaN 1.646096147223e-02  Inf
{12} 2.000000000000e+01  NaN  NaN 1.698390817972e-02  Inf
{13} 2.000000000000e+01  NaN  NaN 2.027366187914e-02  Inf
{14} 2.000000000000e+01  NaN  NaN 1.980672949509e-02  Inf
{15} 2.000000000000e+01  NaN  NaN 2.214910827670e-02  Inf
{16} 2.000000000000e+01  NaN  NaN 2.215432929664e-02  Inf
{17} 2.000000000000e+01  NaN  NaN 1.259098883619e-01  Inf
{18} 2.000000000000e+01  NaN  NaN 1.954936228916e-01  Inf
{19} 2.000000000000e+01 9.683756932789e-01 4.027529622716e-01 4.080726688711e-01 1.128206300342e+00
{20} 2.000000000000e+01 9.683756932789e-01 4.027529622716e-01 4.080726688711e-01 1.128206300342e+00
{21} 2.000000000000e+01 8.761698634374e-01 2.588458899340e-01 7.017631299197e-01 1.181601803015e+00
{22} 2.000000000000e+01 8.761698634374e-01 2.588458899340e-01 7.017631299197e-01 1.181601803015e+00
{23} 2.000000000000e+01 9.842852060812e-01 2.825529239239e-01 5.722678766290e-01 1.059123147502e+00
{24} 2.000000000000e+01 9.842852060812e-01 2.825529239239e-01 5.722678766290e-01 1.059123147502e+00
{25} 2.000000000000e+01  NaN  NaN 6.118286612023e+04  Inf
{26} 2.000000000000e+01  NaN  NaN -6.118283461641e+04  Inf
{27} 2.000000000000e+01  NaN  NaN -1.241383710845e+11  Inf
{28} 2.000000000000e+01  NaN  NaN -1.343728540731e+11  Inf
{29} 2.000000000000e+01  NaN  NaN -7.161855066395e+10  Inf
{30} 2.000000000000e+01  NaN  NaN -9.039501012572e+10  Inf
{31} 2.000000000000e+01  NaN  NaN 1.498885370468e+11  Inf
{32} 2.000000000000e+01  NaN  NaN 1.854723228961e+11  Inf

