%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 2.000000000000e+01 -1.994697439375e+01 7.162690822176e+01 -3.174659574493e+00 1.139977650188e+01
{2} 2.000000000000e+01 -1.994697439375e+01 -7.162690822176e+01 -3.174659574493e+00 -1.139977650188e+01
{3} 2.000000000000e+01 -1.961750325631e+01 7.024410128114e+01 -3.122222614363e+00 1.117969594194e+01
{4} 2.000000000000e+01 -1.961750325631e+01 -7.024410128114e+01 -3.122222614363e+00 -1.117969594194e+01
{5} 2.000000000000e+01 -2.320925135626e+01 7.160879893917e+01 -3.693867078810e+00 1.139689432004e+01
{6} 2.000000000000e+01 -2.320925135626e+01 -7.160879893917e+01 -3.693867078810e+00 -1.139689432004e+01
{7} 2.000000000000e+01 -2.304294484437e+01 7.121587637933e+01 -3.667398575375e+00 1.133435875239e+01
{8} 2.000000000000e+01 -2.304294484437e+01 -7.121587637933e+01 -3.667398575375e+00 -1.133435875239e+01
{9} 2.000000000000e+01 -6.736745605009e+01 0.000000000000e+00 -1.072186363390e+01 0.000000000000e+00
{10} 2.000000000000e+01 -6.749991882790e+01 0.000000000000e+00 -1.074294573976e+01 0.000000000000e+00
{11} 2.000000000000e+01 -6.074979287735e+01 0.000000000000e+00 -9.668629828238e+00 0.000000000000e+00
{12} 2.000000000000e+01 -5.887926320715e+01 0.000000000000e+00 -9.370925785026e+00 0.000000000000e+00
{13} 2.000000000000e+01 -4.932508029193e+01 0.000000000000e+00 -7.850330346866e+00 0.000000000000e+00
{14} 2.000000000000e+01 -5.048789100937e+01 0.000000000000e+00 -8.035397420426e+00 0.000000000000e+00
{15} 2.000000000000e+01 -4.514854446993e+01 0.000000000000e+00 -7.185614025793e+00 0.000000000000e+00
{16} 2.000000000000e+01 -4.513790449759e+01 0.000000000000e+00 -7.183920621601e+00 0.000000000000e+00
{17} 2.000000000000e+01 -7.942187964824e+00 0.000000000000e+00 -1.264038473567e+00 0.000000000000e+00
{18} 2.000000000000e+01 -5.115256371071e+00 0.000000000000e+00 -8.141183366383e-01 0.000000000000e+00
{19} 2.000000000000e+01 -2.450543925832e+00 5.569181190777e+00 -3.900161790599e-01 8.863627154866e-01
{20} 2.000000000000e+01 -2.450543925832e+00 -5.569181190777e+00 -3.900161790599e-01 -8.863627154866e-01
{21} 2.000000000000e+01 -1.424982244528e+00 5.317514996294e+00 -2.267929680348e-01 8.463087966256e-01
{22} 2.000000000000e+01 -1.424982244528e+00 -5.317514996294e+00 -2.267929680348e-01 -8.463087966256e-01
{23} 2.000000000000e+01 -1.747433397609e+00 5.932440738361e+00 -2.781126629533e-01 9.441772681098e-01
{24} 2.000000000000e+01 -1.747433397609e+00 -5.932440738361e+00 -2.781126629533e-01 -9.441772681098e-01
{25} 2.000000000000e+01 -1.634444515945e-05 0.000000000000e+00 -2.601299239221e-06 0.000000000000e+00
{26} 2.000000000000e+01 1.634445357541e-05 0.000000000000e+00 2.601300578663e-06 0.000000000000e+00
{27} 2.000000000000e+01 8.055526999942e-12 0.000000000000e+00 1.282076941251e-12 0.000000000000e+00
{28} 2.000000000000e+01 7.441979311208e-12 0.000000000000e+00 1.184427793766e-12 0.000000000000e+00
{29} 2.000000000000e+01 1.396286284391e-11 0.000000000000e+00 2.222258641322e-12 0.000000000000e+00
{30} 2.000000000000e+01 1.106255753066e-11 0.000000000000e+00 1.760660714242e-12 0.000000000000e+00
{31} 2.000000000000e+01 -6.671624259616e-12 0.000000000000e+00 -1.061821979370e-12 0.000000000000e+00
{32} 2.000000000000e+01 -5.391640026854e-12 0.000000000000e+00 -8.581061616459e-13 0.000000000000e+00

