%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
1.000000000000e-02 2.000000000000e+01 -1.644145031823e+00 -1.614501364884e+01 -3.560371673626e+01 -3.707064595621e-02 -1.798485790755e+02 -1.795734139794e+02 
1.009262190987e-02 2.000000000000e+01 -1.644125270889e+00 -1.614510822628e+01 -3.560380239876e+01 -3.741492405047e-02 -1.798471697575e+02 -1.795694567572e+02 
1.018610170156e-02 2.000000000000e+01 -1.644105142195e+00 -1.614520456502e+01 -3.560388965645e+01 -3.776241679270e-02 -1.798457471944e+02 -1.795654627112e+02 
1.028044732093e-02 2.000000000000e+01 -1.644084638897e+00 -1.614530269787e+01 -3.560397853906e+01 -3.811315468340e-02 -1.798443112581e+02 -1.795614314955e+02 
1.037566678745e-02 2.000000000000e+01 -1.644063754023e+00 -1.614540265828e+01 -3.560406907686e+01 -3.846716852596e-02 -1.798428618194e+02 -1.795573627610e+02 
1.047176819486e-02 2.000000000000e+01 -1.644042480471e+00 -1.614550448030e+01 -3.560416130070e+01 -3.882448942998e-02 -1.798413987473e+02 -1.795532561549e+02 
1.056875971185e-02 2.000000000000e+01 -1.644020811008e+00 -1.614560819863e+01 -3.560425524200e+01 -3.918514881482e-02 -1.798399219099e+02 -1.795491113214e+02 
1.066664958280e-02 2.000000000000e+01 -1.643998738266e+00 -1.614571384860e+01 -3.560435093276e+01 -3.954917841281e-02 -1.798384311735e+02 -1.795449279009e+02 
1.076544612842e-02 2.000000000000e+01 -1.643976254739e+00 -1.614582146623e+01 -3.560444840558e+01 -3.991661027312e-02 -1.798369264033e+02 -1.795407055305e+02 
1.086515774653e-02 2.000000000000e+01 -1.643953352782e+00 -1.614593108819e+01 -3.560454769368e+01 -4.028747676497e-02 -1.798354074628e+02 -1.795364438439e+02 
1.096579291268e-02 2.000000000000e+01 -1.643930024609e+00 -1.614604275183e+01 -3.560464883088e+01 -4.066181058156e-02 -1.798338742144e+02 -1.795321424709e+02 
1.106736018096e-02 2.000000000000e+01 -1.643906262286e+00 -1.614615649522e+01 -3.560475185166e+01 -4.103964474356e-02 -1.798323265188e+02 -1.795278010381e+02 
1.116986818468e-02 2.000000000000e+01 -1.643882057734e+00 -1.614627235711e+01 -3.560485679111e+01 -4.142101260286e-02 -1.798307642352e+02 -1.795234191681e+02 
1.127332563710e-02 2.000000000000e+01 -1.643857402723e+00 -1.614639037700e+01 -3.560496368500e+01 -4.180594784643e-02 -1.798291872215e+02 -1.795189964802e+02 
1.137774133221e-02 2.000000000000e+01 -1.643832288869e+00 -1.614651059512e+01 -3.560507256976e+01 -4.219448450007e-02 -1.798275953338e+02 -1.795145325897e+02 
1.148312414544e-02 2.000000000000e+01 -1.643806707632e+00 -1.614663305244e+01 -3.560518348249e+01 -4.258665693237e-02 -1.798259884270e+02 -1.795100271082e+02 
1.158948303440e-02 2.000000000000e+01 -1.643780650315e+00 -1.614675779072e+01 -3.560529646099e+01 -4.298249985857e-02 -1.798243663541e+02 -1.795054796438e+02 
1.169682703970e-02 2.000000000000e+01 -1.643754108056e+00 -1.614688485247e+01 -3.560541154378e+01 -4.338204834472e-02 -1.798227289668e+02 -1.795008898003e+02 
1.180516528569e-02 2.000000000000e+01 -1.643727071831e+00 -1.614701428101e+01 -3.560552877007e+01 -4.378533781153e-02 -1.798210761151e+02 -1.794962571781e+02 
1.191450698120e-02 2.000000000000e+01 -1.643699532447e+00 -1.614714612048e+01 -3.560564817984e+01 -4.419240403872e-02 -1.798194076473e+02 -1.794915813733e+02 
1.202486142037e-02 2.000000000000e+01 -1.643671480539e+00 -1.614728041581e+01 -3.560576981378e+01 -4.460328316906e-02 -1.798177234101e+02 -1.794868619783e+02 
1.213623798344e-02 2.000000000000e+01 -1.643642906569e+00 -1.614741721281e+01 -3.560589371335e+01 -4.501801171265e-02 -1.798160232487e+02 -1.794820985815e+02 
1.224864613751e-02 2.000000000000e+01 -1.643613800820e+00 -1.614755655812e+01 -3.560601992080e+01 -4.543662655131e-02 -1.798143070064e+02 -1.794772907671e+02 
1.236209543737e-02 2.000000000000e+01 -1.643584153396e+00 -1.614769849926e+01 -3.560614847916e+01 -4.585916494290e-02 -1.798125745248e+02 -1.794724381153e+02 
1.247659552631e-02 2.000000000000e+01 -1.643553954215e+00 -1.614784308463e+01 -3.560627943225e+01 -4.628566452569e-02 -1.798108256440e+02 -1.794675402024e+02 
1.259215613694e-02 2.000000000000e+01 -1.643523193009e+00 -1.614799036355e+01 -3.560641282474e+01 -4.671616332310e-02 -1.798090602021e+02 -1.794625966000e+02 
1.270878709202e-02 2.000000000000e+01 -1.643491859317e+00 -1.614814038624e+01 -3.560654870209e+01 -4.715069974807e-02 -1.798072780356e+02 -1.794576068761e+02 
1.282649830528e-02 2.000000000000e+01 -1.643459942486e+00 -1.614829320388e+01 -3.560668711066e+01 -4.758931260784e-02 -1.798054789789e+02 -1.794525705940e+02 
1.294529978228e-02 2.000000000000e+01 -1.643427431663e+00 -1.614844886860e+01 -3.560682809763e+01 -4.803204110859e-02 -1.798036628650e+02 -1.794474873129e+02 
1.306520162125e-02 2.000000000000e+01 -1.643394315792e+00 -1.614860743349e+01 -3.560697171110e+01 -4.847892486039e-02 -1.798018295248e+02 -1.794423565876e+02 
1.318621401395e-02 2.000000000000e+01 -1.643360583613e+00 -1.614876895266e+01 -3.560711800003e+01 -4.893000388189e-02 -1.797999787873e+02 -1.794371779684e+02 
1.330834724654e-02 2.000000000000e+01 -1.643326223655e+00 -1.614893348120e+01 -3.560726701434e+01 -4.938531860545e-02 -1.797981104796e+02 -1.794319510013e+02 
1.343161170046e-02 2.000000000000e+01 -1.643291224236e+00 -1.614910107525e+01 -3.560741880484e+01 -4.984490988212e-02 -1.797962244270e+02 -1.794266752277e+02 
1.355601785329e-02 2.000000000000e+01 -1.643255573453e+00 -1.614927179201e+01 -3.560757342332e+01 -5.030881898661e-02 -1.797943204527e+02 -1.794213501846e+02 
1.368157627967e-02 2.000000000000e+01 -1.643219259184e+00 -1.614944568971e+01 -3.560773092252e+01 -5.077708762281e-02 -1.797923983781e+02 -1.794159754041e+02 
1.380829765218e-02 2.000000000000e+01 -1.643182269082e+00 -1.614962282771e+01 -3.560789135617e+01 -5.124975792875e-02 -1.797904580223e+02 -1.794105504140e+02 
1.393619274224e-02 2.000000000000e+01 -1.643144590567e+00 -1.614980326646e+01 -3.560805477902e+01 -5.172687248216e-02 -1.797884992026e+02 -1.794050747371e+02 
1.406527242105e-02 2.000000000000e+01 -1.643106210828e+00 -1.614998706755e+01 -3.560822124682e+01 -5.220847430589e-02 -1.797865217341e+02 -1.793995478917e+02 
1.419554766050e-02 2.000000000000e+01 -1.643067116813e+00 -1.615017429370e+01 -3.560839081638e+01 -5.269460687340e-02 -1.797845254299e+02 -1.793939693911e+02 
1.432702953410e-02 2.000000000000e+01 -1.643027295230e+00 -1.615036500884e+01 -3.560856354556e+01 -5.318531411449e-02 -1.797825101009e+02 -1.793883387437e+02 
1.445972921792e-02 2.000000000000e+01 -1.642986732537e+00 -1.615055927807e+01 -3.560873949332e+01 -5.368064042090e-02 -1.797804755558e+02 -1.793826554532e+02 
1.459365799156e-02 2.000000000000e+01 -1.642945414942e+00 -1.615075716771e+01 -3.560891871969e+01 -5.418063065226e-02 -1.797784216011e+02 -1.793769190182e+02 
1.472882723908e-02 2.000000000000e+01 -1.642903328394e+00 -1.615095874533e+01 -3.560910128586e+01 -5.468533014203e-02 -1.797763480413e+02 -1.793711289322e+02 
1.486524844998e-02 2.000000000000e+01 -1.642860458582e+00 -1.615116407976e+01 -3.560928725414e+01 -5.519478470338e-02 -1.797742546783e+02 -1.793652846836e+02 
1.500293322019e-02 2.000000000000e+01 -1.642816790928e+00 -1.615137324112e+01 -3.560947668802e+01 -5.570904063539e-02 -1.797721413119e+02 -1.793593857559e+02 
1.514189325304e-02 2.000000000000e+01 -1.642772310584e+00 -1.615158630084e+01 -3.560966965217e+01 -5.622814472942e-02 -1.797700077395e+02 -1.793534316271e+02 
