%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+01 -1.765162101122e+00 -1.454313550982e+00 -4.553597654032e+00 -4.541548236156e+00 
1.013925407559e-03 1.000000000000e+01 -1.765909482831e+00 -1.455061802517e+00 -4.616746393985e+00 -4.604529181815e+00 
1.028044732093e-03 1.000000000000e+01 -1.766677766868e+00 -1.455830973227e+00 -4.680763425232e+00 -4.668376081904e+00 
1.042360673976e-03 1.000000000000e+01 -1.767467512761e+00 -1.456621623712e+00 -4.745660382955e+00 -4.733100539365e+00 
1.056875971185e-03 1.000000000000e+01 -1.768279333909e+00 -1.457434367566e+00 -4.811449025405e+00 -4.798714279292e+00 
1.071593399823e-03 1.000000000000e+01 -1.769113817060e+00 -1.458269793126e+00 -4.878141276593e+00 -4.865229192640e+00 
1.086515774653e-03 1.000000000000e+01 -1.769971609828e+00 -1.459128548053e+00 -4.945749182582e+00 -4.932657291126e+00 
1.101645949634e-03 1.000000000000e+01 -1.770853349669e+00 -1.460011270016e+00 -5.014284949865e+00 -5.001010746870e+00 
1.116986818468e-03 1.000000000000e+01 -1.771759675862e+00 -1.460918600474e+00 -5.083760940018e+00 -5.070301886763e+00 
1.132541315153e-03 1.000000000000e+01 -1.772691291122e+00 -1.461851241648e+00 -5.154189638596e+00 -5.140543161001e+00 
1.148312414544e-03 1.000000000000e+01 -1.773648890634e+00 -1.462809889805e+00 -5.225583694494e+00 -5.211747182481e+00 
1.164303132921e-03 1.000000000000e+01 -1.774633159890e+00 -1.463795231731e+00 -5.297955923844e+00 -5.283926730956e+00 
1.180516528569e-03 1.000000000000e+01 -1.775644870845e+00 -1.464808039690e+00 -5.371319254645e+00 -5.357094697854e+00 
1.196955702359e-03 1.000000000000e+01 -1.776684750988e+00 -1.465849042402e+00 -5.445686805874e+00 -5.431264164543e+00 
1.213623798344e-03 1.000000000000e+01 -1.777753597268e+00 -1.466919036962e+00 -5.521071820590e+00 -5.506448336219e+00 
1.230524004359e-03 1.000000000000e+01 -1.778852182296e+00 -1.468018797911e+00 -5.597487723136e+00 -5.582660598914e+00 
1.247659552631e-03 1.000000000000e+01 -1.779981343912e+00 -1.469149163272e+00 -5.674948066886e+00 -5.659914467270e+00 
1.265033720396e-03 1.000000000000e+01 -1.781141904649e+00 -1.470310956547e+00 -5.753466585154e+00 -5.738223634445e+00 
