%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+01  NaN  NaN 9.044801824874e-04  Inf
{2} 1.000000000000e+01  NaN  NaN 1.166279646308e-03  Inf
{3} 1.000000000000e+01 2.873506619661e+01 6.594739059935e-01 8.398666060173e-03 4.629428550644e-02
{4} 1.000000000000e+01 2.873506619661e+01 6.594739059935e-01 8.398666060173e-03 4.629428550644e-02
{5} 1.000000000000e+01  NaN  NaN 7.866346040857e-03  Inf
{6} 1.000000000000e+01  NaN  NaN 1.032881964840e-02  Inf
{7} 1.000000000000e+01 5.658761028762e+00 1.312364131642e-01 2.143109816498e-01 1.782588716429e-01
{8} 1.000000000000e+01 5.658761028762e+00 1.312364131642e-01 2.143109816498e-01 1.782588716429e-01
{9} 1.000000000000e+01 6.060850949893e+00 5.880830885854e-01 4.465271159651e-02 2.039975607185e-01
{10} 1.000000000000e+01 6.060850949893e+00 5.880830885854e-01 4.465271159651e-02 2.039975607185e-01
{11} 1.000000000000e+01 6.029623216126e+00 9.585473431368e-01 2.753698508985e-02 5.820584558549e-01
{12} 1.000000000000e+01 6.029623216126e+00 9.585473431368e-01 2.753698508985e-02 5.820584558549e-01
{13} 1.000000000000e+01  NaN  NaN 3.914552543571e-02  Inf
{14} 1.000000000000e+01 1.169584209619e+00 5.003698923072e-01 2.719552614406e-01 9.875180281005e-01
{15} 1.000000000000e+01 1.169584209619e+00 5.003698923072e-01 2.719552614406e-01 9.875180281005e-01
{16} 1.000000000000e+01  NaN  NaN 1.252426032348e+01  Inf
{17} 1.000000000000e+01  NaN  NaN 3.266587864200e+04  Inf
{18} 1.000000000000e+01  NaN  NaN -3.267841566305e+04  Inf
{19} 1.000000000000e+01 1.279369287410e-06 -5.152541609973e-07 -2.414363757301e+11 7.816351461935e+05
{20} 1.000000000000e+01 1.279369287410e-06 -5.152541609973e-07 -2.414363757301e+11 7.816351461935e+05
{21} 1.000000000000e+01  NaN  NaN -8.523977827557e+11  Inf
{22} 1.000000000000e+01  NaN  NaN 8.893257005703e+10  Inf

