%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  6  centre-rear-bellcrank -4.47200000e-02 + -2.73000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.04400000e-01 + -1.05000000e-03i, -8.52000000e-03 + -1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 

0.00000000e+00  7  f-axle 7.61710000e-01 + 8.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -1.94900000e-02 + -5.70000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.41000000e-03 + -6.80000000e-04i, 
0.00000000e+00  7  lf-axle 7.09750000e-01 + 1.43000000e-03i, 1.30510000e-01 + 8.40000000e-04i, 3.95000000e-02 + -2.00000000e-05i, 9.09320000e-01 + 0.00000000e+00i, 7.14600000e-02 + 1.91000000e-03i, -4.09760000e-01 + -1.14900000e-02i, 
0.00000000e+00  7  rf-axle 7.09750000e-01 + 1.43000000e-03i, -1.30510000e-01 + -8.40000000e-04i, 3.95000000e-02 + -2.00000000e-05i, 9.09320000e-01 + 0.00000000e+00i, -7.14600000e-02 + -1.91000000e-03i, -4.09760000e-01 + -1.14900000e-02i, 
0.00000000e+00  7  r-axle-t -7.62810000e-01 + 2.30000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -2.50400000e-02 + -7.10000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.28000000e-03 + -6.60000000e-04i, 
0.00000000e+00  7  r-axle-b -7.62320000e-01 + 9.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -9.80000000e-03 + -2.80000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.28000000e-03 + -6.60000000e-04i, 
0.00000000e+00  7  lr-axle -7.62480000e-01 + 1.40000000e-04i, 3.89600000e-02 + 1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.12000000e-03 + -6.10000000e-04i, 
0.00000000e+00  7  rr-axle -7.62480000e-01 + 1.40000000e-04i, -3.89600000e-02 + -1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.12000000e-03 + -6.10000000e-04i, 
0.00000000e+00  7  chassis -1.80900000e-02 + 6.45000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.10580000e+00 + -3.01250000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + -3.40000000e-04i, 
0.00000000e+00  7  lf-wheel 7.24790000e-01 + 3.20000000e-04i, 1.32560000e-01 + 8.40000000e-04i, 3.82700000e-02 + 0.00000000e+00i, 9.07580000e-01 + 0.00000000e+00i, 9.43000000e-02 + 3.87000000e-03i, -4.08980000e-01 + -1.14700000e-02i, 
0.00000000e+00  7  rf-wheel 7.24790000e-01 + 3.20000000e-04i, -1.32560000e-01 + -8.40000000e-04i, 3.82700000e-02 + 0.00000000e+00i, 9.07580000e-01 + 0.00000000e+00i, -9.43000000e-02 + -3.87000000e-03i, -4.08980000e-01 + -1.14700000e-02i, 
0.00000000e+00  7  lr-wheel -7.59370000e-01 + -7.70000000e-04i, 3.89700000e-02 + 1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99980000e-01 + 0.00000000e+00i, 5.55000000e-03 + 1.60000000e-03i, -2.12000000e-03 + -6.10000000e-04i, 
0.00000000e+00  7  rr-wheel -7.59370000e-01 + -7.70000000e-04i, -3.89700000e-02 + -1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99980000e-01 + 0.00000000e+00i, -5.55000000e-03 + -1.60000000e-03i, -2.12000000e-03 + -6.10000000e-04i, 
0.00000000e+00  7  left-rear-bellcrank -6.81990000e-01 + 6.42000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.09098000e+00 + -3.01030000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + -3.40000000e-04i, 
0.00000000e+00  7  right-rear-bellcrank -6.81990000e-01 + 6.42000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.09098000e+00 + -3.01030000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + -3.40000000e-04i, 
0.00000000e+00  7  centre-rear-bellcrank -5.84270000e-01 + 6.39000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.09316000e+00 + -3.01060000e-01i, 9.56760000e-01 + 2.90030000e-01i, -0.00000000e+00 + 0.00000000e+00i, 2.14500000e-02 + 6.15000000e-03i, 

0.00000000e+00  8  f-axle 7.61710000e-01 + -8.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -1.94900000e-02 + 5.70000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.41000000e-03 + 6.80000000e-04i, 
0.00000000e+00  8  lf-axle 7.09750000e-01 + -1.43000000e-03i, 1.30510000e-01 + -8.40000000e-04i, 3.95000000e-02 + 2.00000000e-05i, 9.09320000e-01 + 0.00000000e+00i, 7.14600000e-02 + -1.91000000e-03i, -4.09760000e-01 + 1.14900000e-02i, 
0.00000000e+00  8  rf-axle 7.09750000e-01 + -1.43000000e-03i, -1.30510000e-01 + 8.40000000e-04i, 3.95000000e-02 + 2.00000000e-05i, 9.09320000e-01 + 0.00000000e+00i, -7.14600000e-02 + 1.91000000e-03i, -4.09760000e-01 + 1.14900000e-02i, 
0.00000000e+00  8  r-axle-t -7.62810000e-01 + -2.30000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -2.50400000e-02 + 7.10000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.28000000e-03 + 6.60000000e-04i, 
0.00000000e+00  8  r-axle-b -7.62320000e-01 + -9.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -9.80000000e-03 + 2.80000000e-04i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.28000000e-03 + 6.60000000e-04i, 
0.00000000e+00  8  lr-axle -7.62480000e-01 + -1.40000000e-04i, 3.89600000e-02 + -1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.12000000e-03 + 6.10000000e-04i, 
0.00000000e+00  8  rr-axle -7.62480000e-01 + -1.40000000e-04i, -3.89600000e-02 + 1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.12000000e-03 + 6.10000000e-04i, 
0.00000000e+00  8  chassis -1.80900000e-02 + -6.45000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.10580000e+00 + 3.01250000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + 3.40000000e-04i, 
0.00000000e+00  8  lf-wheel 7.24790000e-01 + -3.20000000e-04i, 1.32560000e-01 + -8.40000000e-04i, 3.82700000e-02 + 0.00000000e+00i, 9.07580000e-01 + 0.00000000e+00i, 9.43000000e-02 + -3.87000000e-03i, -4.08980000e-01 + 1.14700000e-02i, 
0.00000000e+00  8  rf-wheel 7.24790000e-01 + -3.20000000e-04i, -1.32560000e-01 + 8.40000000e-04i, 3.82700000e-02 + 0.00000000e+00i, 9.07580000e-01 + 0.00000000e+00i, -9.43000000e-02 + 3.87000000e-03i, -4.08980000e-01 + 1.14700000e-02i, 
0.00000000e+00  8  lr-wheel -7.59370000e-01 + 7.70000000e-04i, 3.89700000e-02 + -1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99980000e-01 + 0.00000000e+00i, 5.55000000e-03 + -1.60000000e-03i, -2.12000000e-03 + 6.10000000e-04i, 
0.00000000e+00  8  rr-wheel -7.59370000e-01 + 7.70000000e-04i, -3.89700000e-02 + 1.02000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99980000e-01 + 0.00000000e+00i, -5.55000000e-03 + 1.60000000e-03i, -2.12000000e-03 + 6.10000000e-04i, 
0.00000000e+00  8  left-rear-bellcrank -6.81990000e-01 + -6.42000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.09098000e+00 + 3.01030000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + 3.40000000e-04i, 
0.00000000e+00  8  right-rear-bellcrank -6.81990000e-01 + -6.42000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.09098000e+00 + 3.01030000e-01i, 9.99750000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.23100000e-02 + 3.40000000e-04i, 
0.00000000e+00  8  centre-rear-bellcrank -5.84270000e-01 + -6.39000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.09316000e+00 + 3.01060000e-01i, 9.56760000e-01 + -2.90030000e-01i, -0.00000000e+00 + 0.00000000e+00i, 2.14500000e-02 + -6.15000000e-03i, 

0.00000000e+00  9  f-axle 7.60090000e-01 + -3.39000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lf-axle 7.60090000e-01 + -3.39000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rf-axle 7.60090000e-01 + -3.39000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  r-axle-t -7.22860000e-01 + 8.75000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  r-axle-b -7.22860000e-01 + 8.75000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lr-axle -7.22860000e-01 + 8.75000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rr-axle -7.22860000e-01 + 8.75000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  chassis 4.69890000e-01 + -7.42200000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lf-wheel 7.71640000e-01 + 1.71000000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rf-wheel 7.71640000e-01 + 1.71000000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  lr-wheel -9.59130000e-01 + -4.40800000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  rr-wheel -9.59130000e-01 + -4.40800000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  left-rear-bellcrank -6.06050000e-01 + -3.67000000e-03i, 4.45880000e-01 + 9.80000000e-04i, 2.03660000e-01 + 0.00000000e+00i, 9.74970000e-01 + 0.00000000e+00i, -2.21790000e-01 + -1.54300000e-02i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  right-rear-bellcrank -6.06050000e-01 + -3.67000000e-03i, -4.45880000e-01 + -9.80000000e-04i, 2.03660000e-01 + 0.00000000e+00i, 9.74970000e-01 + 0.00000000e+00i, 2.21790000e-01 + 1.54300000e-02i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  9  centre-rear-bellcrank -3.69840000e-01 + -2.93000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.32270000e-01 + 1.83000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  10  f-axle 7.60090000e-01 + 3.39000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lf-axle 7.60090000e-01 + 3.39000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rf-axle 7.60090000e-01 + 3.39000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  r-axle-t -7.22860000e-01 + -8.75000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  r-axle-b -7.22860000e-01 + -8.75000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lr-axle -7.22860000e-01 + -8.75000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rr-axle -7.22860000e-01 + -8.75000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  chassis 4.69890000e-01 + 7.42200000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lf-wheel 7.71640000e-01 + -1.71000000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rf-wheel 7.71640000e-01 + -1.71000000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  lr-wheel -9.59130000e-01 + 4.40800000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  rr-wheel -9.59130000e-01 + 4.40800000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  left-rear-bellcrank -6.06050000e-01 + 3.67000000e-03i, 4.45880000e-01 + -9.80000000e-04i, 2.03660000e-01 + 0.00000000e+00i, 9.74970000e-01 + 0.00000000e+00i, -2.21790000e-01 + 1.54300000e-02i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  right-rear-bellcrank -6.06050000e-01 + 3.67000000e-03i, -4.45880000e-01 + 9.80000000e-04i, 2.03660000e-01 + 0.00000000e+00i, 9.74970000e-01 + 0.00000000e+00i, 2.21790000e-01 + -1.54300000e-02i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  10  centre-rear-bellcrank -3.69840000e-01 + 2.93000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.32270000e-01 + -1.83000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  11  f-axle 7.48110000e-01 + -8.58000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  lf-axle 7.48110000e-01 + -8.58000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  rf-axle 7.48110000e-01 + -8.58000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  r-axle-t -7.64090000e-01 + -2.51000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  r-axle-b -7.64090000e-01 + -2.51000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  lr-axle -7.64090000e-01 + -2.51000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  rr-axle -7.64090000e-01 + -2.51000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  chassis -8.39880000e-01 + -6.88800000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  lf-wheel 8.31990000e-01 + 4.32000000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  rf-wheel 8.31990000e-01 + 4.32000000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  lr-wheel -7.51470000e-01 + 1.26500000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  rr-wheel -7.51470000e-01 + 1.26500000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  left-rear-bellcrank -8.18510000e-01 + -6.06100000e-02i, 2.58260000e-01 + -2.12500000e-02i, 2.65100000e-01 + 0.00000000e+00i, 2.60730000e-01 + 2.28330000e-01i, 9.38020000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  right-rear-bellcrank -8.18510000e-01 + -6.06100000e-02i, -2.58260000e-01 + 2.12500000e-02i, 2.65100000e-01 + 0.00000000e+00i, -2.60730000e-01 + -2.28330000e-01i, 9.38020000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  11  centre-rear-bellcrank -8.78690000e-01 + -2.02160000e-01i, -0.00000000e+00 + 0.00000000e+00i, 3.16370000e-01 + 7.29400000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  12  f-axle 7.48110000e-01 + 8.58000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  lf-axle 7.48110000e-01 + 8.58000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  rf-axle 7.48110000e-01 + 8.58000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  r-axle-t -7.64090000e-01 + 2.51000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  r-axle-b -7.64090000e-01 + 2.51000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  lr-axle -7.64090000e-01 + 2.51000000e-03i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  rr-axle -7.64090000e-01 + 2.51000000e-03i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  chassis -8.39880000e-01 + 6.88800000e-02i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  lf-wheel 8.31990000e-01 + -4.32000000e-02i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  rf-wheel 8.31990000e-01 + -4.32000000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  lr-wheel -7.51470000e-01 + -1.26500000e-02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  rr-wheel -7.51470000e-01 + -1.26500000e-02i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  left-rear-bellcrank -8.18510000e-01 + 6.06100000e-02i, 2.58260000e-01 + 2.12500000e-02i, 2.65100000e-01 + 0.00000000e+00i, 2.60730000e-01 + -2.28330000e-01i, 9.38020000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  right-rear-bellcrank -8.18510000e-01 + 6.06100000e-02i, -2.58260000e-01 + -2.12500000e-02i, 2.65100000e-01 + 0.00000000e+00i, -2.60730000e-01 + 2.28330000e-01i, 9.38020000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  12  centre-rear-bellcrank -8.78690000e-01 + 2.02160000e-01i, -0.00000000e+00 + 0.00000000e+00i, 3.16370000e-01 + -7.29400000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  13  f-axle 6.86700000e-01 + 2.95000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 5.54160000e-01 + -1.04910000e-01i, 9.87180000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.56800000e-01 + -2.98100000e-02i, 
