%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  3  lf-wheel -3.05698300e+01 + 2.38262950e+02i, 6.00220000e-01 + 4.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.30380000e-01 + -9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rf-wheel -3.05697300e+01 + 2.38262960e+02i, -5.99780000e-01 + 4.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.30380000e-01 + -9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lr-wheel -2.19619000e+00 + -5.34061000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rr-wheel -2.19619000e+00 + -5.34061000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  left-rear-bellcrank -6.52670000e-01 + -5.40000000e-04i, 2.01010000e-01 + 3.66400000e-02i, 2.04510000e-01 + 0.00000000e+00i, 9.69010000e-01 + 0.00000000e+00i, 7.35000000e-03 + -2.46910000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  right-rear-bellcrank -6.52670000e-01 + -5.40000000e-04i, -2.01010000e-01 + -3.66400000e-02i, 2.04510000e-01 + 0.00000000e+00i, 9.69010000e-01 + 0.00000000e+00i, -7.35000000e-03 + 2.46910000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  centre-rear-bellcrank -5.56970000e-01 + 1.23600000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.09510000e-01 + 4.22300000e-02i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  4  f-axle 6.98229000e+00 + 4.73023000e+01i, 1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + -9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lf-axle 6.98229000e+00 + 4.73023000e+01i, 5.50010000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + -9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rf-axle 6.98229000e+00 + 4.73023000e+01i, -5.49990000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + -9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  r-axle-t -4.77270000e-01 + -1.06027000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  r-axle-b -4.77270000e-01 + -1.06027000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lr-axle -4.77270000e-01 + -1.06027000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rr-axle -4.77270000e-01 + -1.06027000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + 9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  chassis -5.09100000e-01 + 8.79000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lf-wheel -3.05698300e+01 + -2.38262950e+02i, 6.00220000e-01 + -4.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.30380000e-01 + 9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rf-wheel -3.05697300e+01 + -2.38262960e+02i, -5.99780000e-01 + -4.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.30380000e-01 + 9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lr-wheel -2.19619000e+00 + 5.34061000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rr-wheel -2.19619000e+00 + 5.34061000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  left-rear-bellcrank -6.52670000e-01 + 5.40000000e-04i, 2.01010000e-01 + -3.66400000e-02i, 2.04510000e-01 + 0.00000000e+00i, 9.69010000e-01 + 0.00000000e+00i, 7.35000000e-03 + 2.46910000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  right-rear-bellcrank -6.52670000e-01 + 5.40000000e-04i, -2.01010000e-01 + 3.66400000e-02i, 2.04510000e-01 + 0.00000000e+00i, 9.69010000e-01 + 0.00000000e+00i, -7.35000000e-03 + -2.46910000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  centre-rear-bellcrank -5.56970000e-01 + -1.23600000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.09510000e-01 + -4.22300000e-02i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  5  f-axle 7.45220000e-01 + 6.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -1.51400000e-02 + 0.00000000e+00i, 9.89540000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.44240000e-01 + -4.90000000e-04i, 
0.00000000e+00  5  lf-axle 6.94580000e-01 + 9.00000000e-05i, 1.26010000e-01 + -7.00000000e-05i, 4.86400000e-02 + -1.00000000e-05i, 8.77110000e-01 + 0.00000000e+00i, 6.26500000e-02 + 2.00000000e-05i, -4.76190000e-01 + -5.00000000e-04i, 
0.00000000e+00  5  rf-axle 6.94580000e-01 + 9.00000000e-05i, -1.26010000e-01 + 7.00000000e-05i, 4.86400000e-02 + -1.00000000e-05i, 8.77110000e-01 + 0.00000000e+00i, -6.26500000e-02 + -2.00000000e-05i, -4.76190000e-01 + -5.00000000e-04i, 
0.00000000e+00  5  r-axle-t -7.09850000e-01 + 2.00000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -1.48500000e-02 + 1.00000000e-05i, 9.88670000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.50110000e-01 + -5.80000000e-04i, 
0.00000000e+00  5  r-axle-b -7.41590000e-01 + 8.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -5.81000000e-03 + 0.00000000e+00i, 9.88670000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.50110000e-01 + -5.80000000e-04i, 
0.00000000e+00  5  lr-axle -7.30180000e-01 + 1.20000000e-04i, 3.49300000e-02 + -1.00000000e-05i, 4.52000000e-03 + 0.00000000e+00i, 9.90070000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.40580000e-01 + -5.40000000e-04i, 
0.00000000e+00  5  rr-axle -7.30180000e-01 + 1.20000000e-04i, -3.49300000e-02 + 1.00000000e-05i, 4.52000000e-03 + 0.00000000e+00i, 9.90070000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.40580000e-01 + -5.40000000e-04i, 
0.00000000e+00  5  chassis -4.63800000e-02 + 3.13000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.99600000e-01 + -7.00000000e-05i, -8.52000000e-03 + 1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
0.00000000e+00  5  lf-wheel 8.45810000e-01 + -3.80000000e-04i, 1.87290000e-01 + -6.00000000e-05i, 4.51500000e-02 + 0.00000000e+00i, 8.18620000e-01 + 0.00000000e+00i, 3.63790000e-01 + 1.01000000e-03i, -4.44440000e-01 + -4.70000000e-04i, 
0.00000000e+00  5  rf-wheel 8.45810000e-01 + -3.80000000e-04i, -1.87290000e-01 + 6.00000000e-05i, 4.51500000e-02 + 0.00000000e+00i, 8.18620000e-01 + 0.00000000e+00i, -3.63790000e-01 + -1.01000000e-03i, -4.44440000e-01 + -4.70000000e-04i, 
0.00000000e+00  5  lr-wheel -9.15460000e-01 + -5.90000000e-04i, 1.02650000e-01 + -1.00000000e-05i, 3.98000000e-03 + 0.00000000e+00i, 9.28860000e-01 + 0.00000000e+00i, -3.46160000e-01 + 1.32000000e-03i, 1.31890000e-01 + -5.00000000e-04i, 
0.00000000e+00  5  rr-wheel -9.15460000e-01 + -5.90000000e-04i, -1.02650000e-01 + 1.00000000e-05i, 3.98000000e-03 + 0.00000000e+00i, 9.28860000e-01 + 0.00000000e+00i, 3.46160000e-01 + -1.32000000e-03i, 1.31890000e-01 + -5.00000000e-04i, 
0.00000000e+00  5  left-rear-bellcrank -4.55800000e-02 + 2.93000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.05240000e-01 + 1.25000000e-03i, -8.52000000e-03 + 1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
0.00000000e+00  5  right-rear-bellcrank -4.55800000e-02 + 2.93000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.05240000e-01 + 1.25000000e-03i, -8.52000000e-03 + 1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
0.00000000e+00  5  centre-rear-bellcrank -4.47200000e-02 + 2.73000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.04400000e-01 + 1.05000000e-03i, -8.52000000e-03 + 1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 

