%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 0.00000000e+00 1.31940486e+01 5.43988483e-02 2.21744240e-01 7.59041400e-02
{2} 0.00000000e+00 1.31940486e+01 5.43988483e-02 2.21744240e-01 7.59041400e-02
{3} 0.00000000e+00 1.30431538e+01 5.44668821e-02 2.24029393e-01 7.67825517e-02
{4} 0.00000000e+00 1.30431538e+01 5.44668821e-02 2.24029393e-01 7.67825517e-02
{5} 0.00000000e+00 1.13589201e+01 3.18900605e-02 4.39367311e-01 8.80813373e-02
{6} 0.00000000e+00 1.13589201e+01 3.18900605e-02 4.39367311e-01 8.80813373e-02
{7} 0.00000000e+00 1.17929159e+01 4.01932190e-02 3.35773286e-01 8.48652476e-02
{8} 0.00000000e+00 1.17929159e+01 4.01932190e-02 3.35773286e-01 8.48652476e-02
{9} 0.00000000e+00 1.13807045e+00 1.47118309e-01 9.50570342e-01 8.88346408e-01
{10} 0.00000000e+00 1.13807045e+00 1.47118309e-01 9.50570342e-01 8.88346408e-01
{11} 0.00000000e+00 6.22969382e-01 2.58492594e-01 9.88337616e-01 1.66169081e+00
{12} 0.00000000e+00 6.22969382e-01 2.58492594e-01 9.88337616e-01 1.66169081e+00
{13} 0.00000000e+00 9.06236492e-01 1.80908083e-01 9.70779536e-01 1.12197734e+00
{14} 0.00000000e+00 9.06236492e-01 1.80908083e-01 9.70779536e-01 1.12197734e+00
{15} 0.00000000e+00  NaN  NaN  Inf  Inf
{16} 0.00000000e+00  NaN  NaN  Inf  Inf

