%%% Bode Mag Phase 
frequency speed  m1 m2 m3 m4 p1 p2 p3 p4
1.35366442e-01 0.00000000e+00 -1.13746068e+01 -6.95249379e-01 -4.77524472e+01 -5.68783221e+00 -1.14524258e+00 -1.79217743e+02 3.87998713e+01 -8.99305635e-01 
1.36196357e-01 0.00000000e+00 -1.13703849e+01 -6.94849902e-01 -4.76678439e+01 -5.68801515e+00 -1.17278451e+00 -1.79214578e+02 3.92708850e+01 -9.05711934e-01 
1.37031360e-01 0.00000000e+00 -1.13661322e+01 -6.94444996e-01 -4.75819886e+01 -5.68819941e+00 -1.20077119e+00 -1.79211425e+02 3.97371577e+01 -9.12168152e-01 
1.37871483e-01 0.00000000e+00 -1.13618481e+01 -6.94034252e-01 -4.74949065e+01 -5.68838457e+00 -1.22921114e+00 -1.79208284e+02 4.01986038e+01 -9.18674040e-01 
1.38716756e-01 0.00000000e+00 -1.13575333e+01 -6.93617661e-01 -4.74066210e+01 -5.68857084e+00 -1.25810589e+00 -1.79205156e+02 4.06551886e+01 -9.25230884e-01 
1.39567211e-01 0.00000000e+00 -1.13531861e+01 -6.93194976e-01 -4.73171648e+01 -5.68875816e+00 -1.28746900e+00 -1.79202044e+02 4.11066848e+01 -9.31838837e-01 
1.40422881e-01 0.00000000e+00 -1.13488082e+01 -6.92766482e-01 -4.72265773e+01 -5.68894659e+00 -1.31730060e+00 -1.79198944e+02 4.15527989e+01 -9.38496663e-01 
1.41283796e-01 0.00000000e+00 -1.13443984e+01 -6.92331745e-01 -4.71348624e+01 -5.68913593e+00 -1.34760957e+00 -1.79195861e+02 4.19936199e+01 -9.45207029e-01 
1.42149990e-01 0.00000000e+00 -1.13399568e+01 -6.91890822e-01 -4.70420731e+01 -5.68932625e+00 -1.37840282e+00 -1.79192794e+02 4.24290012e+01 -9.51969009e-01 
1.43021494e-01 0.00000000e+00 -1.13354837e+01 -6.91443593e-01 -4.69482283e+01 -5.68951762e+00 -1.40968389e+00 -1.79189744e+02 4.28587612e+01 -9.58783757e-01 
1.43898341e-01 0.00000000e+00 -1.13309785e+01 -6.90989881e-01 -4.68533678e+01 -5.68970996e+00 -1.44146253e+00 -1.79186712e+02 4.32828393e+01 -9.65649624e-01 
1.44780564e-01 0.00000000e+00 -1.13264416e+01 -6.90529800e-01 -4.67575147e+01 -5.68990325e+00 -1.47374240e+00 -1.79183699e+02 4.37010265e+01 -9.72568430e-01 
1.45668196e-01 0.00000000e+00 -1.13218724e+01 -6.90063168e-01 -4.66606992e+01 -5.69009761e+00 -1.50653317e+00 -1.79180705e+02 4.41133496e+01 -9.79540466e-01 
1.46561269e-01 0.00000000e+00 -1.13172709e+01 -6.89589774e-01 -4.65629624e+01 -5.69029269e+00 -1.53984074e+00 -1.79177732e+02 4.45197595e+01 -9.86565650e-01 
1.47459819e-01 0.00000000e+00 -1.13126373e+01 -6.89109683e-01 -4.64643282e+01 -5.69048875e+00 -1.57367104e+00 -1.79174780e+02 4.49201023e+01 -9.93644015e-01 
1.48363877e-01 0.00000000e+00 -1.13079714e+01 -6.88622637e-01 -4.63648196e+01 -5.69068566e+00 -1.60803298e+00 -1.79171850e+02 4.53142774e+01 -1.00077693e+00 
1.49273477e-01 0.00000000e+00 -1.13032727e+01 -6.88128593e-01 -4.62644816e+01 -5.69088339e+00 -1.64293245e+00 -1.79168945e+02 4.57023838e+01 -1.00796390e+00 
1.50188655e-01 0.00000000e+00 -1.12985421e+01 -6.87627551e-01 -4.61633441e+01 -5.69108199e+00 -1.67837366e+00 -1.79166063e+02 4.60842204e+01 -1.01520503e+00 
1.51109443e-01 0.00000000e+00 -1.12937784e+01 -6.87119383e-01 -4.60614331e+01 -5.69128143e+00 -1.71436842e+00 -1.79163208e+02 4.64597775e+01 -1.02250111e+00 
1.52035876e-01 0.00000000e+00 -1.12889822e+01 -6.86603721e-01 -4.59587770e+01 -5.69148164e+00 -1.75092544e+00 -1.79160379e+02 4.68290561e+01 -1.02985173e+00 
1.52967990e-01 0.00000000e+00 -1.12841531e+01 -6.86080894e-01 -4.58554210e+01 -5.69168254e+00 -1.78804748e+00 -1.79157577e+02 4.71919899e+01 -1.03725795e+00 
1.53905817e-01 0.00000000e+00 -1.12792912e+01 -6.85550472e-01 -4.57513769e+01 -5.69188423e+00 -1.82574453e+00 -1.79154804e+02 4.75486339e+01 -1.04471923e+00 
1.54849395e-01 0.00000000e+00 -1.12743960e+01 -6.85012391e-01 -4.56466817e+01 -5.69208661e+00 -1.86402519e+00 -1.79152060e+02 4.78987992e+01 -1.05223628e+00 
1.55798758e-01 0.00000000e+00 -1.12694685e+01 -6.84466688e-01 -4.55413684e+01 -5.69228975e+00 -1.90289614e+00 -1.79149348e+02 4.82425259e+01 -1.05980937e+00 
