%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.774923756338e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.169144826728e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 7.580617918265e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.773666425052e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.125892745513e-03  Inf
{6} 1.000000000000e+00 1.090810326959e+01 6.481840672797e-01 2.250984679547e-02 1.203899271365e-01
{7} 1.000000000000e+00 1.090810326959e+01 6.481840672797e-01 2.250984679547e-02 1.203899271365e-01
{8} 1.000000000000e+00 6.442463312751e+00 3.640930941448e-01 6.785091925368e-02 1.666591912843e-01
{9} 1.000000000000e+00 6.442463312751e+00 3.640930941448e-01 6.785091925368e-02 1.666591912843e-01
{10} 1.000000000000e+00  NaN  NaN 4.520615635642e-02  Inf
{11} 1.000000000000e+00 2.906612663690e+00 5.193789295426e-01 1.054262219208e-01 4.026042783899e-01
{12} 1.000000000000e+00 2.906612663690e+00 5.193789295426e-01 1.054262219208e-01 4.026042783899e-01
{13} 1.000000000000e+00 1.616850247489e+00 1.313746804140e-01 7.492705475683e-01 6.238938903340e-01
{14} 1.000000000000e+00 1.616850247489e+00 1.313746804140e-01 7.492705475683e-01 6.238938903340e-01
{15} 1.000000000000e+00  NaN  NaN -2.838876286672e-01  Inf
{16} 1.000000000000e+00  NaN  NaN 2.774681995601e-01  Inf
{17} 1.000000000000e+00 1.145430836684e-07 -5.139127652275e-07 -2.703720883135e+12 8.730339431889e+06
{18} 1.000000000000e+00 1.145430836684e-07 -5.139127652275e-07 -2.703720883135e+12 8.730339431889e+06
{19} 1.000000000000e+00  NaN  NaN -2.863612661433e+06  Inf
{20} 1.000000000000e+00  NaN  NaN 2.863621444361e+06  Inf
{21} 1.000000000000e+00  NaN  NaN -1.719166665622e+12  Inf
{22} 1.000000000000e+00  NaN  NaN 1.384843471270e+12  Inf

