%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -4.569760557704e+01 -8.239947718115e+01 -1.799715736316e+02 -1.949731288755e+00 
1.016265089393e-03 1.000000000000e+00 -4.569760543169e+01 -8.239930875806e+01 -1.799711112748e+02 -1.981417779717e+00 
1.032794731919e-03 1.000000000000e+00 -4.569760528158e+01 -8.239913481850e+01 -1.799706413977e+02 -2.013618363051e+00 
1.049593230558e-03 1.000000000000e+00 -4.569760512654e+01 -8.239895518202e+01 -1.799701638781e+02 -2.046341336589e+00 
1.066664958280e-03 1.000000000000e+00 -4.569760496642e+01 -8.239876966227e+01 -1.799696785916e+02 -2.079595129964e+00 
1.084014359178e-03 1.000000000000e+00 -4.569760480105e+01 -8.239857806684e+01 -1.799691854119e+02 -2.113388306602e+00 
1.101645949634e-03 1.000000000000e+00 -4.569760463026e+01 -8.239838019704e+01 -1.799686842106e+02 -2.147729565735e+00 
1.119564319484e-03 1.000000000000e+00 -4.569760445386e+01 -8.239817584770e+01 -1.799681748573e+02 -2.182627744434e+00 
1.137774133221e-03 1.000000000000e+00 -4.569760427168e+01 -8.239796480696e+01 -1.799676572193e+02 -2.218091819670e+00 
1.156280131207e-03 1.000000000000e+00 -4.569760408353e+01 -8.239774685605e+01 -1.799671311619e+02 -2.254130910411e+00 
1.175087130905e-03 1.000000000000e+00 -4.569760388920e+01 -8.239752176908e+01 -1.799665965483e+02 -2.290754279718e+00 
1.194200028134e-03 1.000000000000e+00 -4.569760368850e+01 -8.239728931280e+01 -1.799660532391e+02 -2.327971336893e+00 
1.213623798344e-03 1.000000000000e+00 -4.569760348122e+01 -8.239704924635e+01 -1.799655010930e+02 -2.365791639634e+00 
1.233363497914e-03 1.000000000000e+00 -4.569760326714e+01 -8.239680132104e+01 -1.799649399662e+02 -2.404224896219e+00 
1.253424265461e-03 1.000000000000e+00 -4.569760304604e+01 -8.239654528007e+01 -1.799643697128e+02 -2.443280967717e+00 
1.273811323186e-03 1.000000000000e+00 -4.569760281769e+01 -8.239628085829e+01 -1.799637901841e+02 -2.482969870220e+00 
1.294529978228e-03 1.000000000000e+00 -4.569760258186e+01 -8.239600778191e+01 -1.799632012294e+02 -2.523301777101e+00 
1.315585624046e-03 1.000000000000e+00 -4.569760233828e+01 -8.239572576826e+01 -1.799626026954e+02 -2.564287021298e+00 
1.336983741825e-03 1.000000000000e+00 -4.569760208672e+01 -8.239543452542e+01 -1.799619944263e+02 -2.605936097607e+00 
1.358729901903e-03 1.000000000000e+00 -4.569760182691e+01 -8.239513375203e+01 -1.799613762636e+02 -2.648259665026e+00 
1.380829765218e-03 1.000000000000e+00 -4.569760155858e+01 -8.239482313692e+01 -1.799607480466e+02 -2.691268549094e+00 
1.403289084786e-03 1.000000000000e+00 -4.569760128145e+01 -8.239450235880e+01 -1.799601096116e+02 -2.734973744264e+00 
1.426113707194e-03 1.000000000000e+00 -4.569760099523e+01 -8.239417108593e+01 -1.799594607925e+02 -2.779386416307e+00 
1.449309574126e-03 1.000000000000e+00 -4.569760069963e+01 -8.239382897580e+01 -1.799588014204e+02 -2.824517904720e+00 
1.472882723908e-03 1.000000000000e+00 -4.569760039433e+01 -8.239347567480e+01 -1.799581313236e+02 -2.870379725168e+00 
1.496839293077e-03 1.000000000000e+00 -4.569760007902e+01 -8.239311081783e+01 -1.799574503277e+02 -2.916983571948e+00 
1.521185517986e-03 1.000000000000e+00 -4.569759975336e+01 -8.239273402792e+01 -1.799567582554e+02 -2.964341320458e+00 
1.545927736419e-03 1.000000000000e+00 -4.569759941703e+01 -8.239234491590e+01 -1.799560549267e+02 -3.012465029703e+00 
1.571072389247e-03 1.000000000000e+00 -4.569759906967e+01 -8.239194307997e+01 -1.799553401583e+02 -3.061366944809e+00 
1.596626022101e-03 1.000000000000e+00 -4.569759871091e+01 -8.239152810530e+01 -1.799546137643e+02 -3.111059499564e+00 
1.622595287078e-03 1.000000000000e+00 -4.569759834040e+01 -8.239109956364e+01 -1.799538755555e+02 -3.161555318969e+00 
1.648986944471e-03 1.000000000000e+00 -4.569759795773e+01 -8.239065701284e+01 -1.799531253398e+02 -3.212867221797e+00 
1.675807864531e-03 1.000000000000e+00 -4.569759756251e+01 -8.239019999646e+01 -1.799523629219e+02 -3.265008223198e+00 
1.703065029253e-03 1.000000000000e+00 -4.569759715432e+01 -8.238972804326e+01 -1.799515881033e+02 -3.317991537278e+00 
1.730765534196e-03 1.000000000000e+00 -4.569759673276e+01 -8.238924066679e+01 -1.799508006824e+02 -3.371830579733e+00 
1.758916590328e-03 1.000000000000e+00 -4.569759629736e+01 -8.238873736485e+01 -1.799500004542e+02 -3.426538970450e+00 
1.787525525904e-03 1.000000000000e+00 -4.569759584769e+01 -8.238821761902e+01 -1.799491872103e+02 -3.482130536163e+00 
1.816599788375e-03 1.000000000000e+00 -4.569759538328e+01 -8.238768089412e+01 -1.799483607391e+02 -3.538619313089e+00 
1.846146946325e-03 1.000000000000e+00 -4.569759490363e+01 -8.238712663769e+01 -1.799475208254e+02 -3.596019549586e+00 
1.876174691439e-03 1.000000000000e+00 -4.569759440825e+01 -8.238655427948e+01 -1.799466672507e+02 -3.654345708814e+00 
1.906690840512e-03 1.000000000000e+00 -4.569759389662e+01 -8.238596323079e+01 -1.799457997926e+02 -3.713612471395e+00 
1.937703337478e-03 1.000000000000e+00 -4.569759336822e+01 -8.238535288399e+01 -1.799449182255e+02 -3.773834738086e+00 
1.969220255479e-03 1.000000000000e+00 -4.569759282249e+01 -8.238472261184e+01 -1.799440223198e+02 -3.835027632453e+00 
2.001249798969e-03 1.000000000000e+00 -4.569759225886e+01 -8.238407176694e+01 -1.799431118423e+02 -3.897206503539e+00 
2.033800305847e-03 1.000000000000e+00 -4.569759167675e+01 -8.238339968102e+01 -1.799421865561e+02 -3.960386928526e+00 
2.066880249629e-03 1.000000000000e+00 -4.569759107554e+01 -8.238270566434e+01 -1.799412462202e+02 -4.024584715410e+00 
2.100498241654e-03 1.000000000000e+00 -4.569759045463e+01 -8.238198900500e+01 -1.799402905899e+02 -4.089815905643e+00 
2.134663033324e-03 1.000000000000e+00 -4.569758981334e+01 -8.238124896822e+01 -1.799393194165e+02 -4.156096776788e+00 
2.169383518385e-03 1.000000000000e+00 -4.569758915103e+01 -8.238048479564e+01 -1.799383324471e+02 -4.223443845152e+00 
2.204668735239e-03 1.000000000000e+00 -4.569758846700e+01 -8.237969570458e+01 -1.799373294249e+02 -4.291873868408e+00 
2.240527869300e-03 1.000000000000e+00 -4.569758776053e+01 -8.237888088729e+01 -1.799363100887e+02 -4.361403848183e+00 
2.276970255382e-03 1.000000000000e+00 -4.569758703089e+01 -8.237803951014e+01 -1.799352741732e+02 -4.432051032663e+00 
2.314005380131e-03 1.000000000000e+00 -4.569758627733e+01 -8.237717071283e+01 -1.799342214088e+02 -4.503832919121e+00 
2.351642884494e-03 1.000000000000e+00 -4.569758549905e+01 -8.237627360756e+01 -1.799331515214e+02 -4.576767256461e+00 
2.389892566231e-03 1.000000000000e+00 -4.569758469525e+01 -8.237534727814e+01 -1.799320642326e+02 -4.650872047714e+00 
2.428764382460e-03 1.000000000000e+00 -4.569758386509e+01 -8.237439077920e+01 -1.799309592593e+02 -4.726165552501e+00 
