%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -3.445490750581e+01 -7.035354663425e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 1.000000000000e+00 -3.445494213325e+01 -7.033510175238e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 1.000000000000e+00 -3.445516081050e+01 -7.023485039287e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 1.000000000000e+00 -3.445635930272e+01 -6.972574687631e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 1.000000000000e+00 -3.446289943760e+01 -6.768673087947e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 1.000000000000e+00 -3.449859673322e+01 -6.296444572438e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 1.000000000000e+00 -3.469348135649e+01 -5.701626426530e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 1.000000000000e+00 -3.572390519081e+01 -5.334581010375e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 1.000000000000e+00 -3.970656401589e+01 -5.756739602493e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 1.000000000000e+00 -4.708943205032e+01 -7.015181161753e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 1.000000000000e+00 -5.495514090303e+01 -8.502091414487e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 1.000000000000e+00 -6.248094236815e+01 -9.985737140518e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 1.000000000000e+00 -6.991687231501e+01 -1.146270271862e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 1.000000000000e+00 -7.748171672018e+01 -1.294386452493e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 1.000000000000e+00 -8.566274758018e+01 -1.446702295449e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 1.000000000000e+00 -9.502222711591e+01 -1.613824886703e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 1.000000000000e+00 -1.042745730427e+02 -1.786745401107e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 1.000000000000e+00 -1.123298254220e+02 -1.945528315150e+02 -8.940786777965e+01 1.791781837172e+02 
4.281332398719e+03 1.000000000000e+00 -1.198492769188e+02 -2.095622534395e+02 -8.974645347693e+01 1.796481964032e+02 
1.000000000000e+04 1.000000000000e+00 -1.272464213853e+02 -2.243522105408e+02 -8.989144553221e+01 1.798493802097e+02 

1.000000000000e-03 2.000000000000e+00 -2.822956546476e+01 -4.475035512561e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 2.000000000000e+00 -2.822959454335e+01 -4.475033983041e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 2.000000000000e+00 -2.822971737071e+01 -4.475019456610e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 2.000000000000e+00 -2.823038160492e+01 -4.474939398575e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 2.000000000000e+00 -2.823402515581e+01 -4.474512118140e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 2.000000000000e+00 -2.825451531745e+01 -4.472460920282e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 2.000000000000e+00 -2.838279921620e+01 -4.468407637908e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 2.000000000000e+00 -2.936383091501e+01 -4.554256373820e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 2.000000000000e+00 -3.435873109192e+01 -5.259751292824e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 2.000000000000e+00 -4.379326281950e+01 -6.742528237748e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 2.000000000000e+00 -5.370349505669e+01 -8.412992381208e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 2.000000000000e+00 -6.210673399342e+01 -9.971501872837e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 2.000000000000e+00 -6.985070777098e+01 -1.146893899166e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 2.000000000000e+00 -7.791938949222e+01 -1.298004221995e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 2.000000000000e+00 -8.713620825453e+01 -1.461861837799e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 2.000000000000e+00 -9.662048116694e+01 -1.635728483385e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 2.000000000000e+00 -1.048881588951e+02 -1.797069100355e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 2.000000000000e+00 -1.124664384724e+02 -1.948030438487e+02 -8.940786777965e+01 1.791781837172e+02 
4.281332398719e+03 2.000000000000e+00 -1.198753218122e+02 -2.096109397338e+02 -8.974645347693e+01 1.796481964032e+02 
1.000000000000e+04 2.000000000000e+00 -1.272512305856e+02 -2.243612465088e+02 -8.989144553221e+01 1.798493802097e+02 

1.000000000000e-03 3.000000000000e+00 -2.435544881194e+01 -3.559209047041e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 3.000000000000e+00 -2.435540735090e+01 -3.559210081614e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 3.000000000000e+00 -2.435525898246e+01 -3.559234672331e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 3.000000000000e+00 -2.435446553247e+01 -3.559372414743e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 3.000000000000e+00 -2.435019092489e+01 -3.560127883026e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 3.000000000000e+00 -2.432839317622e+01 -3.564349139462e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 3.000000000000e+00 -2.425286305698e+01 -3.590238436174e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 3.000000000000e+00 -2.478110913593e+01 -3.791951587067e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 3.000000000000e+00 -3.074068925454e+01 -4.805355116334e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 3.000000000000e+00 -4.112732301134e+01 -6.484290552829e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 3.000000000000e+00 -5.218494003434e+01 -8.295768376443e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 3.000000000000e+00 -6.154368461554e+01 -9.948861188004e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 3.000000000000e+00 -6.974839646396e+01 -1.147960116519e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 3.000000000000e+00 -7.843600862606e+01 -1.303987296367e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 3.000000000000e+00 -8.815027924978e+01 -1.475316666345e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 3.000000000000e+00 -9.715968631876e+01 -1.644517615658e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 3.000000000000e+00 -1.050221232191e+02 -1.799498793251e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 3.000000000000e+00 -1.124926032293e+02 -1.948518347980e+02 -8.940786777965e+01 1.791781837172e+02 
4.281332398719e+03 3.000000000000e+00 -1.198801754586e+02 -2.096200341916e+02 -8.974645347693e+01 1.796481964032e+02 
1.000000000000e+04 3.000000000000e+00 -1.272521222120e+02 -2.243629121941e+02 -8.989144553221e+01 1.798493802097e+02 

1.000000000000e-03 4.000000000000e+00 -2.133805665850e+01 -2.953481500176e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 4.000000000000e+00 -2.133797695943e+01 -2.953484462558e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 4.000000000000e+00 -2.133738437720e+01 -2.953478548811e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 4.000000000000e+00 -2.133412451052e+01 -2.953442353815e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 4.000000000000e+00 -2.131639295764e+01 -2.953247587191e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 4.000000000000e+00 -2.122140871849e+01 -2.952289892070e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 4.000000000000e+00 -2.075831736762e+01 -2.950594947608e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 4.000000000000e+00 -2.007007129782e+01 -3.079777450500e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 4.000000000000e+00 -2.784650607634e+01 -4.394971669820e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 4.000000000000e+00 -3.907429206279e+01 -6.262128365775e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 4.000000000000e+00 -5.067744587639e+01 -8.171154925481e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 4.000000000000e+00 -6.085547273576e+01 -9.919199281809e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 4.000000000000e+00 -6.962008528097e+01 -1.149468852542e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 4.000000000000e+00 -7.892079423999e+01 -1.311048249699e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 4.000000000000e+00 -8.876382954585e+01 -1.484733985870e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 4.000000000000e+00 -9.738465397635e+01 -1.648467294883e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 4.000000000000e+00 -1.050708315193e+02 -1.800400206702e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 4.000000000000e+00 -1.125018273760e+02 -1.948691073917e+02 -8.940786777965e+01 1.791781837172e+02 
4.281332398719e+03 4.000000000000e+00 -1.198818764992e+02 -2.096232266959e+02 -8.974645347693e+01 1.796481964032e+02 
1.000000000000e+04 4.000000000000e+00 -1.272524343569e+02 -2.243634983508e+02 -8.989144553221e+01 1.798493802097e+02 

1.000000000000e-03 5.000000000000e+00 -1.868419195957e+01 -2.470329480578e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 5.000000000000e+00 -1.868397831533e+01 -2.470319156711e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 5.000000000000e+00 -1.868287423667e+01 -2.470266979493e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 5.000000000000e+00 -1.867686157120e+01 -2.469982944970e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 5.000000000000e+00 -1.864404518369e+01 -2.468429426543e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 5.000000000000e+00 -1.846455642991e+01 -2.459834741825e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 5.000000000000e+00 -1.747457329154e+01 -2.409788696438e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 5.000000000000e+00 -1.313685897924e+01 -2.195074660083e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 5.000000000000e+00 -2.528657655676e+01 -4.016994895103e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 5.000000000000e+00 -3.745715410693e+01 -6.070242565364e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 5.000000000000e+00 -4.928074720694e+01 -8.049860784898e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 5.000000000000e+00 -6.009823269120e+01 -9.884065038194e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 5.000000000000e+00 -6.947677694646e+01 -1.151381548149e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 5.000000000000e+00 -7.933148249193e+01 -1.318119630915e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 5.000000000000e+00 -8.913778608826e+01 -1.491058197065e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 5.000000000000e+00 -9.749670176231e+01 -1.650506390294e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 5.000000000000e+00 -1.050937115021e+02 -1.800827026756e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 5.000000000000e+00 -1.125061085834e+02 -1.948771354424e+02 -8.940786777965e+01 1.791781837172e+02 
4.281332398719e+03 5.000000000000e+00 -1.198826642302e+02 -2.096247052704e+02 -8.974645347693e+01 1.796481964032e+02 
1.000000000000e+04 5.000000000000e+00 -1.272525788473e+02 -2.243637695992e+02 -8.989144553221e+01 1.798493802097e+02 

1.000000000000e-03 6.000000000000e+00 -1.613727781517e+01 -2.044539479385e+01 -1.713711994278e+02 -1.714246341897e+02 
2.335721469090e-03 6.000000000000e+00 -1.613711782359e+01 -2.044534660062e+01 -1.604706742048e+02 -1.605954802307e+02 
5.455594781169e-03 6.000000000000e+00 -1.613622966341e+01 -2.044506492189e+01 -1.402761476700e+02 -1.405676441938e+02 
1.274274985703e-02 6.000000000000e+00 -1.613137795341e+01 -2.044352044879e+01 -1.168859632718e+02 -1.175666274019e+02 
2.976351441631e-02 6.000000000000e+00 -1.610480489290e+01 -2.043496484767e+01 -1.011936226317e+02 -1.027810456992e+02 
6.951927961776e-02 6.000000000000e+00 -1.595676088577e+01 -2.038446914719e+01 -9.231249340105e+01 -9.598986629741e+01 
1.623776739189e-01 6.000000000000e+00 -1.505817834681e+01 -1.999696248206e+01 -8.538491928867e+01 -9.361347751770e+01 
3.792690190732e-01 6.000000000000e+00 -6.373050727726e+00 -1.361172944578e+01 -7.806496886423e+01 -9.398130103437e+01 
8.858667904101e-01 6.000000000000e+00 -2.311276483878e+01 -3.684679501951e+01 -7.467956135221e+01 -9.735396826930e+01 
2.069138081115e+00 6.000000000000e+00 -3.614735080079e+01 -5.901364672801e+01 -7.825157527390e+01 -1.061334776584e+02 
4.832930238572e+00 6.000000000000e+00 -4.801413545373e+01 -7.936069349207e+01 -1.644556711721e+02 -1.747221040744e+02 
1.128837891685e+01 6.000000000000e+00 -5.931342685951e+01 -9.844960317303e+01 -3.871256150987e+01 5.781261539103e+01 
2.636650898730e+01 6.000000000000e+00 -6.932834696955e+01 -1.153627824892e+02 -6.384530978279e+01 9.478441487448e+01 
6.158482110660e+01 6.000000000000e+00 -7.966315598184e+01 -1.324645598598e+02 -7.452123994050e+01 1.521143159112e+02 
1.438449888288e+02 6.000000000000e+00 -8.937505029601e+01 -1.495346578604e+02 -8.265223070641e+01 1.692609525653e+02 
3.359818286284e+02 6.000000000000e+00 -9.755987764361e+01 -1.651678597170e+02 -8.678516546677e+01 1.754962046478e+02 
7.847599703515e+02 6.000000000000e+00 -1.051062305586e+02 -1.801061454803e+02 -8.861798515666e+01 1.780791222691e+02 
1.832980710832e+03 6.000000000000e+00 -1.125084372756e+02 -1.948815044300e+02 -8.940786777965e+01 1.791781837172e+02 
