%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.122395106211e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.167067131003e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 6.512199985424e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.701580958423e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.221535616297e-03  Inf
{6} 1.000000000000e+00 8.965478738879e+00 8.759096714302e-01 2.026690001693e-02 2.311807064535e-01
{7} 1.000000000000e+00 8.965478738879e+00 8.759096714302e-01 2.026690001693e-02 2.311807064535e-01
{8} 1.000000000000e+00 7.098580064695e+00 3.613568748494e-01 6.204579090280e-02 1.510822346181e-01
{9} 1.000000000000e+00 7.098580064695e+00 3.613568748494e-01 6.204579090280e-02 1.510822346181e-01
{10} 1.000000000000e+00 3.660126035351e+00 5.197557025605e-01 8.366134228669e-02 3.198055235309e-01
{11} 1.000000000000e+00 3.660126035351e+00 5.197557025605e-01 8.366134228669e-02 3.198055235309e-01
{12} 1.000000000000e+00  NaN  NaN 5.162135222341e-02  Inf
{13} 1.000000000000e+00  NaN  NaN 1.425392664358e-01  Inf
{14} 1.000000000000e+00 6.241233301704e-01 -9.673801687304e-01 -2.636043267503e-01 6.324767757692e+00
{15} 1.000000000000e+00 6.241233301704e-01 -9.673801687304e-01 -2.636043267503e-01 6.324767757692e+00
{16} 1.000000000000e+00  NaN  NaN 2.913419859723e-01  Inf
{17} 1.000000000000e+00 1.103694271423e-07 1.165169023749e-04 1.237606019215e+10 9.060480177170e+06
{18} 1.000000000000e+00 1.103694271423e-07 1.165169023749e-04 1.237606019215e+10 9.060480177170e+06
{19} 1.000000000000e+00 1.277133579608e-06 1.346765084424e-06 9.253200212746e+10 7.830034508276e+05
{20} 1.000000000000e+00 1.277133579608e-06 1.346765084424e-06 9.253200212746e+10 7.830034508276e+05
{21} 1.000000000000e+00  NaN  NaN -8.007253216833e+11  Inf
{22} 1.000000000000e+00  NaN  NaN -5.210249994024e+09  Inf

{1} 2.000000000000e+00  NaN  NaN 1.822862520827e-04  Inf
{2} 2.000000000000e+00  NaN  NaN 2.333956282832e-04  Inf
{3} 2.000000000000e+00  NaN  NaN 1.308333911960e-03  Inf
{4} 2.000000000000e+00  NaN  NaN 1.943524950777e-03  Inf
{5} 2.000000000000e+00  NaN  NaN 5.848637683112e-03  Inf
{6} 2.000000000000e+00 9.918627833333e+00 9.200839413621e-01 1.743978336351e-02 2.573779093799e-01
{7} 2.000000000000e+00 9.918627833333e+00 9.200839413621e-01 1.743978336351e-02 2.573779093799e-01
{8} 2.000000000000e+00 6.779424896724e+00 3.975263399528e-01 5.905563825201e-02 1.607526395819e-01
{9} 2.000000000000e+00 6.779424896724e+00 3.975263399528e-01 5.905563825201e-02 1.607526395819e-01
{10} 2.000000000000e+00 4.147773733528e+00 4.009899050067e-01 9.569111946197e-02 2.631784769273e-01
{11} 2.000000000000e+00 4.147773733528e+00 4.009899050067e-01 9.569111946197e-02 2.631784769273e-01
{12} 2.000000000000e+00  NaN  NaN 3.970947283979e-02  Inf
{13} 2.000000000000e+00  NaN  NaN 1.182012122273e-01  Inf
{14} 2.000000000000e+00 5.585439611498e-01 -8.851333167440e-01 -3.219245393330e-01 3.847463994432e+00
{15} 2.000000000000e+00 5.585439611498e-01 -8.851333167440e-01 -3.219245393330e-01 3.847463994432e+00
{16} 2.000000000000e+00  NaN  NaN 2.863170486279e-01  Inf
{17} 2.000000000000e+00 1.272434151773e-06 1.438609805641e-06 8.694443679309e+10 7.858952847248e+05
{18} 2.000000000000e+00 1.272434151773e-06 1.438609805641e-06 8.694443679309e+10 7.858952847248e+05
{19} 2.000000000000e+00 4.553015996987e-07 -4.518264313517e-06 -7.736585373613e+10 2.196346335422e+06
{20} 2.000000000000e+00 4.553015996987e-07 -4.518264313517e-06 -7.736585373613e+10 2.196346335422e+06
{21} 2.000000000000e+00  NaN  NaN -2.730576977734e+11  Inf
