%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+00 -1.096203341729e+04 0.000000000000e+00 -1.744661804700e+03 0.000000000000e+00
{2} 1.000000000000e+00 -8.568487394042e+03 0.000000000000e+00 -1.363717123582e+03 0.000000000000e+00
{3} 1.000000000000e+00 -1.535579377535e+03 0.000000000000e+00 -2.443950484447e+02 0.000000000000e+00
{4} 1.000000000000e+00 -1.030759836243e+03 0.000000000000e+00 -1.640505230786e+02 0.000000000000e+00
{5} 1.000000000000e+00 -1.915145415994e+02 0.000000000000e+00 -3.048048596952e+01 0.000000000000e+00
{6} 1.000000000000e+00 -4.934153714504e+01 2.717867508742e+01 -7.852949536386e+00 4.325620486852e+00
{7} 1.000000000000e+00 -4.934153714504e+01 -2.717867508742e+01 -7.852949536386e+00 -4.325620486852e+00
{8} 1.000000000000e+00 -1.611712874394e+01 4.158784997495e+01 -2.565120708047e+00 6.618911896078e+00
{9} 1.000000000000e+00 -1.611712874394e+01 -4.158784997495e+01 -2.565120708047e+00 -6.618911896078e+00
{10} 1.000000000000e+00 -1.195295189710e+01 1.964689426814e+01 -1.902371378964e+00 3.126900339179e+00
{11} 1.000000000000e+00 -1.195295189710e+01 -1.964689426814e+01 -1.902371378964e+00 -3.126900339179e+00
{12} 1.000000000000e+00 -1.937182884463e+01 0.000000000000e+00 -3.083122317352e+00 0.000000000000e+00
{13} 1.000000000000e+00 -7.015610680518e+00 0.000000000000e+00 -1.116569118613e+00 0.000000000000e+00
{14} 1.000000000000e+00 3.793564439279e+00 9.934254581187e-01 6.037645324488e-01 1.581085722529e-01
{15} 1.000000000000e+00 3.793564439279e+00 -9.934254581187e-01 6.037645324488e-01 -1.581085722529e-01
{16} 1.000000000000e+00 -3.432392336664e+00 0.000000000000e+00 -5.462822070109e-01 0.000000000000e+00
{17} 1.000000000000e+00 -8.080115840376e-11 6.934715582747e-07 -1.285990376751e-11 1.103694263931e-07
{18} 1.000000000000e+00 -8.080115840376e-11 -6.934715582747e-07 -1.285990376751e-11 -1.103694263931e-07
{19} 1.000000000000e+00 -1.080707189954e-11 8.024466942692e-06 -1.719998913162e-12 1.277133579607e-06
{20} 1.000000000000e+00 -1.080707189954e-11 -8.024466942692e-06 -1.719998913162e-12 -1.277133579607e-06
{21} 1.000000000000e+00 1.248867711462e-12 0.000000000000e+00 1.987634695470e-13 0.000000000000e+00
{22} 1.000000000000e+00 1.919293702120e-10 0.000000000000e+00 3.054650799375e-11 0.000000000000e+00

{1} 2.000000000000e+00 -5.485877231962e+03 0.000000000000e+00 -8.731044786620e+02 0.000000000000e+00
{2} 2.000000000000e+00 -4.284570398151e+03 0.000000000000e+00 -6.819105578910e+02 0.000000000000e+00
{3} 2.000000000000e+00 -7.643308721563e+02 0.000000000000e+00 -1.216470364614e+02 0.000000000000e+00
{4} 2.000000000000e+00 -5.145290260361e+02 0.000000000000e+00 -8.188983785790e+01 0.000000000000e+00
{5} 2.000000000000e+00 -1.709799878504e+02 0.000000000000e+00 -2.721231023619e+01 0.000000000000e+00
{6} 2.000000000000e+00 -5.734016181029e+01 2.441229444406e+01 -9.125970189797e+00 3.885337332987e+00
{7} 2.000000000000e+00 -5.734016181029e+01 -2.441229444406e+01 -9.125970189797e+00 -3.885337332987e+00
{8} 2.000000000000e+00 -1.693318419035e+01 3.908604750456e+01 -2.694999966180e+00 6.220737666275e+00
{9} 2.000000000000e+00 -1.693318419035e+01 -3.908604750456e+01 -2.694999966180e+00 -6.220737666275e+00
{10} 2.000000000000e+00 -1.045029053503e+01 2.387423690774e+01 -1.663215395397e+00 3.799702816413e+00
{11} 2.000000000000e+00 -1.045029053503e+01 -2.387423690774e+01 -1.663215395397e+00 -3.799702816413e+00
{12} 2.000000000000e+00 -2.518290796844e+01 0.000000000000e+00 -4.007984284606e+00 0.000000000000e+00
{13} 2.000000000000e+00 -8.460150121618e+00 0.000000000000e+00 -1.346474711155e+00 0.000000000000e+00
{14} 2.000000000000e+00 3.106318027423e+00 1.633071892621e+00 4.943858688798e-01 2.599114641351e-01
{15} 2.000000000000e+00 3.106318027423e+00 -1.633071892621e+00 4.943858688798e-01 -2.599114641351e-01
{16} 2.000000000000e+00 -3.492631698993e+00 0.000000000000e+00 -5.558695992942e-01 0.000000000000e+00
{17} 2.000000000000e+00 -1.150159845626e-11 7.994939566764e-06 -1.830536247772e-12 1.272434151771e-06
{18} 2.000000000000e+00 -1.150159845626e-11 -7.994939566764e-06 -1.830536247772e-12 -1.272434151771e-06
{19} 2.000000000000e+00 1.292559897821e-11 2.860744321533e-06 2.057172969806e-12 4.553015996940e-07
{20} 2.000000000000e+00 1.292559897821e-11 -2.860744321533e-06 2.057172969806e-12 -4.553015996940e-07
{21} 2.000000000000e+00 3.662229661183e-12 0.000000000000e+00 5.828619533150e-13 0.000000000000e+00
{22} 2.000000000000e+00 -2.093332572114e-12 0.000000000000e+00 -3.331642263872e-13 0.000000000000e+00

{1} 3.000000000000e+00 -3.660553329126e+03 0.000000000000e+00 -5.825951567819e+02 0.000000000000e+00
{2} 3.000000000000e+00 -2.856601972841e+03 0.000000000000e+00 -4.546423244237e+02 0.000000000000e+00
{3} 3.000000000000e+00 -5.056724577446e+02 0.000000000000e+00 -8.048027123548e+01 0.000000000000e+00
{4} 3.000000000000e+00 -3.420702964588e+02 0.000000000000e+00 -5.444217856633e+01 0.000000000000e+00
{5} 3.000000000000e+00 -1.351962984378e+02 0.000000000000e+00 -2.151715918410e+01 0.000000000000e+00
