%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.774879884751e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.169142747940e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 7.580617917064e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.773666425008e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.091168108161e-03  Inf
{6} 1.000000000000e+00 1.057411015799e+01 8.410157828019e-01 1.789666691199e-02 1.748036140099e-01
{7} 1.000000000000e+00 1.057411015799e+01 8.410157828019e-01 1.789666691199e-02 1.748036140099e-01
{8} 1.000000000000e+00 6.709689208843e+00 3.261848219313e-01 7.272001819648e-02 1.576613258616e-01
{9} 1.000000000000e+00 6.709689208843e+00 3.261848219313e-01 7.272001819648e-02 1.576613258616e-01
{10} 1.000000000000e+00  NaN  NaN 4.923961370523e-02  Inf
{11} 1.000000000000e+00 3.266363199390e+00 5.082374277711e-01 9.587138763484e-02 3.554863532315e-01
{12} 1.000000000000e+00 3.266363199390e+00 5.082374277711e-01 9.587138763484e-02 3.554863532315e-01
{13} 1.000000000000e+00 1.616850300485e+00 1.313747051500e-01 7.492703819326e-01 6.238938719477e-01
{14} 1.000000000000e+00 1.616850300485e+00 1.313747051500e-01 7.492703819326e-01 6.238938719477e-01
{15} 1.000000000000e+00  NaN  NaN -2.838876282078e-01  Inf
{16} 1.000000000000e+00  NaN  NaN 2.774681996638e-01  Inf
{17} 1.000000000000e+00 1.831510586041e-08 -2.754646728657e-06 -3.154603552344e+12 5.459973901464e+07
{18} 1.000000000000e+00 1.831510586041e-08 -2.754646728657e-06 -3.154603552344e+12 5.459973901464e+07
{19} 1.000000000000e+00  NaN  NaN 4.336750323147e+06  Inf
{20} 1.000000000000e+00  NaN  NaN -4.336735979043e+06  Inf
{21} 1.000000000000e+00  NaN  NaN 3.292542273120e+11  Inf
{22} 1.000000000000e+00  NaN  NaN -2.479238299700e+12  Inf

