%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.000000000000e-03 1.000000000000e+00 -4.569760615866e+01 -8.239947775543e+01 -1.799715736333e+02 -1.949731288669e+00 
1.016265089393e-03 1.000000000000e+00 -4.569760601331e+01 -8.239930933234e+01 -1.799711112765e+02 -1.981417779630e+00 
1.032794731919e-03 1.000000000000e+00 -4.569760586320e+01 -8.239913539278e+01 -1.799706413994e+02 -2.013618362963e+00 
1.049593230558e-03 1.000000000000e+00 -4.569760570816e+01 -8.239895575630e+01 -1.799701638798e+02 -2.046341336499e+00 
1.066664958280e-03 1.000000000000e+00 -4.569760554804e+01 -8.239877023655e+01 -1.799696785933e+02 -2.079595129873e+00 
1.084014359178e-03 1.000000000000e+00 -4.569760538267e+01 -8.239857864112e+01 -1.799691854137e+02 -2.113388306510e+00 
1.101645949634e-03 1.000000000000e+00 -4.569760521188e+01 -8.239838077132e+01 -1.799686842124e+02 -2.147729565641e+00 
1.119564319484e-03 1.000000000000e+00 -4.569760503548e+01 -8.239817642198e+01 -1.799681748591e+02 -2.182627744337e+00 
1.137774133221e-03 1.000000000000e+00 -4.569760485330e+01 -8.239796538124e+01 -1.799676572212e+02 -2.218091819573e+00 
1.156280131207e-03 1.000000000000e+00 -4.569760466515e+01 -8.239774743033e+01 -1.799671311638e+02 -2.254130910312e+00 
1.175087130905e-03 1.000000000000e+00 -4.569760447082e+01 -8.239752234337e+01 -1.799665965502e+02 -2.290754279618e+00 
1.194200028134e-03 1.000000000000e+00 -4.569760427012e+01 -8.239728988709e+01 -1.799660532411e+02 -2.327971336792e+00 
1.213623798344e-03 1.000000000000e+00 -4.569760406284e+01 -8.239704982064e+01 -1.799655010950e+02 -2.365791639531e+00 
1.233363497914e-03 1.000000000000e+00 -4.569760384876e+01 -8.239680189533e+01 -1.799649399683e+02 -2.404224896114e+00 
1.253424265461e-03 1.000000000000e+00 -4.569760362766e+01 -8.239654585436e+01 -1.799643697148e+02 -2.443280967610e+00 
1.273811323186e-03 1.000000000000e+00 -4.569760339931e+01 -8.239628143258e+01 -1.799637901862e+02 -2.482969870112e+00 
1.294529978228e-03 1.000000000000e+00 -4.569760316348e+01 -8.239600835620e+01 -1.799632012316e+02 -2.523301776993e+00 
