%%% Bode Mag Phase 
frequency speed  m1 p1
1.343161170046e-01 0.000000000000e+00 -3.993917063480e+01 -9.739193775924e-01 
1.349367140588e-01 0.000000000000e+00 -3.993860530902e+01 -9.784834211655e-01 
1.355601785329e-01 0.000000000000e+00 -3.993803471134e+01 -9.830694539642e-01 
1.361865236756e-01 0.000000000000e+00 -3.993745879225e+01 -9.876775903394e-01 
1.368157627967e-01 0.000000000000e+00 -3.993687750179e+01 -9.923079453524e-01 
1.374479092678e-01 0.000000000000e+00 -3.993629078951e+01 -9.969606347809e-01 
1.380829765218e-01 0.000000000000e+00 -3.993569860449e+01 -1.001635775125e+00 
1.387209780542e-01 0.000000000000e+00 -3.993510089531e+01 -1.006333483615e+00 
1.393619274224e-01 0.000000000000e+00 -3.993449761008e+01 -1.011053878213e+00 
1.400058382468e-01 0.000000000000e+00 -3.993388869639e+01 -1.015797077625e+00 
1.406527242105e-01 0.000000000000e+00 -3.993327410136e+01 -1.020563201301e+00 
1.413025990600e-01 0.000000000000e+00 -3.993265377158e+01 -1.025352369449e+00 
1.419554766050e-01 0.000000000000e+00 -3.993202765315e+01 -1.030164703032e+00 
1.426113707194e-01 0.000000000000e+00 -3.993139569164e+01 -1.035000323784e+00 
1.432702953410e-01 0.000000000000e+00 -3.993075783212e+01 -1.039859354208e+00 
1.439322644719e-01 0.000000000000e+00 -3.993011401911e+01 -1.044741917590e+00 
1.445972921792e-01 0.000000000000e+00 -3.992946419662e+01 -1.049648138001e+00 
1.452653925947e-01 0.000000000000e+00 -3.992880830812e+01 -1.054578140304e+00 
1.459365799156e-01 0.000000000000e+00 -3.992814629654e+01 -1.059532050165e+00 
1.466108684047e-01 0.000000000000e+00 -3.992747810427e+01 -1.064509994055e+00 
1.472882723908e-01 0.000000000000e+00 -3.992680367314e+01 -1.069512099259e+00 
1.479688062686e-01 0.000000000000e+00 -3.992612294442e+01 -1.074538493884e+00 
1.486524844998e-01 0.000000000000e+00 -3.992543585884e+01 -1.079589306865e+00 
1.493393216124e-01 0.000000000000e+00 -3.992474235654e+01 -1.084664667973e+00 
1.500293322019e-01 0.000000000000e+00 -3.992404237710e+01 -1.089764707822e+00 
1.507225309311e-01 0.000000000000e+00 -3.992333585952e+01 -1.094889557877e+00 
1.514189325304e-01 0.000000000000e+00 -3.992262274221e+01 -1.100039350460e+00 
1.521185517986e-01 0.000000000000e+00 -3.992190296300e+01 -1.105214218759e+00 
1.528214036026e-01 0.000000000000e+00 -3.992117645911e+01 -1.110414296837e+00 
1.535275028780e-01 0.000000000000e+00 -3.992044316718e+01 -1.115639719637e+00 
1.542368646297e-01 0.000000000000e+00 -3.991970302322e+01 -1.120890622991e+00 
1.549495039315e-01 0.000000000000e+00 -3.991895596264e+01 -1.126167143628e+00 
1.556654359271e-01 0.000000000000e+00 -3.991820192023e+01 -1.131469419184e+00 
1.563846758302e-01 0.000000000000e+00 -3.991744083015e+01 -1.136797588208e+00 
1.571072389247e-01 0.000000000000e+00 -3.991667262592e+01 -1.142151790169e+00 
1.578331405652e-01 0.000000000000e+00 -3.991589724044e+01 -1.147532165469e+00 
1.585623961771e-01 0.000000000000e+00 -3.991511460596e+01 -1.152938855447e+00 
1.592950212572e-01 0.000000000000e+00 -3.991432465407e+01 -1.158372002390e+00 
1.600310313739e-01 0.000000000000e+00 -3.991352731571e+01 -1.163831749541e+00 
1.607704421674e-01 0.000000000000e+00 -3.991272252116e+01 -1.169318241108e+00 
1.615132693503e-01 0.000000000000e+00 -3.991191020001e+01 -1.174831622273e+00 
1.622595287078e-01 0.000000000000e+00 -3.991109028120e+01 -1.180372039201e+00 
1.630092360980e-01 0.000000000000e+00 -3.991026269296e+01 -1.185939639048e+00 
1.637624074522e-01 0.000000000000e+00 -3.990942736286e+01 -1.191534569974e+00 
1.645190587754e-01 0.000000000000e+00 -3.990858421774e+01 -1.197156981146e+00 
