%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+00  NaN  NaN 9.774879884751e-05  Inf
{2} 1.000000000000e+00  NaN  NaN 1.169142747940e-04  Inf
{3} 1.000000000000e+00  NaN  NaN 7.580609218935e-04  Inf
{4} 1.000000000000e+00  NaN  NaN 9.773666758442e-04  Inf
{5} 1.000000000000e+00  NaN  NaN 5.091168108160e-03  Inf
{6} 1.000000000000e+00 1.057411015792e+01 8.410157828066e-01 1.789666691202e-02 1.748036140135e-01
{7} 1.000000000000e+00 1.057411015792e+01 8.410157828066e-01 1.789666691202e-02 1.748036140135e-01
{8} 1.000000000000e+00 6.709689208842e+00 3.261848219317e-01 7.272001819640e-02 1.576613258616e-01
{9} 1.000000000000e+00 6.709689208842e+00 3.261848219317e-01 7.272001819640e-02 1.576613258616e-01
{10} 1.000000000000e+00 3.266363199407e+00 5.082374277712e-01 9.587138763431e-02 3.554863532297e-01
{11} 1.000000000000e+00 3.266363199407e+00 5.082374277712e-01 9.587138763431e-02 3.554863532297e-01
{12} 1.000000000000e+00  NaN  NaN 4.923961370522e-02  Inf
{13} 1.000000000000e+00 1.616852922362e+00 1.313749463344e-01 7.492677913769e-01 6.238928803614e-01
{14} 1.000000000000e+00 1.616852922362e+00 1.313749463344e-01 7.492677913769e-01 6.238928803614e-01
{15} 1.000000000000e+00  NaN  NaN -2.838876351952e-01  Inf
{16} 1.000000000000e+00  NaN  NaN 2.774681948834e-01  Inf
{17} 1.000000000000e+00  NaN  NaN 6.152542620408e+04  Inf
{18} 1.000000000000e+00  NaN  NaN 1.112001978217e+06  Inf
{19} 1.000000000000e+00  NaN  NaN -6.152540274118e+04  Inf
{20} 1.000000000000e+00  NaN  NaN -1.112002793888e+06  Inf
{21} 1.000000000000e+00  NaN  NaN 1.676752866850e+11  Inf
{22} 1.000000000000e+00  NaN  NaN 1.358833360909e+12  Inf

