%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 3.00000000e+01 4.62972713e+01 4.17073780e-01 8.24236510e-03 2.37652057e-02
{2} 3.00000000e+01 4.62972713e+01 4.17073780e-01 8.24236510e-03 2.37652057e-02
{3} 3.00000000e+01  NaN  NaN 2.92978564e-03  Inf
{4} 3.00000000e+01  NaN  NaN 3.50804693e-03  Inf
{5} 3.00000000e+01 1.05704719e+01 6.30942128e-01 2.38636147e-02 1.21938012e-01
{6} 3.00000000e+01 1.05704719e+01 6.30942128e-01 2.38636147e-02 1.21938012e-01
{7} 3.00000000e+01 6.15426066e+00 5.63587386e-02 4.58862938e-01 1.62747729e-01
{8} 3.00000000e+01 6.15426066e+00 5.63587386e-02 4.58862938e-01 1.62747729e-01
{9} 3.00000000e+01 6.79705140e+00 2.55229024e-01 9.17422776e-02 1.52162133e-01
{10} 3.00000000e+01 6.79705140e+00 2.55229024e-01 9.17422776e-02 1.52162133e-01
{11} 3.00000000e+01  NaN  NaN 2.58718155e-02  Inf
{12} 3.00000000e+01 4.24858336e+00 2.50271248e-01 1.49680432e-01 2.43109344e-01
{13} 3.00000000e+01 4.24858336e+00 2.50271248e-01 1.49680432e-01 2.43109344e-01
{14} 3.00000000e+01 3.19387716e+00 6.05415002e-01 8.23092688e-02 3.93385047e-01
{15} 3.00000000e+01 3.19387716e+00 6.05415002e-01 8.23092688e-02 3.93385047e-01
{16} 3.00000000e+01  NaN  NaN  Inf  Inf
{17} 3.00000000e+01  NaN  NaN  Inf  Inf
{18} 3.00000000e+01  NaN  NaN -8.71839582e+00  Inf
{19} 3.00000000e+01  NaN  NaN  Inf  Inf
{20} 3.00000000e+01  NaN  NaN -Inf  Inf
{21} 3.00000000e+01  NaN  NaN  Inf  Inf
{22} 3.00000000e+01  NaN  NaN  Inf  Inf

