%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 3.00000000e+01 -1.21324400e+02 2.64385900e+02 -1.93093780e+01 4.20783229e+01
{2} 3.00000000e+01 -1.21324400e+02 -2.64385900e+02 -1.93093780e+01 -4.20783229e+01
{3} 3.00000000e+01 -3.41321900e+02 0.00000000e+00 -5.43230676e+01 0.00000000e+00
{4} 3.00000000e+01 -2.85058900e+02 0.00000000e+00 -4.53685330e+01 0.00000000e+00
{5} 3.00000000e+01 -4.19048000e+01 5.15277000e+01 -6.66935606e+00 8.20088816e+00
{6} 3.00000000e+01 -4.19048000e+01 -5.15277000e+01 -6.66935606e+00 -8.20088816e+00
{7} 3.00000000e+01 -2.17930000e+00 3.86069000e+01 -3.46846367e-01 6.14447897e+00
{8} 3.00000000e+01 -2.17930000e+00 -3.86069000e+01 -3.46846367e-01 -6.14447897e+00
{9} 3.00000000e+01 -1.09001000e+01 4.12927000e+01 -1.73480480e+00 6.57193732e+00
{10} 3.00000000e+01 -1.09001000e+01 -4.12927000e+01 -1.73480480e+00 -6.57193732e+00
{11} 3.00000000e+01 -3.86521000e+01 0.00000000e+00 -6.15167278e+00 0.00000000e+00
{12} 3.00000000e+01 -6.68090000e+00 2.58451000e+01 -1.06329826e+00 4.11337542e+00
{13} 3.00000000e+01 -6.68090000e+00 -2.58451000e+01 -1.06329826e+00 -4.11337542e+00
{14} 3.00000000e+01 -1.21493000e+01 1.59721000e+01 -1.93362115e+00 2.54203867e+00
{15} 3.00000000e+01 -1.21493000e+01 -1.59721000e+01 -1.93362115e+00 -2.54203867e+00
{16} 3.00000000e+01 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{17} 3.00000000e+01 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{18} 3.00000000e+01 1.14700000e-01 0.00000000e+00 1.82550720e-02 0.00000000e+00
{19} 3.00000000e+01 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{20} 3.00000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{21} 3.00000000e+01 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{22} 3.00000000e+01 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00

