%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
3.06539530e-06 3.00000000e+01 -2.19492942e+01 -8.84170689e+00 -1.79979011e+02 -1.79979105e+02 
3.12964801e-06 3.00000000e+01 -2.22414060e+01 -9.31763921e+00 -1.79979719e+02 -1.79979814e+02 
3.19524751e-06 3.00000000e+01 -2.24996074e+01 -9.74595903e+00 -1.79980294e+02 -1.79980392e+02 
3.26222201e-06 3.00000000e+01 -2.27281506e+01 -1.01322512e+01 -1.79980760e+02 -1.79980860e+02 
3.33060034e-06 3.00000000e+01 -2.29308184e+01 -1.04813620e+01 -1.79981134e+02 -1.79981237e+02 
3.40041193e-06 3.00000000e+01 -2.31127035e+01 -1.07995063e+01 -1.79981435e+02 -1.79981539e+02 
3.47168682e-06 3.00000000e+01 -2.32778655e+01 -1.10919285e+01 -1.79981676e+02 -1.79981783e+02 
3.54445567e-06 3.00000000e+01 -2.34254564e+01 -1.13581169e+01 -1.79981859e+02 -1.79981968e+02 
3.61874981e-06 3.00000000e+01 -2.35599456e+01 -1.16036083e+01 -1.79981998e+02 -1.79982108e+02 
3.69460121e-06 3.00000000e+01 -2.36831576e+01 -1.18307973e+01 -1.79982097e+02 -1.79982210e+02 
3.77204249e-06 3.00000000e+01 -2.37943147e+01 -1.20392993e+01 -1.79982157e+02 -1.79982272e+02 
3.85110700e-06 3.00000000e+01 -2.38972883e+01 -1.22338236e+01 -1.79982189e+02 -1.79982306e+02 
3.93182876e-06 3.00000000e+01 -2.39920647e+01 -1.24146200e+01 -1.79982192e+02 -1.79982311e+02 
4.01424249e-06 3.00000000e+01 -2.40789012e+01 -1.25823523e+01 -1.79982168e+02 -1.79982290e+02 
4.09838367e-06 3.00000000e+01 -2.41600783e+01 -1.27398183e+01 -1.79982123e+02 -1.79982247e+02 
4.18428851e-06 3.00000000e+01 -2.42346324e+01 -1.28862359e+01 -1.79982055e+02 -1.79982181e+02 
4.27199397e-06 3.00000000e+01 -2.43041760e+01 -1.30236552e+01 -1.79981968e+02 -1.79982096e+02 
4.36153779e-06 3.00000000e+01 -2.43689808e+01 -1.31525661e+01 -1.79981863e+02 -1.79981993e+02 
4.45295851e-06 3.00000000e+01 -2.44289490e+01 -1.32730717e+01 -1.79981739e+02 -1.79981872e+02 
4.54629547e-06 3.00000000e+01 -2.44849350e+01 -1.33863197e+01 -1.79981599e+02 -1.79981734e+02 
4.64158883e-06 3.00000000e+01 -2.45374055e+01 -1.34930049e+01 -1.79981444e+02 -1.79981581e+02 
4.73887961e-06 3.00000000e+01 -2.45867124e+01 -1.35936741e+01 -1.79981274e+02 -1.79981414e+02 
4.83820966e-06 3.00000000e+01 -2.46324644e+01 -1.36880686e+01 -1.79981089e+02 -1.79981232e+02 
4.93962174e-06 3.00000000e+01 -2.46757536e+01 -1.37775367e+01 -1.79980892e+02 -1.79981037e+02 
5.04315949e-06 3.00000000e+01 -2.47161115e+01 -1.38616725e+01 -1.79980680e+02 -1.79980828e+02 
5.14886745e-06 3.00000000e+01 -2.47543272e+01 -1.39414608e+01 -1.79980457e+02 -1.79980608e+02 
5.25679112e-06 3.00000000e+01 -2.47903204e+01 -1.40169457e+01 -1.79980221e+02 -1.79980374e+02 
5.36697695e-06 3.00000000e+01 -2.48239802e+01 -1.40881020e+01 -1.79979972e+02 -1.79980128e+02 
5.47947234e-06 3.00000000e+01 -2.48558637e+01 -1.41556318e+01 -1.79979711e+02 -1.79979870e+02 
5.59432571e-06 3.00000000e+01 -2.48859022e+01 -1.42195905e+01 -1.79979438e+02 -1.79979601e+02 
5.71158648e-06 3.00000000e+01 -2.49144105e+01 -1.42803615e+01 -1.79979155e+02 -1.79979320e+02 
5.83130511e-06 3.00000000e+01 -2.49413316e+01 -1.43380027e+01 -1.79978859e+02 -1.79979028e+02 
5.95353313e-06 3.00000000e+01 -2.49668050e+01 -1.43927140e+01 -1.79978552e+02 -1.79978724e+02 
6.07832313e-06 3.00000000e+01 -2.49908187e+01 -1.44445706e+01 -1.79978234e+02 -1.79978409e+02 
6.20572881e-06 3.00000000e+01 -2.50135855e+01 -1.44938614e+01 -1.79977904e+02 -1.79978082e+02 
6.33580499e-06 3.00000000e+01 -2.50351254e+01 -1.45406858e+01 -1.79977563e+02 -1.79977745e+02 
6.46860766e-06 3.00000000e+01 -2.50557361e+01 -1.45853970e+01 -1.79977211e+02 -1.79977396e+02 
6.60419396e-06 3.00000000e+01 -2.50750695e+01 -1.46277181e+01 -1.79976847e+02 -1.79977036e+02 
6.74262224e-06 3.00000000e+01 -2.50936409e+01 -1.46682186e+01 -1.79976472e+02 -1.79976665e+02 
6.88395207e-06 3.00000000e+01 -2.51111511e+01 -1.47066412e+01 -1.79976085e+02 -1.79976282e+02 
7.02824426e-06 3.00000000e+01 -2.51278045e+01 -1.47432561e+01 -1.79975687e+02 -1.79975888e+02 
7.17556092e-06 3.00000000e+01 -2.51435631e+01 -1.47780673e+01 -1.79975278e+02 -1.79975482e+02 
7.32596543e-06 3.00000000e+01 -2.51586110e+01 -1.48112960e+01 -1.79974856e+02 -1.79975064e+02 
7.47952252e-06 3.00000000e+01 -2.51730421e+01 -1.48431085e+01 -1.79974424e+02 -1.79974636e+02 
7.63629826e-06 3.00000000e+01 -2.51866234e+01 -1.48732715e+01 -1.79973978e+02 -1.79974195e+02 
7.79636013e-06 3.00000000e+01 -2.51996549e+01 -1.49021638e+01 -1.79973522e+02 -1.79973742e+02 
7.95977700e-06 3.00000000e+01 -2.52119203e+01 -1.49295616e+01 -1.79973052e+02 -1.79973277e+02 
8.12661920e-06 3.00000000e+01 -2.52237745e+01 -1.49558961e+01 -1.79972571e+02 -1.79972801e+02 
8.29695852e-06 3.00000000e+01 -2.52349814e+01 -1.49809342e+01 -1.79972077e+02 -1.79972311e+02 
8.47086827e-06 3.00000000e+01 -2.52456460e+01 -1.50048205e+01 -1.79971571e+02 -1.79971809e+02 
8.64842328e-06 3.00000000e+01 -2.52558369e+01 -1.50276551e+01 -1.79971051e+02 -1.79971295e+02 
8.82969996e-06 3.00000000e+01 -2.52655655e+01 -1.50494692e+01 -1.79970519e+02 -1.79970767e+02 
9.01477631e-06 3.00000000e+01 -2.52748686e+01 -1.50703368e+01 -1.79969974e+02 -1.79970227e+02 
9.20373200e-06 3.00000000e+01 -2.52837978e+01 -1.50903279e+01 -1.79969415e+02 -1.79969674e+02 
9.39664831e-06 3.00000000e+01 -2.52922171e+01 -1.51093255e+01 -1.79968843e+02 -1.79969106e+02 
9.59360829e-06 3.00000000e+01 -2.53002436e+01 -1.51274723e+01 -1.79968257e+02 -1.79968525e+02 
9.79469667e-06 3.00000000e+01 -2.53079344e+01 -1.51448487e+01 -1.79967656e+02 -1.79967930e+02 
1.00000000e-05 3.00000000e+01 -2.53153903e+01 -1.51615749e+01 -1.79967042e+02 -1.79967322e+02 
1.02096066e-05 3.00000000e+01 -2.53223512e+01 -1.51774026e+01 -1.79966413e+02 -1.79966698e+02 
1.04236067e-05 3.00000000e+01 -2.53290612e+01 -1.51926012e+01 -1.79965769e+02 -1.79966060e+02 
1.06420924e-05 3.00000000e+01 -2.53354789e+01 -1.52071474e+01 -1.79965111e+02 -1.79965408e+02 
1.08651577e-05 3.00000000e+01 -2.53416510e+01 -1.52210985e+01 -1.79964437e+02 -1.79964740e+02 
1.10928986e-05 3.00000000e+01 -2.53475157e+01 -1.52344116e+01 -1.79963747e+02 -1.79964056e+02 
1.13254132e-05 3.00000000e+01 -2.53531289e+01 -1.52471565e+01 -1.79963042e+02 -1.79963357e+02 
1.15628013e-05 3.00000000e+01 -2.53584703e+01 -1.52593306e+01 -1.79962320e+02 -1.79962642e+02 
1.18051653e-05 3.00000000e+01 -2.53635817e+01 -1.52709795e+01 -1.79961582e+02 -1.79961911e+02 
1.20526094e-05 3.00000000e+01 -2.53684814e+01 -1.52821427e+01 -1.79960828e+02 -1.79961163e+02 
1.23052400e-05 3.00000000e+01 -2.53731808e+01 -1.52928425e+01 -1.79960056e+02 -1.79960398e+02 
1.25631660e-05 3.00000000e+01 -2.53776496e+01 -1.53030572e+01 -1.79959267e+02 -1.79959616e+02 
1.28264983e-05 3.00000000e+01 -2.53819600e+01 -1.53128714e+01 -1.79958461e+02 -1.79958817e+02 
1.30953502e-05 3.00000000e+01 -2.53860539e+01 -1.53222404e+01 -1.79957636e+02 -1.79957999e+02 
1.33698374e-05 3.00000000e+01 -2.53899959e+01 -1.53312329e+01 -1.79956793e+02 -1.79957164e+02 
